,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
R/Ohm,0.032527,-0.01612,-0.059770000000000004,-0.092711,-0.12007000000000001,-0.14432999999999999,-0.16957,-0.19212,-0.2136,-0.23695,-0.2606,-0.28729,-0.31293000000000004,-0.33986,-0.36719,-0.39575,-0.42391999999999996,-0.45145,-0.479,-0.50637,-0.53333,-0.55977,-0.5837399999999999,-0.60543,-0.62533,-0.64069,-0.65165,-0.65575,-0.65554,-0.64588,-0.63205,-0.60577,-0.57843,-0.5421600000000001,-0.49678999999999995,-0.45043,-0.39974,-0.3442,-0.29475,-0.24369000000000002,-0.1934,-0.14989,-0.11555,-0.085336,-0.05753,-0.037866000000000004,-0.023219999999999998,-0.016089,-0.014543,-0.0024481,,,,,,
R/Ohm,0.043724,0.0019227,-0.035924,-0.068464,-0.097166,-0.12255,-0.14965,-0.17207,-0.1936,-0.21474000000000001,-0.23709000000000002,-0.26093,-0.28305,-0.30794,-0.33309,-0.35874,-0.38408000000000003,-0.40993,-0.43493999999999994,-0.45869,-0.48322,-0.505,-0.52577,-0.5452600000000001,-0.5645399999999999,-0.57584,-0.58058,-0.58049,-0.57102,-0.5533600000000001,-0.5319699999999999,-0.5010600000000001,-0.46412,-0.42711000000000005,-0.3837,-0.33488,-0.28309,-0.23440999999999998,-0.19343,-0.15077000000000002,-0.12194,-0.090706,-0.066416,-0.046789,-0.036624000000000004,-0.028029000000000002,-0.018557,-0.01375,-0.010451,-0.012008,,,,,,
R/Ohm,0.37334,0.25725,0.16721,0.09450900000000001,0.031925,-0.017912,-0.052328,-0.085938,-0.11483,-0.13172999999999999,-0.15675999999999998,-0.18051,-0.20438,-0.22779000000000002,-0.25294,-0.2764,-0.29979,-0.32327,-0.34764,-0.37063,-0.39274000000000003,-0.41496000000000005,-0.4362,-0.45613000000000004,-0.47688,-0.49377,-0.50741,-0.5186,-0.52384,-0.52362,-0.51486,-0.50221,-0.4824,-0.45648999999999995,-0.42452,-0.39225,-0.35609,-0.31395,-0.27276,-0.23159000000000002,-0.1897,-0.15677,-0.12328,-0.09265,-0.068031,-0.050667000000000004,-0.036911,-0.023952,-0.015131,-0.0092897,-0.0057804,-0.0067105,-0.00015234,,,
R/Ohm,0.089157,0.026483,-0.019251,-0.056934000000000005,-0.09112200000000001,-0.11803,-0.15165,-0.17346,-0.19588,-0.21771,-0.24051,-0.26711,-0.28785,-0.31306,-0.3381,-0.36454000000000003,-0.3896,-0.41411000000000003,-0.4376,-0.46213000000000004,-0.48545,-0.5081100000000001,-0.52828,-0.54499,-0.56062,-0.56968,-0.57243,-0.56962,-0.56,-0.54272,-0.51983,-0.49098,-0.45891000000000004,-0.42075,-0.37584,-0.33301,-0.28881999999999997,-0.24145999999999998,-0.20165999999999998,-0.16214,-0.12614,-0.094088,-0.071893,-0.051624,-0.035296,-0.020569999999999998,-0.0154,-0.0097381,-0.0033334000000000003,-0.00998,,,,,,
R/Ohm,0.34231,0.23481999999999997,0.14704,0.086551,0.027675,-0.017707,-0.055531,-0.083733,-0.11335,-0.14031,-0.16695,-0.18957000000000002,-0.2142,-0.23867,-0.26583,-0.29011,-0.31475,-0.34078,-0.36775,-0.39333,-0.41741000000000006,-0.44215,-0.46651000000000004,-0.48936999999999997,-0.5129600000000001,-0.53496,-0.55502,-0.5675399999999999,-0.5894699999999999,-0.6007899999999999,-0.61319,-0.61224,-0.60929,-0.60039,-0.5827100000000001,-0.56075,-0.53273,-0.4925,-0.44781000000000004,-0.39883,-0.34404,-0.2954,-0.24423000000000003,-0.19211,-0.14897,-0.11442000000000001,-0.084939,-0.057757,-0.037705,-0.023304,-0.016057,-0.012518000000000001,-0.0035513000000000007,,,
R/Ohm,0.019588,-0.030872000000000004,-0.07119099999999999,-0.10311,-0.13248,-0.15516,-0.18413,-0.20489000000000002,-0.22551,-0.2484,-0.27169,-0.29873,-0.32411999999999996,-0.35107,-0.37959,-0.40798,-0.43762,-0.46658,-0.49528999999999995,-0.52477,-0.55345,-0.58196,-0.6090899999999999,-0.63434,-0.6611,-0.68071,-0.6967899999999999,-0.70905,-0.71313,-0.71082,-0.70177,-0.68092,-0.65572,-0.6160100000000001,-0.5685899999999999,-0.51822,-0.46056,-0.39766999999999997,-0.33881999999999995,-0.28005,-0.22637,-0.17602,-0.13477999999999998,-0.099897,-0.069761,-0.046110000000000005,-0.030780000000000002,-0.019431,-0.013843000000000001,-0.0081324,,,,,,
R/Ohm,0.25233,0.15123,0.07817,0.0071587000000000005,-0.042243,-0.084047,-0.1152,-0.14352,-0.16905,-0.19723,-0.21806,-0.23945,-0.2619,-0.28622,-0.31345,-0.3381,-0.36705,-0.39802,-0.42596999999999996,-0.45825,-0.49041999999999997,-0.52065,-0.55376,-0.58827,-0.61941,-0.65084,-0.68448,-0.72153,-0.7509600000000001,-0.77754,-0.80337,-0.8242700000000001,-0.8377700000000001,-0.84491,-0.8411700000000001,-0.83105,-0.80309,-0.7591899999999999,-0.70896,-0.6413399999999999,-0.5636399999999999,-0.48344,-0.40201,-0.32635,-0.25184,-0.19095,-0.14013,-0.094638,-0.061988,-0.040966,-0.028964999999999998,-0.016387,-0.011809,,,
R/Ohm,0.30299,0.19385,0.10134,0.029389,-0.030041,-0.072689,-0.11035,-0.13954,-0.17413,-0.19908,-0.22371999999999997,-0.25029,-0.26968000000000003,-0.29796999999999996,-0.32463000000000003,-0.35109,-0.38033,-0.41106000000000004,-0.44123999999999997,-0.47412,-0.5075,-0.53992,-0.5749,-0.6096600000000001,-0.6453800000000001,-0.68098,-0.71777,-0.75745,-0.79396,-0.8309700000000001,-0.86749,-0.9042,-0.9366200000000001,-0.9657899999999999,-0.9857799999999999,-0.9993799999999999,-0.99384,-0.97383,-0.93827,-0.87836,-0.7952899999999999,-0.69876,-0.5877399999999999,-0.47361000000000003,-0.36589,-0.275,-0.19783,-0.136,-0.09017,-0.061635,-0.037652,-0.01915,-0.018925,,,
R/Ohm,0.10330999999999999,0.049664,0.0048423,-0.035771,-0.070062,-0.10106,-0.13030999999999998,-0.15695,-0.18298,-0.20926999999999998,-0.23529,-0.26166999999999996,-0.28815,-0.31594,-0.34258,-0.36877,-0.39671,-0.42325,-0.44758000000000003,-0.47583000000000003,-0.50075,-0.5252600000000001,-0.5497,-0.57184,-0.5976199999999999,-0.61598,-0.6314,-0.64361,-0.64969,-0.6491600000000001,-0.64357,-0.6272,-0.60225,-0.57531,-0.52881,-0.47633000000000003,-0.41547,-0.35656,-0.29983000000000004,-0.24345,-0.19815,-0.15297,-0.11467999999999999,-0.083665,-0.061884,-0.047775,-0.030826,-0.019155000000000002,-0.015347999999999999,-0.013658000000000002,,,,,,
R/Ohm,0.0010229,-0.042927999999999994,-0.079812,-0.10842,-0.13508,-0.15566,-0.17870999999999998,-0.19958,-0.21996999999999997,-0.24145999999999998,-0.26474000000000003,-0.29069,-0.31608,-0.34193,-0.36912,-0.39755,-0.42549,-0.45328999999999997,-0.48128000000000004,-0.50841,-0.53491,-0.5622699999999999,-0.58668,-0.6096,-0.63,-0.64718,-0.6599,-0.66562,-0.66676,-0.6584300000000001,-0.6439199999999999,-0.61897,-0.59013,-0.55308,-0.5059600000000001,-0.45658999999999994,-0.40267,-0.34565999999999997,-0.29461,-0.24213,-0.19155,-0.14781,-0.1119,-0.08252000000000001,-0.056666999999999995,-0.037288999999999996,-0.025453,-0.016051,-0.011521,-0.0074723,,,,,,
