,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
impedance,6.3647,6.3944,6.4211,6.4491,6.4775,6.5068,6.5358,6.5654,6.5969,6.6302,6.6657,6.704,6.7472,6.7949,6.8466,6.9026,6.9629,7.0292,7.0994,7.1743,7.254,7.3387,7.4272,7.5217,7.6203,7.7237,7.8308,7.9408,8.0533,8.1658,8.2755,8.3826,8.4831,8.588,8.6865,8.7759,8.8578,8.9325,8.9978,9.0573,9.1086,9.1578,9.1993,9.2318,9.2569,9.246,9.1513,9.0182,9.1084,9.1614,,,,,,
impedance,6.2959,6.3126,6.3329,6.3547,6.3783,6.4025,6.4295,6.458,6.4878,6.5221,6.5607,6.6019,6.6464,6.6949,6.7462,6.8022,6.8629,6.9277,6.9959,7.0703,7.1493,7.2314,7.319,7.4114,7.5083,7.6089,7.7129,7.8165,7.9201,8.0233,8.121,8.2115,8.2964,8.373,8.4381,8.4914,8.526,8.5415,8.5403,8.5239,8.4951,8.4646,8.434,8.415,8.4143,8.4443,8.5344,8.6644,8.5132,8.5524,,,,,,
impedance,6.0422,6.0772,6.0927,6.1092,6.1372,6.1541,6.1856,6.208,6.2292,6.2627,6.2881,6.3157,6.3452,6.377,6.4108,6.4495,6.4913,6.537,6.5855,6.6385,6.6949,6.7555,6.8199,6.8885,6.9608,7.0371,7.1184,7.2027,7.2893,7.3786,7.4688,7.556,7.6415,7.7206,7.7956,7.8615,7.9269,7.9844,8.0342,8.0772,8.1141,8.1459,8.175,8.2005,8.2297,8.2597,8.2968,8.3425,8.386,8.3818,8.2491,8.1921,8.3761,,,
impedance,6.4169,6.4401,6.4665,6.4915,6.5177,6.5395,6.5617,6.587,6.6145,6.6441,6.6751,6.7077,6.7445,6.7845,6.8277,6.8748,6.9273,6.9835,7.0443,7.1084,7.177,7.2482,7.3241,7.4038,7.4885,7.5753,7.6662,7.7572,7.8481,7.9368,8.0215,8.1024,8.1756,8.2293,8.2867,8.3373,8.3816,8.4187,8.4461,8.4691,8.4862,8.5005,8.5185,8.5405,8.5804,8.6333,8.72,8.752,8.4857,8.634,,,,,,
impedance,5.2882,5.3103,5.3334,5.3477,5.3805,5.3977,5.4238,5.4464,5.4712,5.495,5.5237,5.5539,5.5838,5.6179,5.6545,5.6952,5.7396,5.7885,5.8417,5.8983,5.9596,6.0234,6.093,6.1665,6.2431,6.3218,6.4084,6.5024,6.5905,6.6893,6.7976,6.905,7.008,7.1125,7.216,7.3154,7.4184,7.5153,7.6035,7.6849,7.7586,7.8235,7.881,7.9314,7.9758,8.0148,8.049,8.0715,8.0608,7.9879,7.9076,8.0241,7.975,,,
impedance,6.5428,6.5712,6.5963,6.6237,6.651,6.6764,6.7024,6.7295,6.7583,6.7886,6.8218,6.8576,6.8978,6.9425,6.9912,7.0447,7.1029,7.1662,7.2343,7.3073,7.3849,7.4676,7.5556,7.6482,7.7457,7.8491,7.9569,8.0697,8.1857,8.3039,8.4224,8.5364,8.6482,8.7508,8.8542,8.9491,9.0353,9.1124,9.1784,9.2363,9.2852,9.3313,9.3727,9.4168,9.4769,9.5477,9.6086,9.5375,9.3848,9.6034,,,,,,
impedance,6.5759,6.6077,6.6458,6.6756,6.7136,6.7446,6.7789,6.8117,6.8454,6.878,6.9125,6.9496,6.9881,7.0274,7.0706,7.1192,7.1704,7.2267,7.2885,7.3546,7.426,7.5041,7.584,7.6703,7.7622,7.8586,7.9602,8.0659,8.1797,8.3,8.4253,8.5572,8.6953,8.8382,8.9828,9.1278,9.2772,9.4189,9.5592,9.6887,9.8027,9.8988,9.9737,10.026,10.059,10.068,10.052,10.015,9.9643,9.9482,10.04,10.205,9.9778,,,
impedance,6.7363,6.7751,6.8031,6.8397,6.8703,6.9171,6.9437,6.979,7.0112,7.054,7.0856,7.1268,7.1643,7.2098,7.2514,7.2729,7.32,7.3715,7.429,7.4898,7.5562,7.6287,7.7047,7.786,7.8735,7.9653,8.0626,8.1649,8.2738,8.3899,8.5131,8.6447,8.7849,8.935,9.0897,9.2525,9.4111,9.5874,9.77,9.951,10.123,10.276,10.405999999999999,10.508,10.59,10.652000000000001,10.707,10.767000000000001,10.847999999999999,10.966,11.015999999999998,10.765999999999998,10.956,,,
impedance,5.421,5.4364,5.4546,5.4756,5.4978,5.5219,5.5528,5.5809,5.6108,5.6456,5.6823,5.7232,5.7693,5.818,5.871,5.9288,5.9908,6.0571,6.129,6.2064,6.2869,6.3686,6.4555,6.5452,6.6396,6.738,6.8424,6.9484,7.0591,7.1701,7.2803,7.3889,7.495,7.5915,7.6758,7.7462,7.8017,7.8416,7.8684,7.8829,7.8918,7.9015,7.9128,7.9309,7.9637,8.0197,8.108,8.1461,7.9783,8.1365,,,,,,
impedance,6.5188,6.545,6.5718,6.5956,6.6209,6.6467,6.6714,6.6976,6.7249,6.7541,6.7859,6.8202,6.859,6.9016,6.949,7.0,7.0558,7.1165,7.1817,7.2516,7.326,7.4056,7.49,7.5796,7.6735,7.7717,7.8756,7.983,8.092,8.2021,8.3092,8.4125,8.5111,8.5972,8.6847,8.7649,8.836,8.9002,8.9545,9.0023,9.044,9.0835,9.1145,9.1522,9.2012,9.267,9.3426,9.3314,9.1615,9.3714,,,,,,
impedance,6.5226,6.5498,6.5738,6.6062,6.6265,6.6596,6.6882,6.7158,6.7432,6.7755,6.8128,6.8471,6.8878,6.934,6.9799,7.0327,7.0904,7.1549,7.2224,7.2915,7.3709,7.4462,7.5356,7.6238,7.7183,7.8164,7.9199,8.0269,8.1359,8.2453,8.3542,8.4564,8.5534,8.6309,8.7103,8.7831,8.8454,8.8964,8.9364,8.9683,8.9904,9.0068,9.0171,9.0278,9.047,9.0851,9.1655,9.2825,9.1158,9.1352,,,,,,
impedance,6.5707,6.6069,6.6398,6.6667,6.6991,6.7334,6.7635,6.7949,6.8273,6.8597,6.8928,6.9281,6.9645,7.0034,7.0451,7.0917,7.1425,7.1981,7.2582,7.3229,7.3938,7.4691,7.5494,7.6354,7.7259,7.8215,7.9231,8.0303,8.1439,8.2652,8.391,8.5256,8.6672,8.8146,8.9652,9.1188,9.2858,9.4506,9.6126,9.7681,9.9111,10.037,10.145,10.235,10.311,10.37,10.414000000000001,10.437999999999999,10.414000000000001,10.307,10.195,10.331,10.309000000000001,,,
impedance,6.668,6.6983,6.7279,6.7573,6.7802,6.8148,6.8425,6.8676,6.8982,6.9305,6.9643,7.0019,7.0406,7.0867,7.134,7.1876,7.2455,7.3099,7.3797,7.4512,7.5312,7.6105,7.6985,7.7914,7.8888,7.9921,8.101,8.2141,8.3328,8.4536,8.5754,8.6944,8.811,8.9035,9.0069,9.1018,9.1872,9.2599,9.3192,9.3686,9.4036,9.4344,9.4571,9.4793,9.5125,9.5652,9.6625,9.7808,9.5863,9.647,,,,,,
impedance,6.596,6.627,6.6615,6.691,6.7211,6.7524,6.783,6.8141,6.8482,6.8836,6.9221,6.9623,7.0085,7.0584,7.1125,7.1706,7.2347,7.3038,7.3774,7.4564,7.5407,7.6291,7.7233,7.8233,7.9297,8.0408,8.1579,8.2803,8.4079,8.5409,8.6759,8.8135,8.9487,9.0917,9.2306,9.3626,9.4852,9.5978,9.6966,9.784,9.859,9.9267,9.9819,10.027999999999999,10.055,10.038,9.8651,9.8091,9.9986,9.8644,,,,,,
impedance,6.6564,6.686,6.7142,6.7439,6.7717,6.8003,6.8265,6.8561,6.8877,6.9201,6.9559,6.9931,7.0368,7.0838,7.1357,7.1923,7.2537,7.32,7.3921,7.4688,7.55,7.6364,7.7276,7.8248,7.9273,8.0371,8.1518,8.2744,8.4025,8.5375,8.677,8.8199,8.9621,9.1083,9.2548,9.3988,9.5332,9.6587,9.7678,9.8607,9.9407,10.011000000000001,10.077,10.142000000000001,10.206,10.267999999999999,10.274000000000001,10.142999999999999,10.099,,,,,,,
impedance,6.7056,6.7254,6.7442,6.7929,6.8305,6.8656,6.897,6.9297,6.9671,6.9989,7.0313,7.0673,7.1052,7.1417,7.1868,7.2282,7.281,7.3343,7.3946,7.4585,7.529,7.5976,7.6815,7.7724,7.8545,7.949,8.0509,8.1546,8.2664,8.3858,8.5089,8.6375,8.7751,8.9154,9.0555,9.1956,9.3263,9.4582,9.5862,9.7013,9.8016,9.8811,9.9429,9.9843,10.008,10.014,10.014,10.017000000000001,10.032,10.16,10.280999999999999,10.112,10.169,,,
impedance,6.5732,6.5997,6.6286,6.6565,6.6835,6.7105,6.7362,6.7646,6.7945,6.8261,6.8602,6.8969,6.9389,6.985,7.0349,7.0907,7.1505,7.2154,7.2866,7.3617,7.4416,7.526,7.6161,7.7114,7.8112,7.918,8.03,8.1467,8.2688,8.3945,8.5209,8.6479,8.7709,8.8915,9.0104,9.1218,9.2242,9.318,9.3998,9.4657,9.5237,9.5796,9.6299,9.6833,9.7456,9.8172,9.8471,9.7343,9.6361,9.8412,9.6229,,,,,
impedance,6.3856,6.4052,6.426,6.4469,6.471,6.4973,6.5245,6.555,6.5864,6.6208,6.658,6.6987,6.7444,6.7939,6.8481,6.908,6.9718,7.0411,7.1169,7.1949,7.28,7.3663,7.4602,7.5633,7.6673,7.7748,7.8898,8.0066,8.1275,8.2494,8.3677,8.4855,8.5956,8.7067,8.8169,8.9074,8.9849,9.0424,9.0816,9.1022,9.1038,9.0948,9.0737,9.0558,9.0473,9.0729,9.1504,9.2862,9.1831,9.1297,,,,,,
impedance,6.701,6.7322,6.7656,6.7984,6.8351,6.8667,6.9038,6.9403,6.9739,7.0061,7.0427,7.0811,7.1201,7.1624,7.2055,7.2557,7.3084,7.3669,7.4292,7.4969,7.5701,7.6498,7.7318,7.8185,7.9143,8.0122,8.1171,8.228,8.3443,8.4684,8.598,8.7392,8.8874,9.0442,9.2079,9.3798,9.5682,9.7626,9.9604,10.158,10.347999999999999,10.515999999999998,10.662,10.777999999999999,10.86,10.902000000000001,10.91,10.879000000000001,10.808,10.743,10.79,11.02,10.755999999999998,,,
impedance,6.3547,6.3881,6.4167,6.4481,6.4771,6.506,6.535,6.5659,6.6002,6.6342,6.6706,6.7095,6.752,6.7967,6.8498,6.9037,6.9627,7.0272,7.0925,7.1667,7.2423,7.3236,7.4124,7.5034,7.5959,7.6945,7.7983,7.903,8.0072,8.1132,8.2163,8.3095,8.3997,8.4878,8.5606,8.6281,8.6867,8.736,8.7728,8.7998,8.8142,8.8182,8.8056,8.7791,8.7411,8.7054,8.7063,8.8073,8.9126,8.7301,,,,,,
impedance,6.5144,6.5442,6.5735,6.6047,6.6344,6.6629,6.6922,6.7231,6.7554,6.79,6.8263,6.8651,6.9093,6.9571,7.0097,7.0672,7.1289,7.1953,7.2677,7.3437,7.425,7.5108,7.6027,7.6988,7.8013,7.9087,8.0224,8.1411,8.2627,8.3873,8.5144,8.6379,8.7579,8.8832,8.9992,9.1069,9.2058,9.2986,9.3748,9.4429,9.5039,9.5545,9.5969,9.6252,9.6403,9.6022,9.4794,9.3595,9.4769,9.4843,,,,,,
