,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
R/Ohm,0.28567,0.15991,0.045439,-0.049617,-0.13691,-0.22701,-0.29141,-0.34643,-0.41286999999999996,-0.48361000000000004,-0.5339,-0.58915,-0.6391,-0.68255,-0.72402,-0.76347,-0.7983899999999999,-0.83436,-0.86482,-0.8968299999999999,-0.93045,-0.95794,-0.99297,-1.0228,-1.0634,-1.1,-1.1367,-1.1797,-1.2229,-1.263,-1.3085,-1.3527,-1.3988,-1.4466,-1.4915,-1.5381,-1.5725,-1.6059,-1.6333,-1.644,-1.6285,-1.5868,-1.4952,-1.3528,-1.1497,-0.92045,-0.67979,-0.48058,-0.31340999999999997,-0.1945,-0.1219,-0.060677999999999996,-0.04355
R/Ohm,0.35448,0.21464,0.09988999999999999,-0.0079764,-0.098709,-0.18047,-0.25447,-0.32192,-0.38416,-0.44566999999999996,-0.49921000000000004,-0.5494100000000001,-0.59632,-0.63977,-0.6819,-0.71887,-0.75405,-0.78747,-0.81897,-0.84996,-0.8807799999999999,-0.91154,-0.94375,-0.97677,-1.0112,-1.0462,-1.0829,-1.1219,-1.1614,-1.2023,-1.2458,-1.288,-1.3311,-1.3766,-1.4198,-1.4638,-1.5082,-1.5432,-1.5759,-1.5917,-1.586,-1.5545,-1.4817,-1.353,-1.1667,-0.9486700000000001,-0.71391,-0.49612,-0.32333,-0.19414,-0.11120999999999999,-0.068742,-0.028035
R/Ohm,0.36509,0.22121999999999997,0.10361,-0.008228000000000001,-0.099775,-0.18306,-0.25714000000000004,-0.32485,-0.38893,-0.45183999999999996,-0.50716,-0.5594899999999999,-0.6087100000000001,-0.6553,-0.6998300000000001,-0.73906,-0.77691,-0.8125899999999999,-0.8458,-0.87992,-0.91379,-0.9460700000000001,-0.97972,-1.014,-1.0502,-1.0912,-1.1297,-1.1747,-1.2192,-1.265,-1.3165,-1.3693,-1.4251,-1.4883,-1.5486,-1.6165,-1.6843,-1.7579,-1.8404,-1.9206,-1.9905,-2.0473,-2.0612,-2.0115,-1.8688,-1.6279,-1.2925,-0.93525,-0.61942,-0.37783,-0.22488000000000002,-0.13774,-0.066598
R/Ohm,0.35263,0.20706,0.081032,-0.025407,-0.093765,-0.17836,-0.24394000000000002,-0.30603,-0.3586,-0.41271,-0.46019,-0.4954,-0.5411100000000001,-0.58522,-0.6087600000000001,-0.63746,-0.66887,-0.69671,-0.7227399999999999,-0.7508699999999999,-0.7754300000000001,-0.79718,-0.83144,-0.87,-0.88349,-0.91637,-0.9528,-0.9818100000000001,-1.0181,-1.0452,-1.079,-1.1094,-1.1347,-1.1594,-1.1793,-1.1954,-1.1915,-1.1928,-1.1745,-1.1297,-1.0615,-0.972,-0.85119,-0.70601,-0.55669,-0.41755,-0.2941,-0.1952,-0.12233,-0.079204,-0.050816,-0.023869,-0.025067
R/Ohm,0.25965,0.14452,0.038061000000000005,-0.06312000000000001,-0.14211,-0.21556,-0.28746,-0.34518000000000004,-0.40092,-0.46285,-0.51442,-0.56297,-0.6090800000000001,-0.65076,-0.6913100000000001,-0.72893,-0.76327,-0.79595,-0.82583,-0.85639,-0.88849,-0.9199299999999999,-0.9533200000000001,-0.98695,-1.0208,-1.0607,-1.0989,-1.1426,-1.1874,-1.2319,-1.2811,-1.3333,-1.3866,-1.4442,-1.5055,-1.5698,-1.635,-1.6995,-1.7682,-1.8296,-1.884,-1.9167,-1.904,-1.8281,-1.6644,-1.4152,-1.1021,-0.78909,-0.51995,-0.31569,-0.18891,-0.11625,-0.06327200000000001
R/Ohm,0.25122,0.13864,0.028457999999999997,-0.063154,-0.14818,-0.22355999999999998,-0.29157,-0.35675,-0.41513,-0.47352,-0.5273899999999999,-0.5757,-0.62627,-0.6716,-0.7135199999999999,-0.75093,-0.78908,-0.81926,-0.85467,-0.8877700000000001,-0.9174100000000001,-0.9570299999999999,-0.9884299999999999,-1.0252,-1.0613,-1.1011,-1.1372,-1.1815,-1.2229,-1.2711,-1.3217,-1.3712,-1.4229,-1.4782,-1.5337,-1.5926,-1.6462,-1.6981,-1.7483,-1.7788,-1.7979,-1.7974,-1.7438,-1.6212,-1.4189,-1.1663,-0.8718799999999999,-0.58899,-0.37396999999999997,-0.23428000000000002,-0.13957,-0.084896,-0.047355
R/Ohm,0.48486,0.31932,0.18912,0.06906,-0.029026,-0.1167,-0.19384,-0.26288,-0.3242,-0.38379,-0.43565,-0.482,-0.5254,-0.5624600000000001,-0.59895,-0.62932,-0.6603600000000001,-0.6892199999999999,-0.71758,-0.7457600000000001,-0.77246,-0.80007,-0.82778,-0.8568600000000001,-0.8866299999999999,-0.91824,-0.9504100000000001,-0.98341,-1.0158,-1.0487,-1.0828,-1.1145,-1.1452,-1.1761,-1.1994,-1.221,-1.2287,-1.2296,-1.2128,-1.1772,-1.1173,-1.0318,-0.9111299999999999,-0.76479,-0.61173,-0.46348,-0.33496,-0.23175,-0.14635,-0.086802,-0.051446000000000006,-0.037416000000000005,-0.0038241
R/Ohm,0.32937,0.18334,0.082384,-0.022103,-0.11685,-0.18182,-0.26442,-0.344,-0.4004,-0.45924,-0.51788,-0.56252,-0.6122,-0.6532899999999999,-0.69398,-0.73112,-0.75952,-0.7923100000000001,-0.82705,-0.8573700000000001,-0.88638,-0.92424,-0.9500299999999999,-0.9928299999999999,-1.0158,-1.052,-1.0921,-1.1299,-1.1711,-1.2126,-1.2552,-1.2989,-1.345,-1.392,-1.4356,-1.4784,-1.525,-1.5511,-1.574,-1.5777,-1.5561,-1.5055,-1.3984,-1.234,-1.0296,-0.80213,-0.57562,-0.38479,-0.24355,-0.15425,-0.10415,-0.058862,-0.032086
R/Ohm,0.31338,0.17559,0.082374,-0.010256999999999999,-0.10303,-0.16722,-0.24944000000000002,-0.30171,-0.3651,-0.41522,-0.45866999999999997,-0.50358,-0.5369,-0.57347,-0.6028399999999999,-0.6335,-0.66167,-0.68496,-0.70715,-0.73254,-0.7572800000000001,-0.78198,-0.80942,-0.8338,-0.8634200000000001,-0.891,-0.9179299999999999,-0.9467899999999999,-0.97544,-1.0025,-1.0281,-1.0521,-1.0716,-1.0854,-1.091,-1.0901,-1.0715,-1.0361,-0.9848,-0.9098,-0.81221,-0.70218,-0.5793699999999999,-0.45393999999999995,-0.33974,-0.24799000000000002,-0.17082,-0.11335,-0.07230199999999999,-0.047447,-0.027953,-0.015314,-0.011373999999999999
R/Ohm,0.40312,0.23989000000000002,0.12262,0.0026453,-0.095282,-0.1817,-0.26109,-0.3324,-0.40146,-0.4674,-0.51695,-0.5829,-0.63572,-0.68971,-0.7349100000000001,-0.77396,-0.81712,-0.8586600000000001,-0.8907700000000001,-0.92635,-0.96141,-0.9988799999999999,-1.033,-1.0678,-1.1043,-1.1476,-1.1871,-1.2342,-1.2756,-1.3288,-1.3844,-1.4434,-1.5022,-1.566,-1.637,-1.7118,-1.7927,-1.8804,-1.9788,-2.0754,-2.1688,-2.2526,-2.2987,-2.2923,-2.1701,-1.9201,-1.5493,-1.1318,-0.76285,-0.47481999999999996,-0.28618000000000005,-0.18445999999999999,-0.1021
