,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
impedance,5.3408,5.3617,5.3865,5.4165,5.4618,5.505,5.5563,5.6156,5.6763,5.7473,5.821,5.9059,6.0044,6.1085,6.2173,6.3317,6.4495,6.5763,6.7052,6.8332,6.9668,7.0998,7.2439,7.3833,7.531,7.6822,7.837,7.9989,8.1702,8.3404,8.5159,8.6976,8.8954,9.0954,9.3076,9.5249,9.736,9.998,10.277999999999999,10.583,10.902999999999999,11.254000000000001,11.607999999999999,11.97,12.280999999999999,12.554,12.725,13.005999999999998,13.136,13.04,13.380999999999998,13.087,13.025
impedance,5.0645,5.0904,5.1198,5.1545,5.1893,5.2295,5.2794,5.3355,5.4004,5.4726,5.5481,5.6284,5.7159,5.8135,5.9158,6.0269,6.1405,6.257,6.3755,6.4981,6.6254,6.7562,6.8947,7.034,7.1754,7.3252,7.4809,7.6426,7.8067,7.9791,8.1561,8.3354,8.526,8.7264,8.9359,9.1553,9.4164,9.6855,9.9765,10.292,10.634,10.998,11.39,11.774000000000001,12.14,12.478,12.725,12.904000000000002,12.991,12.902999999999999,12.635,12.618,13.008
impedance,5.1555,5.1866,5.2262,5.2607,5.3018,5.3465,5.3997,5.4598,5.5263,5.5962,5.6758,5.7637,5.8622,5.9629,6.0676,6.1785,6.2974,6.4188,6.5448,6.6757,6.812,6.9468,7.0844,7.2269,7.3828,7.5373,7.699,7.8661,8.0433,8.2107,8.3865,8.5768,8.7774,8.9848,9.2022,9.4303,9.6747,9.9563,10.272,10.630999999999998,11.026,11.477,11.968,12.509,13.074000000000002,13.629000000000001,14.040999999999999,14.352,14.479000000000001,14.378,14.267999999999999,14.494000000000002,14.487
impedance,4.4938,4.5411,4.5717,4.6035,4.6385,4.6865,4.7324,4.7897,4.8416,4.9087,4.984,5.0632,5.1513,5.238,5.344,5.4332,5.539,5.6436,5.7498,5.8596,5.974,6.0968,6.2128,6.3307,6.4583,6.5883,6.7287,6.8885,7.0372,7.1896,7.3436,7.5148,7.6926,7.8715,8.0557,8.2425,8.4398,8.6798,8.8962,9.1144,9.3364,9.5525,9.7422,9.8933,10.024,10.126,10.182,10.175,10.191,10.259,10.424000000000001,10.415,10.129
impedance,5.0867,5.1069,5.1309,5.1619,5.2056,5.2477,5.2951,5.3557,5.4163,5.4826,5.5643,5.6538,5.7485,5.8487,5.9536,6.0654,6.1782,6.2964,6.4164,6.5388,6.6681,6.8158,6.9512,7.0897,7.2346,7.3836,7.5378,7.7001,7.8679,8.0396,8.22,8.4103,8.6067,8.8191,9.0336,9.2639,9.5185,9.7996,10.107000000000001,10.45,10.854000000000001,11.295,11.779000000000002,12.285,12.812999999999999,13.279000000000002,13.632,13.897,14.03,13.9,13.817,14.043,14.042
impedance,5.1506,5.2059,5.236,5.2751,5.3089,5.3614,5.4199,5.4739,5.5407,5.6125,5.7017,5.7948,5.8973,6.0027,6.1082,6.2303,6.3535,6.4689,6.5961,6.7269,6.8642,7.0192,7.1732,7.3278,7.4798,7.6432,7.8062,7.9753,8.1505,8.3355,8.5279,8.7231,8.9265,9.1461,9.3729,9.6029,9.8552,10.132,10.421,10.72,11.082,11.497,11.925999999999998,12.343,12.73,13.072000000000001,13.26,13.257,13.222999999999999,13.219000000000001,13.161,13.489,13.263
impedance,4.5494,4.5695,4.5944,4.6239,4.6631,4.7018,4.7499,4.8035,4.8635,4.9249,4.997,5.0727,5.1544,5.2406,5.3269,5.421,5.5172,5.6159,5.7196,5.8264,5.9375,6.0542,6.1735,6.2985,6.4255,6.5599,6.6981,6.8513,6.9987,7.1495,7.3086,7.4748,7.6493,7.8322,8.0206,8.2162,8.4131,8.6297,8.8584,9.1029,9.3614,9.6094,9.8321,10.023,10.212,10.357000000000001,10.507,10.699000000000002,10.732999999999999,10.603,10.522,10.708,10.578
impedance,5.0622,5.0834,5.1143,5.1568,5.207,5.2531,5.2998,5.3486,5.4184,5.4964,5.5688,5.6664,5.7551,5.8582,5.9611,6.0723,6.1867,6.3023,6.4321,6.5577,6.6886,6.8238,6.9586,7.1018,7.2444,7.3973,7.5516,7.7094,7.8747,8.042,8.2214,8.41,8.5989,8.8035,9.0145,9.2343,9.4938,9.748,10.04,10.34,10.675,11.029000000000002,11.355,11.657,11.924000000000001,12.117,12.168,12.187999999999999,12.158,12.254000000000001,12.591,12.845999999999998,12.279000000000002
impedance,4.5176,4.5403,4.5694,4.6063,4.6333,4.6808,4.7224,4.7646,4.8365,4.8985,4.9736,5.0504,5.1355,5.2161,5.308,5.4,5.4936,5.5921,5.6899,5.7924,5.8978,6.0062,6.1186,6.2351,6.352,6.4757,6.6038,6.7448,6.8834,7.0279,7.1785,7.3344,7.4969,7.6663,7.8391,8.0161,8.1883,8.3743,8.5643,8.7491,8.9207,9.0685,9.1908,9.2808,9.3496,9.4096,9.435,9.4824,9.553,9.6567,9.7084,9.4411,9.6678
impedance,5.4069,5.4356,5.4662,5.5044,5.545,5.5931,5.6595,5.7071,5.7762,5.8498,5.9402,6.0247,6.1316,6.2388,6.3484,6.4691,6.5922,6.718,6.8556,6.994,7.1287,7.2735,7.4119,7.5723,7.7139,7.8798,8.0429,8.2103,8.3818,8.5647,8.758,8.9645,9.1764,9.396,9.6207,9.8574,10.146,10.437999999999999,10.788,11.163,11.578,12.044,12.564,13.169,13.773,14.335,14.79,15.11,15.311,15.302,15.305,15.832,15.423
impedance,5.2597,5.2878,5.3158,5.3604,5.4039,5.4641,5.5222,5.5806,5.6481,5.7231,5.8088,5.8988,5.9991,6.1013,6.2123,6.3356,6.4563,6.5785,6.7095,6.8448,6.985,7.1268,7.2707,7.4205,7.5756,7.7244,7.8907,8.0584,8.2304,8.4037,8.5889,8.774,8.9714,9.1775,9.388,9.6063,9.8366,10.099,10.395,10.729000000000001,11.117,11.540999999999999,12.036,12.577,13.171,13.739,14.152999999999999,14.334000000000001,14.533,14.575,14.804,14.972000000000001,14.421
impedance,5.2382,5.2547,5.2974,5.3314,5.3619,5.4107,5.4659,5.5159,5.5782,5.6518,5.7351,5.8155,5.9105,6.0159,6.1107,6.2221,6.3336,6.4505,6.5733,6.696,6.8309,6.9665,7.0968,7.2351,7.3787,7.5279,7.6815,7.8417,8.0073,8.1777,8.3539,8.5377,8.7296,8.9303,9.141,9.3587,9.5801,9.8353,10.121,10.445,10.815,11.192,11.695,12.23,12.788,13.309000000000001,13.747,14.094000000000001,14.375,14.578,14.818,14.492,14.761
impedance,4.0559,5.2513,5.2777,5.3355,5.3904,5.4243,5.4797,5.5917,5.6222,5.7015,5.7884,5.8772,5.9819,6.0893,6.1981,6.3194,6.4394,6.5695,6.6961,6.7909,6.9346,7.0733,7.221,7.4252,7.598,7.7818,7.9406,8.0837,8.272,8.4235,8.5917,8.8007,8.9999,9.2063,9.4376,9.6689,9.8511,10.191,10.432,10.790999999999999,11.175,11.626,12.140999999999998,12.709000000000001,13.318,13.890999999999998,14.344000000000001,14.59,14.607999999999999,14.620999999999999,14.901,15.220999999999998,14.809000000000001
impedance,5.2264,5.2448,5.2853,5.3102,5.3471,5.4003,5.449,5.5143,5.5746,5.6464,5.7327,5.825,5.9261,6.0297,6.1452,6.2666,6.3908,6.5154,6.642,6.7906,6.9275,7.0754,7.2153,7.3545,7.5132,7.679,7.8413,8.0023,8.1652,8.3542,8.5493,8.7354,8.9445,9.1634,9.3792,9.603,9.8659,10.112,10.376,10.703,11.064,11.455,11.870999999999999,12.297,12.71,13.038,13.242,13.325999999999999,13.324000000000002,13.287,13.38,13.764000000000001,13.347000000000001
impedance,5.1349,5.1624,5.1803,5.2219,5.2668,5.3108,5.3609,5.4234,5.485,5.5563,5.6158,5.6989,5.7874,5.891,5.995,6.1055,6.2154,6.3232,6.4352,6.5543,6.676,6.8041,6.9342,7.0667,7.2025,7.346,7.4924,7.6466,7.8068,7.9704,8.1416,8.3212,8.5098,8.7041,8.9124,9.1327,9.3656,9.6223,9.9017,10.199,10.519,10.869000000000002,11.255,11.642999999999999,11.999,12.309000000000001,12.526,12.687999999999999,12.824000000000002,13.027000000000001,13.179,12.892999999999999,13.100999999999999
