,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
R/Ohm,0.29420999999999997,0.21556999999999998,0.14868,0.089835,0.045051,0.005034,-0.036098000000000005,-0.066424,-0.09524400000000001,-0.1221,-0.14774,-0.17347,-0.19610999999999998,-0.21946,-0.24256,-0.26541,-0.28499,-0.30229,-0.31808000000000003,-0.33004,-0.3383,-0.3451,-0.34514,-0.34113000000000004,-0.33248,-0.31964000000000004,-0.30414,-0.28625,-0.26745,-0.24509,-0.22509,-0.20447,-0.185,-0.16692,-0.14756,-0.12812,-0.11210999999999999,-0.09567,-0.081979,-0.06561399999999999,-0.05191900000000001,-0.041835000000000004,-0.033583,-0.025677,-0.019451,-0.014754,-0.011087,-0.0057027,-0.0023090999999999997,0.00068212
R/Ohm,0.26099,0.18403,0.1178,0.062254,0.017689,-0.021678,-0.05915700000000001,-0.090787,-0.1184,-0.14779,-0.17625,-0.19987,-0.22563000000000002,-0.2485,-0.27432,-0.29871,-0.31989,-0.34008,-0.3563,-0.37113,-0.38402,-0.39081,-0.39458000000000004,-0.39371,-0.3886,-0.37889,-0.36422,-0.34529,-0.32732,-0.30316,-0.27978000000000003,-0.25472,-0.23206,-0.20951,-0.18439,-0.16188,-0.14006,-0.1173,-0.10225,-0.084508,-0.06794800000000001,-0.051046,-0.043555,-0.031012,-0.025422999999999998,-0.015855,-0.012542,-0.0025743000000000003,,
R/Ohm,0.18825,0.11832000000000001,0.054064999999999995,0.0019301,-0.044003,-0.083237,-0.12334,-0.15685,-0.18955999999999998,-0.22066999999999998,-0.25040999999999997,-0.28036,-0.30944,-0.33886,-0.36663,-0.39447,-0.4202,-0.44296,-0.46451000000000003,-0.4855,-0.50198,-0.5181,-0.5294,-0.53857,-0.5442600000000001,-0.54769,-0.5486,-0.54197,-0.5340199999999999,-0.52287,-0.50561,-0.48476,-0.45916,-0.42626000000000003,-0.38899,-0.34849,-0.30912,-0.26328,-0.22353,-0.17867,-0.14257999999999998,-0.10935,-0.083777,-0.061602,-0.041793000000000004,-0.027795,-0.019683000000000003,-0.013680000000000001,-0.01027,-0.0056708999999999996
R/Ohm,0.16687000000000002,0.11263,0.064081,0.024878,-0.011382,-0.041530000000000004,-0.075238,-0.10124,-0.1263,-0.15088,-0.17467,-0.19869,-0.21959,-0.24104,-0.26048000000000004,-0.27956,-0.29459,-0.30735999999999997,-0.31697,-0.32394,-0.32714,-0.32875,-0.32450999999999997,-0.31677,-0.305,-0.29079,-0.27307,-0.25548000000000004,-0.23418000000000003,-0.21231,-0.19175,-0.17174,-0.15434,-0.13685999999999998,-0.11848,-0.10247,-0.087418,-0.07248500000000001,-0.061815999999999996,-0.049906,-0.038269,-0.029388,-0.022018,-0.017669999999999998,-0.011584,-0.008078199999999999,-0.0068915999999999995,-0.0045808,-0.0021744,0.0023401999999999997
R/Ohm,0.26621,0.18385,0.11456,0.05754600000000001,0.01042,-0.032931,-0.076914,-0.10939000000000002,-0.14035,-0.16898,-0.19792,-0.22598000000000001,-0.25103000000000003,-0.27769,-0.30359,-0.32709,-0.34964,-0.37022,-0.38838,-0.40397,-0.41718999999999995,-0.42749,-0.43378999999999995,-0.43665,-0.43635,-0.42983999999999994,-0.4209,-0.40614,-0.38759,-0.36684,-0.34238,-0.31411,-0.28648,-0.25719000000000003,-0.22824,-0.20078,-0.17274,-0.14756,-0.12611,-0.10171000000000001,-0.08326499999999999,-0.065243,-0.051834000000000005,-0.037985000000000005,-0.030336000000000002,-0.020982,-0.016314,-0.010109,-0.0021553,-0.0018537
R/Ohm,0.37269,0.27086,0.18467999999999998,0.11573,0.055802,0.006534399999999999,-0.041522,-0.080355,-0.11417999999999999,-0.14597000000000002,-0.17586,-0.20549,-0.23165,-0.25866999999999996,-0.28396,-0.30904,-0.33202,-0.35289,-0.3713,-0.38748,-0.4003,-0.4106,-0.41663999999999995,-0.41801000000000005,-0.41728999999999994,-0.41034,-0.39938,-0.38403000000000004,-0.36445,-0.34325,-0.3222,-0.29274,-0.26916999999999996,-0.24034,-0.21289,-0.18839,-0.16188,-0.13621,-0.11714000000000001,-0.094096,-0.077852,-0.058286000000000004,-0.047381,-0.035264,-0.027666000000000003,-0.020803,-0.015788999999999997,-0.009650299999999999,-0.0051543,-0.0058959
R/Ohm,0.34452,0.2555,0.18395,0.12161,0.070352,0.028814999999999997,-0.012981,-0.045883999999999994,-0.075292,-0.10234,-0.12772,-0.15358,-0.1756,-0.1985,-0.22018000000000001,-0.24272,-0.26222,-0.27967,-0.29481,-0.30821,-0.31795,-0.32586,-0.32773,-0.3258,-0.32027,-0.30937,-0.29585,-0.27876,-0.25997,-0.23981,-0.21978000000000003,-0.19909000000000002,-0.18081,-0.1635,-0.1447,-0.12482,-0.10830999999999999,-0.091525,-0.079414,-0.06371,-0.050787,-0.03952,-0.031852,-0.024317,-0.018619,-0.013378999999999999,-0.0099536,-0.0030244,-0.0027989,0.0004779
R/Ohm,0.24611,0.1743,0.11517000000000001,0.064086,0.021151,-0.014284,-0.050252,-0.080698,-0.10908,-0.13598,-0.16154000000000002,-0.1871,-0.20931999999999998,-0.23112,-0.25139,-0.2703,-0.28617,-0.29864,-0.30969,-0.31697,-0.3214,-0.32361999999999996,-0.32049,-0.314,-0.30378,-0.29020999999999997,-0.27442,-0.25656999999999996,-0.2354,-0.21456999999999998,-0.19605999999999998,-0.17253,-0.15453,-0.1378,-0.11890999999999999,-0.10186,-0.086462,-0.07003999999999999,-0.060519,-0.047169,-0.037153,-0.027998000000000002,-0.021041999999999998,-0.016069999999999997,-0.013359000000000001,-0.0076333,-0.007617399999999999,-0.00057809,,
R/Ohm,0.37367,0.19616,0.0753,-0.01383,-0.08256799999999999,-0.14075,-0.19197999999999998,-0.24090999999999999,-0.28731,-0.32545999999999997,-0.35467,-0.3716,-0.37216,-0.35745,-0.32604,-0.28523000000000004,-0.2402,-0.19825,-0.15647,-0.12143,-0.094338,-0.06646,-0.045617000000000005,-0.033216,-0.023177,-0.015893,,,,,,,,,,,,,,,,,,,,,,,,
R/Ohm,0.41611000000000004,0.28502,0.18074,0.097942,0.033199,-0.027125,-0.07388,-0.1141,-0.15214,-0.18827,-0.22007,-0.25177,-0.28192,-0.30919,-0.33231,-0.35162,-0.3669,-0.37767,-0.38005,-0.37677,-0.3665,-0.34868000000000005,-0.32768,-0.29899000000000003,-0.27343,-0.24461999999999998,-0.21796,-0.18705,-0.15995,-0.13699,-0.11337,-0.093105,-0.07273500000000001,-0.056015999999999996,-0.042769999999999996,-0.03325,-0.022449,-0.015861,-0.011852,-0.0092492,-0.000902,-0.0033385999999999997,,,,,,,,
R/Ohm,0.15044000000000002,0.090427,0.037394,-0.0074413,-0.048827999999999996,-0.080897,-0.11980999999999999,-0.1477,-0.17579,-0.20196,-0.23046,-0.2589,-0.28498,-0.31388,-0.34260999999999997,-0.37249,-0.40121999999999997,-0.42838999999999994,-0.45426000000000005,-0.47761000000000003,-0.49927,-0.518,-0.53415,-0.5465300000000001,-0.55588,-0.5595,-0.55923,-0.55394,-0.54311,-0.52484,-0.50465,-0.47445,-0.44428,-0.4047,-0.36241999999999996,-0.31904,-0.27568000000000004,-0.23126,-0.19411,-0.15809,-0.1256,-0.096414,-0.07493899999999999,-0.055265999999999996,-0.039362,,,,,
