,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
impedance,3.5504,3.5544,3.5644,3.5726,3.5828,3.5947,3.6063,3.6223,3.6404,3.6596,3.6824,3.707,3.7353,3.7673,3.8031,3.8424,3.8855,3.9329,3.9831,4.0369,4.0922,4.1488,4.2066,4.265,4.3216,4.3755,4.4272,4.4736,4.5169,4.5547,4.5903,4.619,4.6446,4.6632,4.684,4.7014,4.7194,4.7348,4.7485,4.7606,4.7715,4.785,4.7966,4.8109,4.8283,4.8605,4.9003,4.8784,4.8096,4.8946
impedance,3.7245,3.7348,3.7426,3.756,3.772,3.7862,3.8048,3.8258,3.8479,3.8713,3.8998,3.9281,3.9648,4.0021,4.0435,4.0875,4.1373,4.1898,4.2452,4.3062,4.3696,4.4339,4.4998,4.5644,4.6308,4.6948,4.757,4.8158,4.869,4.9173,4.9625,4.9996,5.0327,5.0563,5.08,5.0985,5.1135,5.1264,5.1369,5.1443,5.146,5.1441,5.1391,5.1326,5.1265,5.1244,5.1495,5.1199,,
impedance,4.4091,4.4225,4.4397,4.462,4.4845,4.5075,4.5315,4.5584,4.5927,4.628,4.6647,4.7057,4.752,4.8027,4.8567,4.9173,4.981,5.0503,5.1216,5.1981,5.2774,5.3588,5.4411,5.5284,5.6141,5.7035,5.793,5.8804,5.9714,6.0598,6.1482,6.2265,6.303,6.3775,6.4438,6.5072,6.5616,6.6109,6.6461,6.6752,6.7104,6.7239,6.7256,6.7127,6.6859,6.652,6.6329,6.6636,6.7778,6.6565
impedance,3.4448,3.4524,3.4608,3.4698,3.4808,3.4936,3.5073,3.5249,3.5463,3.5695,3.5953,3.6248,3.6578,3.6955,3.7358,3.7788,3.8266,3.8761,3.9278,3.9815,4.0364,4.0914,4.1467,4.2008,4.2539,4.3033,4.3501,4.3927,4.4302,4.4638,4.4926,4.5195,4.541,4.5601,4.5791,4.5938,4.6083,4.6224,4.6352,4.649,4.6612,4.6736,4.6875,4.7023,4.7174,4.736,4.7312,4.6587,4.7167,4.6632
impedance,3.9383,3.9525,3.9614,3.9771,3.9943,4.0093,4.0272,4.0478,4.0708,4.0974,4.1256,4.1582,4.194,4.234,4.2775,4.3252,4.3772,4.4332,4.4923,4.5555,4.6205,4.6873,4.7563,4.8264,4.8963,4.9667,5.0369,5.1051,5.1665,5.2265,5.2793,5.3293,5.3732,5.4001,5.4355,5.4614,5.4851,5.5095,5.5268,5.5431,5.553,5.5675,5.5758,5.5881,5.6003,5.6295,5.6807,5.7034,5.6226,5.6742
impedance,3.8978,3.905,3.9153,3.9264,3.9415,3.9547,3.9712,3.9901,4.0127,4.0375,4.0645,4.0944,4.128,4.1659,4.2068,4.2524,4.3017,4.3553,4.4119,4.472,4.5353,4.5996,4.6674,4.7349,4.8022,4.8712,4.9351,4.998,5.0584,5.1149,5.1649,5.2115,5.2512,5.2758,5.307,5.3335,5.3546,5.3758,5.3928,5.4071,5.4196,5.4293,5.4412,5.4512,5.467,5.4928,5.5468,5.5669,5.4763,5.538
impedance,3.4987,3.5029,3.5071,3.5178,3.5267,3.5362,3.5467,3.5608,3.5774,3.5959,3.6161,3.6389,3.6659,3.6948,3.7275,3.7638,3.8041,3.8477,3.894,3.9439,3.9962,4.0496,4.1056,4.1613,4.2171,4.2693,4.3201,4.3672,4.4099,4.4482,4.482,4.5129,4.5378,4.5593,4.5797,4.5997,4.6174,4.6324,4.6472,4.6594,4.6737,4.686,4.6992,4.7145,4.7361,4.7621,4.7872,4.7459,4.6968,4.7804
impedance,3.4147,3.4221,3.4275,3.435,3.4462,3.4579,3.4704,3.4867,3.5053,3.5275,3.5504,3.5787,3.6102,3.6457,3.6847,3.7266,3.7725,3.8204,3.8696,3.9218,3.975,4.0285,4.083,4.1354,4.1872,4.2373,4.2832,4.3261,4.3648,4.3986,4.4286,4.4541,4.4759,4.4917,4.5092,4.5242,4.536,4.5479,4.558,4.5692,4.5776,4.5871,4.5981,4.6127,4.6306,4.6581,4.6814,4.6343,,
impedance,3.6728,3.6927,3.7143,3.7403,3.7748,3.8177,3.87,3.9362,4.0165,4.1114,4.2172,4.3328,4.4526,4.5709,4.6766,4.7676,4.8394,4.8909,4.933,4.9627,4.9834,4.9974,5.003,4.9996,4.9957,4.9933,,,,,,,,,,,,,,,,,,,,,,,,
impedance,3.686,3.6973,3.7067,3.7222,3.7394,3.7579,3.7811,3.8088,3.8396,3.8732,3.9141,3.9602,4.0114,4.0699,4.1337,4.203,4.2764,4.3522,4.4304,4.5089,4.5853,4.6591,4.7255,4.7887,4.842,4.8877,4.9262,4.9565,4.9856,5.0096,5.0319,5.051,5.0676,5.0826,5.0969,5.1106,5.1322,5.1653,5.2127,5.1899,5.1129,5.1971,,,,,,,,
impedance,4.8721,4.883,4.893,4.9078,4.9172,4.9338,4.9497,4.9704,4.9929,5.0189,5.0433,5.0746,5.1107,5.1521,5.196,5.2452,5.3004,5.3611,5.4254,5.4956,5.5679,5.6462,5.7259,5.8099,5.8946,5.9831,6.0714,6.1592,6.2484,6.3343,6.4152,6.4925,6.5632,6.6154,6.6703,6.718,6.7743,6.8091,6.836,6.8594,6.8778,6.8958,6.911,6.928,6.9545,,,,,
