File.......:  500-eis-3%-ocv-7 - MAY,08.2015

System.....:  
Potential..:  1.044V
Current....:  -951.29uA
Temperature:  -0.9+-0.1C
Time.......:  17:28:55 - 17:31:20
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       6.2163e-01        3.8664e-01        0.999           0.0
   2      1.5917e+05       6.3535e-01        2.8564e-01        0.999           1.3
   3      1.2668e+05       6.4900e-01        2.0533e-01        1.000           1.7
   4      1.0082e+05       6.6279e-01        1.4007e-01        1.000           2.1
   5      8.0237e+04       6.7751e-01        8.8219e-02        1.000           2.6
   6      6.3857e+04       6.9267e-01        4.6252e-02        1.000           3.0
   7      5.0821e+04       7.0797e-01        1.2169e-02        1.000           3.4
   8      4.0447e+04       7.2353e-01       -1.5897e-02        1.000           3.8
   9      3.2190e+04       7.3941e-01       -3.9544e-02        1.000           4.3
  10      2.5619e+04       7.5574e-01       -6.0278e-02        1.000           4.7
  11      2.0389e+04       7.7356e-01       -7.6695e-02        1.000           5.1
  12      1.6227e+04       7.9236e-01       -9.0180e-02        1.000           5.5
  13      1.2914e+04       8.1191e-01       -1.0190e-01        1.000           6.0
  14      1.0278e+04       8.3261e-01       -1.1215e-01        1.000           6.4
  15      8.1797e+03       8.5411e-01       -1.2178e-01        1.000           6.9
  16      6.5099e+03       8.7655e-01       -1.2754e-01        1.000           7.3
  17      5.1809e+03       8.9947e-01       -1.3118e-01        1.000           7.7
  18      4.1233e+03       9.2190e-01       -1.3270e-01        0.999           8.1
  19      3.2816e+03       9.4540e-01       -1.3444e-01        0.999           8.6
  20      2.6117e+03       9.6928e-01       -1.3542e-01        1.000           9.0
  21      2.0785e+03       9.9172e-01       -1.3362e-01        1.000           9.4
  22      1.6542e+03       1.0115e+00       -1.2947e-01        1.000           9.9
  23      1.3165e+03       1.0304e+00       -1.2544e-01        0.999          10.3
  24      1.0478e+03       1.0484e+00       -1.2210e-01        0.999          10.7
  25      8.3387e+02       1.0653e+00       -1.1892e-01        0.999          11.1
  26      6.6364e+02       1.0797e+00       -1.1604e-01        0.999          11.6
  27      5.2816e+02       1.0948e+00       -1.1482e-01        0.999          12.0
  28      4.2034e+02       1.1081e+00       -1.1517e-01        0.999          12.4
  29      3.3453e+02       1.1196e+00       -1.1632e-01        0.999          12.8
  30      2.6624e+02       1.1343e+00       -1.1965e-01        0.999          13.3
  31      2.1189e+02       1.1486e+00       -1.2467e-01        0.999          13.7
  32      1.6864e+02       1.1636e+00       -1.3103e-01        0.999          14.1
  33      1.3421e+02       1.1796e+00       -1.3900e-01        0.999          14.5
  34      1.0681e+02       1.1990e+00       -1.4834e-01        0.999          15.0
  35      8.5008e+01       1.2188e+00       -1.5948e-01        0.999          15.4
  36      6.7654e+01       1.2370e+00       -1.7158e-01        0.999          15.9
  37      5.3524e+01       1.2649e+00       -1.8349e-01        0.999          17.2
  38      4.1896e+01       1.2881e+00       -2.0017e-01        0.999          18.7
  39      3.2409e+01       1.3239e+00       -2.1711e-01        0.999          19.9
  40      2.4746e+01       1.3612e+00       -2.3270e-01        0.999          21.1
  41      1.8624e+01       1.4115e+00       -2.4592e-01        0.998          22.4
  42      1.3792e+01       1.4519e+00       -2.6885e-01        0.999          23.8
  43      1.0031e+01       1.5074e+00       -2.9554e-01        0.999          25.4
  44      7.1499e+00       1.5817e+00       -3.1733e-01        0.999          27.2
  45      4.9825e+00       1.6288e+00       -3.3320e-01        0.996          29.4
  46      3.3858e+00       1.7434e+00       -3.8120e-01        0.999          32.1
  47      2.2374e+00       1.8442e+00       -3.9987e-01        0.999          35.5
  48      1.4343e+00       1.9259e+00       -4.3451e-01        0.999          40.9
  49      8.9031e-01       2.0972e+00       -4.3062e-01        0.998          47.8
  50      5.3506e-01       2.2447e+00       -4.5971e-01        0.999          57.7
  51      3.1211e-01       2.3208e+00       -3.1986e-01        0.997          72.7
  52      1.7783e-01       2.5586e+00       -3.9679e-01        0.985          97.1
  53      1.0000e-01       2.6986e+00       -3.1157e-01        0.990         133.0

