File.......:  500-eis-3%-ocv-9 - MAY,10.2015

System.....:  
Potential..:  1.042V
Current....:  -1.4632mA
Temperature:  -0.9+-0.1C
Time.......:  21:59:10 - 22:01:34
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       6.4796e-01        3.7658e-01        0.999           0.0
   2      1.5917e+05       6.6114e-01        2.7788e-01        1.000           0.9
   3      1.2668e+05       6.7522e-01        1.9922e-01        1.000           1.4
   4      1.0082e+05       6.8861e-01        1.3557e-01        1.000           1.8
   5      8.0237e+04       7.0258e-01        8.5432e-02        1.000           2.2
   6      6.3857e+04       7.1699e-01        4.4056e-02        1.000           2.6
   7      5.0821e+04       7.3147e-01        1.0462e-02        1.000           3.0
   8      4.0447e+04       7.4657e-01       -1.7552e-02        1.000           3.5
   9      3.2190e+04       7.6240e-01       -4.0185e-02        1.000           3.9
  10      2.5619e+04       7.7840e-01       -6.0637e-02        1.000           4.3
  11      2.0389e+04       7.9597e-01       -7.7272e-02        1.000           4.8
  12      1.6227e+04       8.1433e-01       -9.1451e-02        1.000           5.2
  13      1.2914e+04       8.3373e-01       -1.0369e-01        1.000           5.6
  14      1.0278e+04       8.5455e-01       -1.1392e-01        1.000           6.0
  15      8.1797e+03       8.7564e-01       -1.2259e-01        1.000           6.5
  16      6.5099e+03       8.9827e-01       -1.2868e-01        1.000           6.9
  17      5.1809e+03       9.2149e-01       -1.3370e-01        1.000           7.3
  18      4.1233e+03       9.4489e-01       -1.3651e-01        1.000           7.8
  19      3.2816e+03       9.6833e-01       -1.3768e-01        1.000           8.2
  20      2.6117e+03       9.9143e-01       -1.3710e-01        1.000           8.6
  21      2.0785e+03       1.0134e+00       -1.3466e-01        1.000           9.0
  22      1.6542e+03       1.0345e+00       -1.3177e-01        1.000           9.5
  23      1.3165e+03       1.0535e+00       -1.2757e-01        1.000           9.9
  24      1.0478e+03       1.0717e+00       -1.2359e-01        0.999          10.3
  25      8.3387e+02       1.0877e+00       -1.2057e-01        0.999          10.7
  26      6.6364e+02       1.1028e+00       -1.1770e-01        0.999          11.1
  27      5.2816e+02       1.1169e+00       -1.1653e-01        1.000          11.6
  28      4.2034e+02       1.1307e+00       -1.1688e-01        0.999          12.0
  29      3.3453e+02       1.1437e+00       -1.1864e-01        0.999          12.4
  30      2.6624e+02       1.1578e+00       -1.2201e-01        0.999          12.9
  31      2.1189e+02       1.1714e+00       -1.2761e-01        0.999          13.3
  32      1.6864e+02       1.1876e+00       -1.3448e-01        0.999          13.7
  33      1.3421e+02       1.2037e+00       -1.4340e-01        0.999          14.1
  34      1.0681e+02       1.2213e+00       -1.5380e-01        0.999          14.5
  35      8.5008e+01       1.2421e+00       -1.6397e-01        0.999          15.0
  36      6.7654e+01       1.2639e+00       -1.7702e-01        0.999          15.5
  37      5.3524e+01       1.2888e+00       -1.9099e-01        0.999          16.8
  38      4.1896e+01       1.3182e+00       -2.0550e-01        0.999          18.3
  39      3.2409e+01       1.3510e+00       -2.2321e-01        0.999          19.5
  40      2.4746e+01       1.3892e+00       -2.4001e-01        0.999          20.6
  41      1.8624e+01       1.4331e+00       -2.5912e-01        0.999          21.9
  42      1.3792e+01       1.4851e+00       -2.7874e-01        0.999          23.4
  43      1.0031e+01       1.5442e+00       -2.9909e-01        0.999          25.0
  44      7.1499e+00       1.6138e+00       -3.2260e-01        0.999          26.8
  45      4.9825e+00       1.6861e+00       -3.4502e-01        0.998          29.0
  46      3.3858e+00       1.7525e+00       -3.6584e-01        0.999          31.7
  47      2.2374e+00       1.8780e+00       -3.9754e-01        0.998          35.1
  48      1.4343e+00       1.9983e+00       -4.1149e-01        1.000          40.5
  49      8.9031e-01       2.1465e+00       -4.3553e-01        0.998          47.3
  50      5.3506e-01       2.3144e+00       -4.5015e-01        0.998          57.3
  51      3.1211e-01       2.4728e+00       -4.2510e-01        0.999          72.2
  52      1.7783e-01       2.6381e+00       -3.7117e-01        0.998          96.7
  53      1.0000e-01       2.7548e+00       -3.0176e-01        0.996         132.6

