File.......:  500-eis-3%-ocv - MAY,04.2015

System.....:  
Potential..:  1.007V
Current....:  -943.86uA
Temperature:  -0.9+-0.1C
Time.......:  10:44:56 - 10:47:20
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       2.0000e+05       5.1129e-01        4.0424e-01        0.999           0.0
  2       1.5917e+05       5.2188e-01        3.0457e-01        0.999           0.9
  3       1.2668e+05       5.3239e-01        2.2551e-01        0.999           1.4
  4       1.0082e+05       5.4358e-01        1.6137e-01        1.000           1.8
  5       8.0237e+04       5.5457e-01        1.1059e-01        1.000           2.2
  6       6.3857e+04       5.6588e-01        6.9725e-02        1.000           2.6
  7       5.0821e+04       5.7783e-01        3.6398e-02        1.000           3.1
  8       4.0447e+04       5.8990e-01        9.5028e-03        1.000           3.5
  9       3.2190e+04       6.0252e-01       -1.2527e-02        1.000           3.9
 10       2.5619e+04       6.1555e-01       -3.1116e-02        1.000           4.3
 11       2.0389e+04       6.2937e-01       -4.5815e-02        1.000           4.7
 12       1.6227e+04       6.4385e-01       -5.7842e-02        1.000           5.2
 13       1.2914e+04       6.5903e-01       -6.7466e-02        1.000           5.6
 14       1.0278e+04       6.7436e-01       -7.4761e-02        1.000           6.0
 15       8.1797e+03       6.9007e-01       -8.0391e-02        1.000           6.5
 16       6.5099e+03       7.0607e-01       -8.3633e-02        1.000           6.9
 17       5.1809e+03       7.2187e-01       -8.5691e-02        0.999           7.3
 18       4.1233e+03       7.3728e-01       -8.6266e-02        1.000           7.8
 19       3.2816e+03       7.5205e-01       -8.5824e-02        1.000           8.2
 20       2.6117e+03       7.6616e-01       -8.4256e-02        0.999           8.6
 21       2.0785e+03       7.7916e-01       -8.1906e-02        1.000           9.0
 22       1.6542e+03       7.9129e-01       -7.9399e-02        1.000           9.5
 23       1.3165e+03       8.0240e-01       -7.6664e-02        0.999           9.9
 24       1.0478e+03       8.1256e-01       -7.4421e-02        0.999          10.3
 25       8.3387e+02       8.2171e-01       -7.2646e-02        1.000          10.7
 26       6.6364e+02       8.3035e-01       -7.1487e-02        0.999          11.2
 27       5.2816e+02       8.3852e-01       -7.1290e-02        0.999          11.6
 28       4.2034e+02       8.4643e-01       -7.2317e-02        0.999          12.0
 29       3.3453e+02       8.5434e-01       -7.4168e-02        0.999          12.4
 30       2.6624e+02       8.6253e-01       -7.6980e-02        0.999          12.8
 31       2.1189e+02       8.7103e-01       -8.1004e-02        0.999          13.3
 32       1.6864e+02       8.8035e-01       -8.6154e-02        0.999          13.7
 33       1.3421e+02       8.9077e-01       -9.2329e-02        0.999          14.1
 34       1.0681e+02       9.0206e-01       -1.0001e-01        0.999          14.5
 35       8.5008e+01       9.1456e-01       -1.0818e-01        0.999          15.0
 36       6.7654e+01       9.2824e-01       -1.1828e-01        0.999          15.5
 37       5.3524e+01       9.4320e-01       -1.2946e-01        0.999          16.7
 38       4.1896e+01       9.6101e-01       -1.4219e-01        0.999          18.3
 39       3.2409e+01       9.8188e-01       -1.5734e-01        0.999          19.4
 40       2.4746e+01       1.0065e+00       -1.7507e-01        0.999          20.6
 41       1.8624e+01       1.0373e+00       -1.9509e-01        0.999          21.9
 42       1.3792e+01       1.0732e+00       -2.1885e-01        0.999          23.4
 43       1.0031e+01       1.1174e+00       -2.4486e-01        0.999          25.0
 44       7.1499e+00       1.1718e+00       -2.7534e-01        0.999          26.8
 45       4.9825e+00       1.2350e+00       -3.1125e-01        0.999          29.0
 46       3.3858e+00       1.3165e+00       -3.4250e-01        0.999          31.7
 47       2.2374e+00       1.4139e+00       -3.7779e-01        0.998          35.1
 48       1.4343e+00       1.5328e+00       -4.1439e-01        0.998          40.5
 49       8.9031e-01       1.6746e+00       -4.4521e-01        0.998          47.3
 50       5.3506e-01       1.8458e+00       -4.6359e-01        0.998          57.2
 51       3.1211e-01       2.0211e+00       -4.6050e-01        0.998          72.2
 52       1.7783e-01       2.2038e+00       -4.0941e-01        0.998          96.7
 53       1.0000e-01       2.3492e+00       -3.6293e-01        0.992         132.6

