File.......:  500-eis-50%-210-5 - MAY,07.2015

System.....:  
Potential..:  1.381V
Current....:  209.54mA
Temperature:  -1.0+-0.1C
Time.......:  10:05:15 - 10:08:11
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       5.4288e-01        4.0235e-01        1.000           0.0
   2      1.5917e+05       5.5325e-01        3.0208e-01        0.999           1.7
   3      1.2668e+05       5.6459e-01        2.2066e-01        0.999           2.6
   4      1.0082e+05       5.7648e-01        1.5603e-01        0.999           3.5
   5      8.0237e+04       5.8880e-01        1.0441e-01        1.000           4.4
   6      6.3857e+04       6.0153e-01        6.1559e-02        1.000           5.4
   7      5.0821e+04       6.1425e-01        2.7017e-02        1.000           6.3
   8      4.0447e+04       6.2802e-01       -1.3823e-03        1.000           7.2
   9      3.2190e+04       6.4230e-01       -2.4345e-02        1.000           8.1
  10      2.5619e+04       6.5695e-01       -4.4160e-02        1.000           9.1
  11      2.0389e+04       6.7293e-01       -6.0461e-02        1.000          10.0
  12      1.6227e+04       6.8951e-01       -7.4045e-02        1.000          10.9
  13      1.2914e+04       7.0721e-01       -8.5339e-02        1.000          11.9
  14      1.0278e+04       7.2503e-01       -9.4515e-02        1.000          12.8
  15      8.1797e+03       7.4271e-01       -1.0136e-01        1.000          13.7
  16      6.5099e+03       7.6202e-01       -1.0682e-01        1.000          14.6
  17      5.1809e+03       7.8059e-01       -1.0983e-01        1.000          15.6
  18      4.1233e+03       8.0075e-01       -1.1259e-01        1.000          16.5
  19      3.2816e+03       8.2059e-01       -1.1325e-01        1.000          17.4
  20      2.6117e+03       8.3896e-01       -1.1185e-01        1.000          18.3
  21      2.0785e+03       8.5767e-01       -1.0972e-01        1.000          19.3
  22      1.6542e+03       8.7551e-01       -1.0680e-01        1.000          20.2
  23      1.3165e+03       8.9105e-01       -1.0286e-01        1.000          21.1
  24      1.0478e+03       9.0651e-01       -9.9464e-02        1.000          22.1
  25      8.3387e+02       9.2017e-01       -9.6050e-02        1.000          23.0
  26      6.6364e+02       9.3441e-01       -8.9601e-02        0.999          23.9
  27      5.2816e+02       9.4414e-01       -8.9187e-02        1.000          24.9
  28      4.2034e+02       9.5832e-01       -8.6491e-02        1.000          26.5
  29      3.3453e+02       9.6053e-01       -8.5060e-02        1.000          28.5
  30      2.6624e+02       9.6979e-01       -8.4164e-02        0.999          29.9
  31      2.1189e+02       9.8219e-01       -8.4852e-02        1.000          31.7
  32      1.6864e+02       9.9707e-01       -8.3268e-02        1.000          33.5
  33      1.3421e+02       1.0029e+00       -8.6466e-02        0.999          34.9
  34      1.0681e+02       1.0090e+00       -8.4756e-02        1.000          36.4
  35      8.5008e+01       1.0244e+00       -9.1277e-02        0.999          37.9
  36      6.7654e+01       1.0443e+00       -9.8271e-02        1.000          39.4
  37      5.3524e+01       1.0575e+00       -1.0050e-01        1.000          41.0
  38      4.1896e+01       1.0755e+00       -1.0288e-01        1.000          42.6
  39      3.2409e+01       1.0944e+00       -1.0357e-01        1.000          44.2
  40      2.4746e+01       1.1157e+00       -1.1060e-01        1.000          45.9
  41      1.8624e+01       1.1344e+00       -1.1332e-01        0.999          47.7
  42      1.3792e+01       1.1591e+00       -1.1175e-01        1.000          49.6
  43      1.0031e+01       1.1852e+00       -1.0955e-01        0.999          51.7
  44      7.1499e+00       1.2105e+00       -1.0667e-01        1.000          54.0
  45      4.9825e+00       1.2364e+00       -1.0463e-01        0.999          56.8
  46      3.3858e+00       1.2587e+00       -9.0197e-02        0.999          59.9
  47      2.2374e+00       1.2897e+00       -1.1415e-01        0.996          63.8
  48      1.4343e+00       1.3211e+00       -8.0192e-02        0.998          70.0
  49      8.9031e-01       1.3334e+00       -4.1827e-02        0.996          77.3
  50      5.3506e-01       1.3371e+00       -5.2136e-02        0.995          87.8
  51      3.1211e-01       1.4853e+00        6.4962e-02        0.979         103.2
  52      1.7783e-01       1.4107e+00        9.7851e-02        0.992         128.2
  53      1.0000e-01       1.4590e+00        9.3552e-02        0.989         164.6

