File.......:  500-eis-50%-co-4-400ma - MAY,11.2015

System.....:  
Potential..:  1.377V
Current....:  398.31mA
Temperature:  -0.9+-0.0C
Time.......:  21:14:37 - 21:17:42
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       6.5858e-01        3.8508e-01        0.993           0.0
   2      1.5917e+05       6.7149e-01        2.4709e-01        0.996           2.2
   3      1.2668e+05       6.7710e-01        1.8044e-01        0.998           3.3
   4      1.0082e+05       6.9347e-01        1.2083e-01        0.999           4.6
   5      8.0237e+04       7.0108e-01        6.2853e-02        1.000           5.8
   6      6.3857e+04       7.2037e-01        1.8726e-02        0.999           6.9
   7      5.0821e+04       7.4026e-01       -2.0232e-02        0.999           8.2
   8      4.0447e+04       7.5884e-01       -4.7864e-02        0.999           9.4
   9      3.2190e+04       7.7456e-01       -7.3569e-02        0.999          10.5
  10      2.5619e+04       7.9905e-01       -9.2114e-02        1.000          11.6
  11      2.0389e+04       8.2030e-01       -1.1121e-01        1.000          12.6
  12      1.6227e+04       8.4259e-01       -1.2766e-01        1.000          13.7
  13      1.2914e+04       8.6601e-01       -1.4153e-01        1.000          14.8
  14      1.0278e+04       8.9163e-01       -1.5587e-01        1.000          15.9
  15      8.1797e+03       9.1869e-01       -1.6876e-01        1.000          17.0
  16      6.5099e+03       9.4667e-01       -1.7995e-01        1.000          18.0
  17      5.1809e+03       9.7764e-01       -1.8880e-01        1.000          19.1
  18      4.1233e+03       1.0101e+00       -1.9828e-01        1.000          20.4
  19      3.2816e+03       1.0439e+00       -2.0633e-01        1.000          21.6
  20      2.6117e+03       1.0786e+00       -2.1030e-01        1.000          22.7
  21      2.0785e+03       1.1156e+00       -2.1378e-01        1.000          23.8
  22      1.6542e+03       1.1527e+00       -2.1386e-01        1.000          24.9
  23      1.3165e+03       1.1900e+00       -2.1207e-01        1.000          25.9
  24      1.0478e+03       1.2227e+00       -2.0278e-01        1.000          27.0
  25      8.3387e+02       1.2587e+00       -1.9664e-01        1.000          28.1
  26      6.6364e+02       1.2897e+00       -1.8624e-01        1.000          29.2
  27      5.2816e+02       1.3170e+00       -1.7346e-01        1.000          30.2
  28      4.2034e+02       1.3428e+00       -1.6274e-01        1.000          32.1
  29      3.3453e+02       1.3611e+00       -1.4792e-01        1.000          34.2
  30      2.6624e+02       1.3846e+00       -1.3590e-01        1.000          35.8
  31      2.1189e+02       1.4049e+00       -1.2610e-01        1.000          37.3
  32      1.6864e+02       1.4162e+00       -1.1357e-01        1.000          38.9
  33      1.3421e+02       1.4322e+00       -1.0525e-01        1.000          40.5
  34      1.0681e+02       1.4475e+00       -9.7801e-02        1.000          42.1
  35      8.5008e+01       1.4616e+00       -9.1267e-02        1.000          43.8
  36      6.7654e+01       1.4664e+00       -8.6145e-02        1.000          45.4
  37      5.3524e+01       1.4818e+00       -8.3912e-02        1.000          47.1
  38      4.1896e+01       1.4919e+00       -7.6737e-02        1.000          48.9
  39      3.2409e+01       1.5067e+00       -7.4581e-02        1.000          50.6
  40      2.4746e+01       1.5186e+00       -7.2670e-02        0.999          52.5
  41      1.8624e+01       1.5307e+00       -6.3092e-02        1.000          54.4
  42      1.3792e+01       1.5403e+00       -5.5956e-02        1.000          56.5
  43      1.0031e+01       1.5550e+00       -5.4889e-02        0.999          58.8
  44      7.1499e+00       1.5688e+00       -3.8349e-02        1.000          61.3
  45      4.9825e+00       1.5774e+00       -1.0895e-02        0.999          64.1
  46      3.3858e+00       1.5560e+00        1.2753e-03        1.000          67.5
  47      2.2374e+00       1.5592e+00       -2.9181e-03        0.999          71.5
  48      1.4343e+00       1.5593e+00        1.0264e-02        0.999          77.9
  49      8.9031e-01       1.5411e+00        3.0574e-02        0.993          85.4
  50      5.3506e-01       1.5775e+00        2.1874e-03        0.995          95.9
  51      3.1211e-01       1.6745e+00        5.7661e-04        0.997         111.6
  52      1.7783e-01       1.5225e+00        5.3055e-02        0.993         136.7
  53      1.0000e-01       1.4973e+00        4.9876e-02        0.988         173.2

