File.......:  500-eis-50%-co-8 - MAY,12.2015

System.....:  
Potential..:  0.988V
Current....:  -310.52uA
Temperature:  -0.8+-0.1C
Time.......:  22:57:36 - 23:00:00
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       2.0000e+05       6.9756e-01        3.3792e-01        0.999           0.0
  2       1.5917e+05       7.1473e-01        2.4287e-01        1.000           1.4
  3       1.2668e+05       7.3213e-01        1.6737e-01        1.000           1.9
  4       1.0082e+05       7.4814e-01        1.0658e-01        1.000           2.3
  5       8.0237e+04       7.6638e-01        5.7187e-02        1.000           2.7
  6       6.3857e+04       7.8297e-01        1.7261e-02        1.000           3.1
  7       5.0821e+04       8.0064e-01       -1.5334e-02        1.000           3.5
  8       4.0447e+04       8.1848e-01       -4.3567e-02        1.000           4.0
  9       3.2190e+04       8.3712e-01       -6.6809e-02        1.000           4.4
 10       2.5619e+04       8.5597e-01       -8.7519e-02        1.000           4.8
 11       2.0389e+04       8.7591e-01       -1.0598e-01        1.000           5.2
 12       1.6227e+04       8.9685e-01       -1.2297e-01        0.999           5.6
 13       1.2914e+04       9.1961e-01       -1.3839e-01        1.000           6.1
 14       1.0278e+04       9.4406e-01       -1.5341e-01        0.999           6.5
 15       8.1797e+03       9.7004e-01       -1.6752e-01        1.000           6.9
 16       6.5099e+03       9.9807e-01       -1.8028e-01        1.000           7.4
 17       5.1809e+03       1.0277e+00       -1.9216e-01        1.000           7.8
 18       4.1233e+03       1.0597e+00       -2.0336e-01        1.000           8.2
 19       3.2816e+03       1.0931e+00       -2.1305e-01        0.999           8.7
 20       2.6117e+03       1.1281e+00       -2.2077e-01        0.999           9.1
 21       2.0785e+03       1.1639e+00       -2.2718e-01        0.999           9.5
 22       1.6542e+03       1.2018e+00       -2.3127e-01        0.999           9.9
 23       1.3165e+03       1.2393e+00       -2.3419e-01        0.999          10.4
 24       1.0478e+03       1.2762e+00       -2.3465e-01        0.999          10.8
 25       8.3387e+02       1.3136e+00       -2.3416e-01        0.999          11.2
 26       6.6364e+02       1.3489e+00       -2.3195e-01        0.999          11.6
 27       5.2816e+02       1.3829e+00       -2.2899e-01        0.999          12.1
 28       4.2034e+02       1.4158e+00       -2.2623e-01        0.999          12.5
 29       3.3453e+02       1.4473e+00       -2.2357e-01        0.999          12.9
 30       2.6624e+02       1.4778e+00       -2.2193e-01        0.999          13.3
 31       2.1189e+02       1.5066e+00       -2.2070e-01        0.999          13.8
 32       1.6864e+02       1.5324e+00       -2.2245e-01        0.999          14.2
 33       1.3421e+02       1.5644e+00       -2.2414e-01        0.999          14.6
 34       1.0681e+02       1.5893e+00       -2.2017e-01        0.998          15.0
 35       8.5008e+01       1.6140e+00       -2.3180e-01        0.998          15.5
 36       6.7654e+01       1.6473e+00       -2.5472e-01        0.998          16.0
 37       5.3524e+01       1.6831e+00       -2.5652e-01        0.999          17.2
 38       4.1896e+01       1.7250e+00       -2.7298e-01        0.999          18.8
 39       3.2409e+01       1.7703e+00       -2.7927e-01        0.999          19.9
 40       2.4746e+01       1.8230e+00       -3.0776e-01        1.000          21.1
 41       1.8624e+01       1.8824e+00       -3.2770e-01        0.998          22.4
 42       1.3792e+01       1.9272e+00       -3.5232e-01        0.999          23.8
 43       1.0031e+01       1.9963e+00       -3.9061e-01        0.998          25.4
 44       7.1499e+00       2.0968e+00       -4.2727e-01        0.998          27.3
 45       4.9825e+00       2.1455e+00       -4.6135e-01        1.000          29.5
 46       3.3858e+00       2.2840e+00       -4.9383e-01        0.996          32.2
 47       2.2374e+00       2.3630e+00       -5.0205e-01        0.995          35.6
 48       1.4343e+00       2.5197e+00       -5.7966e-01        0.997          41.0
 49       8.9031e-01       2.8049e+00       -7.2863e-01        0.987          47.8
 50       5.3506e-01       2.9331e+00       -5.5428e-01        0.988          57.7
 51       3.1211e-01       3.1918e+00       -5.2003e-01        0.986          72.7
 52       1.7783e-01       3.5092e+00       -6.3551e-01        0.997          97.1
 53       1.0000e-01       3.6930e+00       -5.0177e-01        0.991         133.0

