File.......:  500-eis-50%-ocv-1 - MAY,05.2015

System.....:  
Potential..:  1.147V
Current....:  209.55mA
Temperature:  -1.0+-0.1C
Time.......:  09:21:59 - 09:24:55
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.9247e-01        4.1268e-01        0.999           0.0
   2      1.5917e+05       5.0112e-01        3.1178e-01        0.999           1.5
   3      1.2668e+05       5.1005e-01        2.3331e-01        0.999           2.5
   4      1.0082e+05       5.1944e-01        1.6813e-01        1.000           3.4
   5      8.0237e+04       5.3295e-01        1.1494e-01        0.996           4.3
   6      6.3857e+04       5.3957e-01        7.4716e-02        1.000           5.2
   7      5.0821e+04       5.5060e-01        4.0633e-02        1.000           6.2
   8      4.0447e+04       5.6250e-01        1.3908e-02        1.000           7.1
   9      3.2190e+04       5.7471e-01       -9.0526e-03        1.000           8.0
  10      2.5619e+04       5.8713e-01       -2.7542e-02        1.000           9.0
  11      2.0389e+04       6.0030e-01       -4.2208e-02        1.000           9.9
  12      1.6227e+04       6.1390e-01       -5.4407e-02        1.000          10.8
  13      1.2914e+04       6.2803e-01       -6.4360e-02        1.000          11.8
  14      1.0278e+04       6.4307e-01       -7.2063e-02        1.000          12.7
  15      8.1797e+03       6.5787e-01       -7.7959e-02        1.000          13.6
  16      6.5099e+03       6.7342e-01       -8.2408e-02        1.000          14.6
  17      5.1809e+03       6.8839e-01       -8.4782e-02        1.000          15.5
  18      4.1233e+03       7.0373e-01       -8.6418e-02        1.000          16.4
  19      3.2816e+03       7.1796e-01       -8.6355e-02        1.000          17.4
  20      2.6117e+03       7.3256e-01       -8.6107e-02        1.000          18.3
  21      2.0785e+03       7.4546e-01       -8.4253e-02        1.000          19.2
  22      1.6542e+03       7.5740e-01       -8.2833e-02        1.000          20.2
  23      1.3165e+03       7.6430e-01       -7.8785e-02        1.000          21.1
  24      1.0478e+03       7.7373e-01       -7.6653e-02        1.000          22.0
  25      8.3387e+02       7.8469e-01       -7.5500e-02        1.000          22.9
  26      6.6364e+02       7.9757e-01       -7.3924e-02        1.000          23.9
  27      5.2816e+02       8.0580e-01       -7.3975e-02        1.000          24.8
  28      4.2034e+02       8.1820e-01       -7.5230e-02        1.000          26.5
  29      3.3453e+02       8.2878e-01       -7.4918e-02        0.999          28.4
  30      2.6624e+02       8.3857e-01       -7.7283e-02        1.000          29.9
  31      2.1189e+02       8.4970e-01       -7.8980e-02        1.000          31.3
  32      1.6864e+02       8.6150e-01       -8.1647e-02        1.000          32.7
  33      1.3421e+02       8.7156e-01       -8.4531e-02        1.000          34.2
  34      1.0681e+02       8.8380e-01       -8.7113e-02        0.999          35.6
  35      8.5008e+01       8.9572e-01       -9.1468e-02        1.000          37.1
  36      6.7654e+01       9.0764e-01       -9.5795e-02        0.999          38.6
  37      5.3524e+01       9.2291e-01       -1.0135e-01        1.000          40.6
  38      4.1896e+01       9.3677e-01       -1.0479e-01        1.000          42.5
  39      3.2409e+01       9.5599e-01       -1.1052e-01        1.000          44.2
  40      2.4746e+01       9.7318e-01       -1.1390e-01        1.000          45.9
  41      1.8624e+01       9.9463e-01       -1.1527e-01        0.999          47.7
  42      1.3792e+01       1.0198e+00       -1.1564e-01        0.999          49.6
  43      1.0031e+01       1.0524e+00       -1.2505e-01        0.999          51.7
  44      7.1499e+00       1.0805e+00       -1.2186e-01        0.999          54.0
  45      4.9825e+00       1.1191e+00       -1.2214e-01        0.998          56.7
  46      3.3858e+00       1.1471e+00       -1.1320e-01        0.999          59.9
  47      2.2374e+00       1.1718e+00       -1.1398e-01        0.999          63.8
  48      1.4343e+00       1.1969e+00       -8.9194e-02        0.998          70.0
  49      8.9031e-01       1.2215e+00       -8.1764e-02        0.999          77.3
  50      5.3506e-01       1.2812e+00       -6.5315e-02        0.999          87.7
  51      3.1211e-01       1.2323e+00       -1.2132e-01        0.990         103.2
  52      1.7783e-01       1.3134e+00       -2.9516e-02        0.994         128.2
  53      1.0000e-01       1.4757e+00       -1.3788e-01        0.974         164.5

