File.......:  500-eis-50%-co-1 - MAY,11.2015

System.....:  
Potential..:  0.962V
Current....:  -1.2945mA
Temperature:  -0.7+-0.1C
Time.......:  14:45:23 - 14:47:47
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       6.4682e-01        3.8193e-01        0.999           0.0
   2      1.5917e+05       6.5932e-01        2.8348e-01        1.000           1.0
   3      1.2668e+05       6.7238e-01        2.0290e-01        0.999           1.5
   4      1.0082e+05       6.8550e-01        1.4148e-01        1.000           1.9
   5      8.0237e+04       6.9885e-01        9.0556e-02        1.000           2.3
   6      6.3857e+04       7.1220e-01        4.9150e-02        1.000           2.8
   7      5.0821e+04       7.2533e-01        1.8231e-02        0.999           3.2
   8      4.0447e+04       7.4070e-01       -1.2670e-02        1.000           3.6
   9      3.2190e+04       7.5580e-01       -3.6375e-02        1.000           4.0
  10      2.5619e+04       7.7163e-01       -5.7341e-02        1.000           4.5
  11      2.0389e+04       7.8826e-01       -7.4428e-02        1.000           4.9
  12      1.6227e+04       8.0628e-01       -8.9307e-02        1.000           5.3
  13      1.2914e+04       8.2523e-01       -1.0248e-01        1.000           5.7
  14      1.0278e+04       8.4564e-01       -1.1385e-01        1.000           6.2
  15      8.1797e+03       8.6705e-01       -1.2386e-01        1.000           6.6
  16      6.5099e+03       8.8922e-01       -1.3164e-01        1.000           7.0
  17      5.1809e+03       9.1236e-01       -1.3819e-01        1.000           7.5
  18      4.1233e+03       9.3630e-01       -1.4316e-01        1.000           7.9
  19      3.2816e+03       9.6089e-01       -1.4691e-01        1.000           8.3
  20      2.6117e+03       9.8546e-01       -1.4875e-01        0.999           8.7
  21      2.0785e+03       1.0096e+00       -1.4841e-01        1.000           9.2
  22      1.6542e+03       1.0339e+00       -1.4817e-01        0.999           9.6
  23      1.3165e+03       1.0578e+00       -1.4669e-01        0.999          10.0
  24      1.0478e+03       1.0798e+00       -1.4460e-01        0.999          10.5
  25      8.3387e+02       1.1010e+00       -1.4218e-01        0.999          10.9
  26      6.6364e+02       1.1199e+00       -1.3951e-01        0.999          11.3
  27      5.2816e+02       1.1368e+00       -1.3793e-01        0.999          11.8
  28      4.2034e+02       1.1551e+00       -1.3836e-01        0.999          12.2
  29      3.3453e+02       1.1704e+00       -1.3757e-01        0.999          12.6
  30      2.6624e+02       1.1881e+00       -1.3997e-01        0.999          13.0
  31      2.1189e+02       1.2060e+00       -1.4462e-01        0.999          13.4
  32      1.6864e+02       1.2239e+00       -1.5081e-01        0.999          13.9
  33      1.3421e+02       1.2394e+00       -1.5587e-01        0.999          14.3
  34      1.0681e+02       1.2621e+00       -1.6585e-01        0.999          14.7
  35      8.5008e+01       1.2845e+00       -1.7703e-01        0.999          15.2
  36      6.7654e+01       1.3079e+00       -1.8989e-01        0.999          15.7
  37      5.3524e+01       1.3334e+00       -2.0260e-01        0.999          16.9
  38      4.1896e+01       1.3676e+00       -2.2106e-01        0.999          18.5
  39      3.2409e+01       1.4029e+00       -2.3755e-01        0.999          19.6
  40      2.4746e+01       1.4423e+00       -2.5113e-01        0.999          20.8
  41      1.8624e+01       1.4904e+00       -2.7329e-01        0.999          22.1
  42      1.3792e+01       1.5485e+00       -2.8162e-01        1.000          23.5
  43      1.0031e+01       1.6192e+00       -3.2453e-01        0.999          25.1
  44      7.1499e+00       1.6793e+00       -3.3438e-01        0.998          27.0
  45      4.9825e+00       1.7383e+00       -3.5366e-01        0.999          29.2
  46      3.3858e+00       1.8717e+00       -3.6126e-01        0.997          31.9
  47      2.2374e+00       1.9489e+00       -4.0819e-01        0.995          35.3
  48      1.4343e+00       2.0960e+00       -4.4913e-01        0.996          40.7
  49      8.9031e-01       2.2461e+00       -4.2814e-01        0.998          47.5
  50      5.3506e-01       2.4256e+00       -4.5199e-01        0.994          57.4
  51      3.1211e-01       2.6118e+00       -4.4089e-01        0.997          72.4
  52      1.7783e-01       2.7596e+00       -3.5950e-01        0.993          96.8
  53      1.0000e-01       2.8337e+00       -2.7280e-01        0.995         132.8

