File.......:  500-eis-50%-co-2-300ma - MAY,11.2015

System.....:  
Potential..:  1.282V
Current....:  298.03mA
Temperature:  -0.8+-0.0C
Time.......:  17:11:45 - 17:14:57
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       6.2854e-01        3.9578e-01        0.999           0.0
   2      1.5917e+05       6.3005e-01        2.8045e-01        0.999           2.9
   3      1.2668e+05       6.4532e-01        1.9968e-01        0.999           3.9
   4      1.0082e+05       6.5740e-01        1.3341e-01        0.998           5.0
   5      8.0237e+04       6.7436e-01        7.5262e-02        0.999           6.1
   6      6.3857e+04       6.8653e-01        3.4947e-02        1.000           7.2
   7      5.0821e+04       7.0294e-01       -2.4495e-03        0.999           8.2
   8      4.0447e+04       7.1931e-01       -3.7650e-02        1.000           9.5
   9      3.2190e+04       7.3573e-01       -6.0283e-02        1.000          10.7
  10      2.5619e+04       7.5507e-01       -8.1705e-02        0.999          11.8
  11      2.0389e+04       7.7490e-01       -1.0054e-01        0.999          12.9
  12      1.6227e+04       7.9601e-01       -1.1788e-01        0.999          14.0
  13      1.2914e+04       8.1872e-01       -1.3259e-01        1.000          15.1
  14      1.0278e+04       8.4286e-01       -1.4720e-01        1.000          16.1
  15      8.1797e+03       8.6869e-01       -1.5972e-01        1.000          17.2
  16      6.5099e+03       8.9616e-01       -1.7026e-01        1.000          18.3
  17      5.1809e+03       9.2624e-01       -1.8090e-01        1.000          19.4
  18      4.1233e+03       9.5733e-01       -1.8898e-01        1.000          20.4
  19      3.2816e+03       9.8742e-01       -1.8914e-01        1.000          21.7
  20      2.6117e+03       1.0169e+00       -1.8761e-01        0.999          23.0
  21      2.0785e+03       1.0516e+00       -1.8947e-01        0.999          24.0
  22      1.6542e+03       1.0845e+00       -1.8761e-01        0.999          25.1
  23      1.3165e+03       1.1150e+00       -1.8179e-01        1.000          26.2
  24      1.0478e+03       1.1516e+00       -1.7820e-01        0.999          27.3
  25      8.3387e+02       1.1792e+00       -1.7094e-01        1.000          28.3
  26      6.6364e+02       1.2094e+00       -1.6315e-01        0.999          29.4
  27      5.2816e+02       1.2366e+00       -1.5437e-01        1.000          30.5
  28      4.2034e+02       1.2617e+00       -1.4493e-01        1.000          32.3
  29      3.3453e+02       1.2716e+00       -1.3074e-01        1.000          34.4
  30      2.6624e+02       1.2788e+00       -1.1732e-01        1.000          36.0
  31      2.1189e+02       1.3016e+00       -1.1187e-01        1.000          37.6
  32      1.6864e+02       1.3104e+00       -1.0191e-01        1.000          39.2
  33      1.3421e+02       1.3312e+00       -9.7972e-02        1.000          40.8
  34      1.0681e+02       1.3436e+00       -9.3452e-02        1.000          42.4
  35      8.5008e+01       1.3575e+00       -9.2738e-02        1.000          44.0
  36      6.7654e+01       1.3684e+00       -8.5514e-02        1.000          45.7
  37      5.3524e+01       1.3715e+00       -8.2128e-02        0.999          47.4
  38      4.1896e+01       1.3958e+00       -8.2336e-02        1.000          49.1
  39      3.2409e+01       1.4044e+00       -8.1843e-02        1.000          50.9
  40      2.4746e+01       1.4258e+00       -8.0430e-02        1.000          52.7
  41      1.8624e+01       1.4378e+00       -7.4835e-02        1.000          54.7
  42      1.3792e+01       1.4582e+00       -7.3828e-02        1.000          56.8
  43      1.0031e+01       1.4548e+00       -3.8027e-02        0.997          59.0
  44      7.1499e+00       1.3784e+00        9.8750e-03        0.991          61.5
  45      4.9825e+00       1.4866e+00       -6.0620e-02        0.995          64.4
  46      3.3858e+00       1.4833e+00       -3.9958e-02        0.998          67.7
  47      2.2374e+00       1.4801e+00       -1.6991e-02        0.999          71.8
  48      1.4343e+00       1.2990e+00       -1.6691e-01        0.981          78.2
  49      8.9031e-01       1.5329e+00        2.6854e-02        0.997          85.7
  50      5.3506e-01       1.4792e+00       -1.3574e-03        0.993          96.2
  51      3.1211e-01       1.5818e+00        9.6564e-02        0.995         118.3
  52      1.7783e-01       1.5762e+00        3.6322e-01        0.961         143.4
  53      1.0000e-01       1.6281e+00        2.3713e-01        0.972         179.9

