File.......:  500-eis-50%-co-4-0ma - MAY,11.2015

System.....:  
Potential..:  0.976V
Current....:  -15.038uA
Temperature:  -0.8+-0.0C
Time.......:  19:02:24 - 19:05:21
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       6.4728e-01        3.8846e-01        0.999           0.0
   2      1.5917e+05       6.6396e-01        2.8741e-01        0.999           1.9
   3      1.2668e+05       6.7970e-01        2.0743e-01        1.000           2.8
   4      1.0082e+05       6.9655e-01        1.4157e-01        1.000           3.7
   5      8.0237e+04       7.1052e-01        9.0426e-02        1.000           4.6
   6      6.3857e+04       7.2476e-01        4.7494e-02        1.000           5.5
   7      5.0821e+04       7.3910e-01        1.2606e-02        1.000           6.3
   8      4.0447e+04       7.5475e-01       -1.6408e-02        1.000           7.2
   9      3.2190e+04       7.7050e-01       -4.1134e-02        1.000           8.1
  10      2.5619e+04       7.8720e-01       -6.3301e-02        1.000           9.0
  11      2.0389e+04       8.0482e-01       -8.1715e-02        1.000           9.9
  12      1.6227e+04       8.2334e-01       -9.8177e-02        1.000          10.8
  13      1.2914e+04       8.4391e-01       -1.1285e-01        1.000          11.7
  14      1.0278e+04       8.6513e-01       -1.2644e-01        1.000          12.6
  15      8.1797e+03       8.8755e-01       -1.3873e-01        1.000          13.5
  16      6.5099e+03       9.1200e-01       -1.4900e-01        1.000          14.4
  17      5.1809e+03       9.3873e-01       -1.5821e-01        0.999          15.2
  18      4.1233e+03       9.6600e-01       -1.6710e-01        1.000          16.1
  19      3.2816e+03       9.9204e-01       -1.7031e-01        0.999          17.0
  20      2.6117e+03       1.0176e+00       -1.7240e-01        1.000          17.9
  21      2.0785e+03       1.0458e+00       -1.7471e-01        0.999          18.8
  22      1.6542e+03       1.0755e+00       -1.7660e-01        1.000          19.7
  23      1.3165e+03       1.1042e+00       -1.7710e-01        0.999          20.6
  24      1.0478e+03       1.1325e+00       -1.7651e-01        0.999          21.5
  25      8.3387e+02       1.1616e+00       -1.7568e-01        0.999          22.4
  26      6.6364e+02       1.1860e+00       -1.7291e-01        0.999          23.3
  27      5.2816e+02       1.2134e+00       -1.7181e-01        0.999          24.2
  28      4.2034e+02       1.2276e+00       -1.6754e-01        1.000          25.8
  29      3.3453e+02       1.2482e+00       -1.6747e-01        1.000          27.7
  30      2.6624e+02       1.2726e+00       -1.6926e-01        0.999          29.1
  31      2.1189e+02       1.2947e+00       -1.7208e-01        0.999          30.5
  32      1.6864e+02       1.3144e+00       -1.7623e-01        0.999          31.9
  33      1.3421e+02       1.3386e+00       -1.8385e-01        0.999          33.3
  34      1.0681e+02       1.3580e+00       -1.9169e-01        0.999          34.7
  35      8.5008e+01       1.3845e+00       -2.0249e-01        0.999          36.2
  36      6.7654e+01       1.4128e+00       -2.1496e-01        0.999          37.7
  37      5.3524e+01       1.4414e+00       -2.2169e-01        0.999          39.2
  38      4.1896e+01       1.4843e+00       -2.4637e-01        0.999          40.7
  39      3.2409e+01       1.5246e+00       -2.6479e-01        0.999          42.3
  40      2.4746e+01       1.5679e+00       -2.8270e-01        0.999          44.0
  41      1.8624e+01       1.6179e+00       -3.0679e-01        0.999          45.7
  42      1.3792e+01       1.6842e+00       -3.3516e-01        0.999          47.6
  43      1.0031e+01       1.7415e+00       -3.4900e-01        0.999          49.7
  44      7.1499e+00       1.8224e+00       -3.7642e-01        0.999          52.0
  45      4.9825e+00       1.9059e+00       -4.2866e-01        0.999          54.6
  46      3.3858e+00       2.0146e+00       -4.3413e-01        1.000          57.8
  47      2.2374e+00       2.1318e+00       -4.6880e-01        1.000          61.7
  48      1.4343e+00       2.2574e+00       -4.8726e-01        0.999          67.8
  49      8.9031e-01       2.4805e+00       -5.2367e-01        1.000          78.1
  50      5.3506e-01       2.6287e+00       -5.1329e-01        0.997          88.4
  51      3.1211e-01       2.8579e+00       -4.9400e-01        0.995         103.9
  52      1.7783e-01       2.9557e+00       -5.5461e-01        0.986         128.8
  53      1.0000e-01       3.4614e+00       -4.8094e-01        0.982         165.1

