File.......:  500-eis-50%-co-6-120ma - MAY,12.2015

System.....:  
Potential..:  0.980V
Current....:  -1.286mA
Temperature:  -1.0+-0.1C
Time.......:  09:57:16 - 09:59:40
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       7.0098e-01        3.5548e-01        0.999           0.0
   2      1.5917e+05       7.1812e-01        2.5784e-01        0.999           1.0
   3      1.2668e+05       7.3481e-01        1.8076e-01        1.000           1.5
   4      1.0082e+05       7.5097e-01        1.1832e-01        1.000           1.9
   5      8.0237e+04       7.6814e-01        6.8819e-02        1.000           2.3
   6      6.3857e+04       7.8448e-01        2.8004e-02        1.000           2.7
   7      5.0821e+04       8.0158e-01       -3.8336e-03        1.000           3.2
   8      4.0447e+04       8.1836e-01       -3.0490e-02        1.000           3.6
   9      3.2190e+04       8.3527e-01       -5.3143e-02        1.000           4.0
  10      2.5619e+04       8.5245e-01       -7.2779e-02        1.000           4.4
  11      2.0389e+04       8.7134e-01       -8.9544e-02        1.000           4.9
  12      1.6227e+04       8.9032e-01       -1.0439e-01        1.000           5.3
  13      1.2914e+04       9.1048e-01       -1.1761e-01        0.999           5.7
  14      1.0278e+04       9.3169e-01       -1.3047e-01        1.000           6.2
  15      8.1797e+03       9.5376e-01       -1.4194e-01        1.000           6.6
  16      6.5099e+03       9.7808e-01       -1.5236e-01        1.000           7.0
  17      5.1809e+03       1.0030e+00       -1.6216e-01        0.999           7.4
  18      4.1233e+03       1.0295e+00       -1.7102e-01        1.000           7.9
  19      3.2816e+03       1.0573e+00       -1.7936e-01        0.999           8.3
  20      2.6117e+03       1.0865e+00       -1.8607e-01        1.000           8.7
  21      2.0785e+03       1.1174e+00       -1.9179e-01        0.999           9.2
  22      1.6542e+03       1.1485e+00       -1.9589e-01        0.999           9.6
  23      1.3165e+03       1.1799e+00       -1.9899e-01        0.999          10.0
  24      1.0478e+03       1.2108e+00       -2.0064e-01        0.999          10.4
  25      8.3387e+02       1.2418e+00       -2.0036e-01        0.999          10.9
  26      6.6364e+02       1.2715e+00       -2.0105e-01        0.999          11.3
  27      5.2816e+02       1.3015e+00       -2.0105e-01        0.999          11.7
  28      4.2034e+02       1.3303e+00       -2.0097e-01        0.999          12.1
  29      3.3453e+02       1.3583e+00       -2.0109e-01        0.999          12.6
  30      2.6624e+02       1.3856e+00       -2.0194e-01        0.999          13.0
  31      2.1189e+02       1.4122e+00       -2.0298e-01        0.999          13.4
  32      1.6864e+02       1.4399e+00       -2.0592e-01        0.999          13.8
  33      1.3421e+02       1.4679e+00       -2.1082e-01        0.999          14.3
  34      1.0681e+02       1.4964e+00       -2.1620e-01        0.999          14.7
  35      8.5008e+01       1.5249e+00       -2.2358e-01        0.999          15.2
  36      6.7654e+01       1.5549e+00       -2.3249e-01        0.999          15.6
  37      5.3524e+01       1.5884e+00       -2.4370e-01        0.999          16.9
  38      4.1896e+01       1.6250e+00       -2.5516e-01        0.999          18.5
  39      3.2409e+01       1.6637e+00       -2.6669e-01        0.999          19.6
  40      2.4746e+01       1.7109e+00       -2.8191e-01        0.999          20.8
  41      1.8624e+01       1.7619e+00       -2.9722e-01        0.999          22.1
  42      1.3792e+01       1.8149e+00       -3.2019e-01        0.999          23.5
  43      1.0031e+01       1.8798e+00       -3.3930e-01        0.999          25.1
  44      7.1499e+00       1.9774e+00       -3.7067e-01        0.999          26.9
  45      4.9825e+00       2.0381e+00       -3.8780e-01        0.999          29.2
  46      3.3858e+00       2.1093e+00       -4.2809e-01        0.999          31.8
  47      2.2374e+00       2.2383e+00       -4.5356e-01        0.998          35.2
  48      1.4343e+00       2.3884e+00       -4.8449e-01        0.998          40.7
  49      8.9031e-01       2.5201e+00       -5.2018e-01        0.998          47.5
  50      5.3506e-01       2.7970e+00       -5.4271e-01        0.995          57.4
  51      3.1211e-01       2.8990e+00       -4.5560e-01        0.985          72.4
  52      1.7783e-01       3.2267e+00       -4.7638e-01        0.989          96.8
  53      1.0000e-01       3.4203e+00       -4.6963e-01        0.990         132.7

