File.......:  500-eis-50%-ocv-4 - MAY,06.2015

System.....:  
Potential..:  1.162V
Current....:  209.57mA
Temperature:  -1.0+-0.0C
Time.......:  16:36:58 - 16:39:53
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       5.3246e-01        4.0359e-01        1.000           0.0
   2      1.5917e+05       5.4269e-01        3.0447e-01        0.999           1.5
   3      1.2668e+05       5.5259e-01        2.2434e-01        0.999           2.4
   4      1.0082e+05       5.6355e-01        1.5897e-01        1.000           3.3
   5      8.0237e+04       5.7519e-01        1.0712e-01        1.000           4.2
   6      6.3857e+04       5.8651e-01        6.5080e-02        1.000           5.2
   7      5.0821e+04       5.9873e-01        3.1649e-02        1.000           6.1
   8      4.0447e+04       6.1212e-01        2.8333e-03        1.000           7.0
   9      3.2190e+04       6.2520e-01       -1.9847e-02        1.000           7.9
  10      2.5619e+04       6.3959e-01       -3.9452e-02        1.000           8.8
  11      2.0389e+04       6.5360e-01       -5.4409e-02        1.000           9.8
  12      1.6227e+04       6.6904e-01       -6.6876e-02        1.000          10.7
  13      1.2914e+04       6.8517e-01       -7.7205e-02        1.000          11.6
  14      1.0278e+04       7.0207e-01       -8.5993e-02        1.000          12.6
  15      8.1797e+03       7.1934e-01       -9.2781e-02        1.000          13.5
  16      6.5099e+03       7.3687e-01       -9.7086e-02        1.000          14.4
  17      5.1809e+03       7.5566e-01       -1.0100e-01        1.000          15.4
  18      4.1233e+03       7.7406e-01       -1.0288e-01        1.000          16.3
  19      3.2816e+03       7.9177e-01       -1.0327e-01        1.000          17.2
  20      2.6117e+03       8.0947e-01       -1.0242e-01        1.000          18.2
  21      2.0785e+03       8.2556e-01       -1.0013e-01        1.000          19.1
  22      1.6542e+03       8.4313e-01       -9.8387e-02        1.000          20.0
  23      1.3165e+03       8.5773e-01       -9.5384e-02        1.000          21.0
  24      1.0478e+03       8.7162e-01       -9.2324e-02        1.000          21.9
  25      8.3387e+02       8.8454e-01       -8.9611e-02        1.000          22.8
  26      6.6364e+02       8.9678e-01       -8.7091e-02        1.000          23.7
  27      5.2816e+02       9.0899e-01       -8.5251e-02        1.000          24.7
  28      4.2034e+02       9.1992e-01       -8.4137e-02        1.000          26.3
  29      3.3453e+02       9.3023e-01       -8.3376e-02        1.000          28.3
  30      2.6624e+02       9.3999e-01       -8.3666e-02        1.000          29.7
  31      2.1189e+02       9.5193e-01       -8.4633e-02        1.000          31.2
  32      1.6864e+02       9.6322e-01       -8.6422e-02        1.000          32.6
  33      1.3421e+02       9.7400e-01       -8.8601e-02        1.000          34.4
  34      1.0681e+02       9.8583e-01       -9.0966e-02        1.000          36.2
  35      8.5008e+01       9.9904e-01       -9.4128e-02        1.000          37.7
  36      6.7654e+01       1.0125e+00       -9.7737e-02        1.000          39.2
  37      5.3524e+01       1.0213e+00       -1.0920e-01        0.999          40.8
  38      4.1896e+01       1.0317e+00       -1.0314e-01        1.000          42.4
  39      3.2409e+01       1.0507e+00       -1.0918e-01        1.000          44.0
  40      2.4746e+01       1.0704e+00       -1.1249e-01        0.999          45.7
  41      1.8624e+01       1.0999e+00       -1.1397e-01        1.000          47.5
  42      1.3792e+01       1.1247e+00       -1.1506e-01        1.000          49.4
  43      1.0031e+01       1.1537e+00       -1.1133e-01        0.998          51.5
  44      7.1499e+00       1.1714e+00       -1.1241e-01        0.999          53.8
  45      4.9825e+00       1.1996e+00       -1.0567e-01        0.999          56.6
  46      3.3858e+00       1.1964e+00       -7.7613e-02        0.998          59.7
  47      2.2374e+00       1.2497e+00       -8.4886e-02        0.998          63.6
  48      1.4343e+00       1.2795e+00       -8.1452e-02        0.998          69.8
  49      8.9031e-01       1.3176e+00       -8.2379e-02        0.998          77.1
  50      5.3506e-01       1.3367e+00       -7.6831e-02        0.997          87.6
  51      3.1211e-01       1.3552e+00       -4.3677e-02        0.994         103.0
  52      1.7783e-01       1.3131e+00       -3.5685e-02        0.993         128.0
  53      1.0000e-01       1.3234e+00        1.2936e-02        0.986         164.4

