File.......:  500-eis-3%-ocv-10 - MAY,11.2015

System.....:  
Potential..:  1.048V
Current....:  -290.33uA
Temperature:  0.3+-0.1C
Time.......:  09:39:11 - 09:41:35
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       6.4037e-01        3.7889e-01        0.999           0.0
   2      1.5917e+05       6.5309e-01        2.8045e-01        0.999           1.0
   3      1.2668e+05       6.6657e-01        2.0212e-01        1.000           1.5
   4      1.0082e+05       6.8029e-01        1.3788e-01        1.000           1.9
   5      8.0237e+04       6.9439e-01        8.7295e-02        1.000           2.3
   6      6.3857e+04       7.0827e-01        4.6092e-02        1.000           2.7
   7      5.0821e+04       7.2263e-01        1.2185e-02        1.000           3.2
   8      4.0447e+04       7.3779e-01       -1.5364e-02        1.000           3.6
   9      3.2190e+04       7.5293e-01       -3.8325e-02        1.000           4.0
  10      2.5619e+04       7.6946e-01       -5.9016e-02        1.000           4.4
  11      2.0389e+04       7.8700e-01       -7.5542e-02        1.000           4.9
  12      1.6227e+04       8.0507e-01       -8.9744e-02        1.000           5.3
  13      1.2914e+04       8.2464e-01       -1.0180e-01        1.000           5.7
  14      1.0278e+04       8.4507e-01       -1.1219e-01        1.000           6.1
  15      8.1797e+03       8.6626e-01       -1.2079e-01        1.000           6.6
  16      6.5099e+03       8.8883e-01       -1.2714e-01        1.000           7.0
  17      5.1809e+03       9.1187e-01       -1.3190e-01        1.000           7.4
  18      4.1233e+03       9.3520e-01       -1.3467e-01        1.000           7.8
  19      3.2816e+03       9.5843e-01       -1.3606e-01        1.000           8.3
  20      2.6117e+03       9.8123e-01       -1.3532e-01        0.999           8.7
  21      2.0785e+03       1.0033e+00       -1.3322e-01        0.999           9.1
  22      1.6542e+03       1.0239e+00       -1.2993e-01        1.000           9.5
  23      1.3165e+03       1.0428e+00       -1.2595e-01        1.000          10.0
  24      1.0478e+03       1.0604e+00       -1.2230e-01        0.999          10.4
  25      8.3387e+02       1.0770e+00       -1.1941e-01        0.999          10.8
  26      6.6364e+02       1.0912e+00       -1.1662e-01        1.000          11.2
  27      5.2816e+02       1.1061e+00       -1.1575e-01        0.999          11.7
  28      4.2034e+02       1.1191e+00       -1.1634e-01        0.999          12.1
  29      3.3453e+02       1.1330e+00       -1.1862e-01        0.999          12.5
  30      2.6624e+02       1.1463e+00       -1.2216e-01        0.999          12.9
  31      2.1189e+02       1.1613e+00       -1.2810e-01        0.999          13.4
  32      1.6864e+02       1.1763e+00       -1.3439e-01        0.999          13.8
  33      1.3421e+02       1.1932e+00       -1.4389e-01        0.999          14.2
  34      1.0681e+02       1.2120e+00       -1.5324e-01        0.999          14.6
  35      8.5008e+01       1.2330e+00       -1.6554e-01        0.999          15.1
  36      6.7654e+01       1.2544e+00       -1.7852e-01        0.999          15.6
  37      5.3524e+01       1.2808e+00       -1.9294e-01        0.999          16.9
  38      4.1896e+01       1.3096e+00       -2.0889e-01        0.999          18.4
  39      3.2409e+01       1.3438e+00       -2.2456e-01        0.999          19.6
  40      2.4746e+01       1.3824e+00       -2.4157e-01        0.999          20.7
  41      1.8624e+01       1.4280e+00       -2.6028e-01        0.999          22.0
  42      1.3792e+01       1.4792e+00       -2.7937e-01        0.999          23.5
  43      1.0031e+01       1.5374e+00       -2.9699e-01        0.999          25.1
  44      7.1499e+00       1.6032e+00       -3.2083e-01        0.999          26.9
  45      4.9825e+00       1.6815e+00       -3.4530e-01        0.999          29.1
  46      3.3858e+00       1.8024e+00       -3.4926e-01        0.999          31.8
  47      2.2374e+00       1.8754e+00       -3.9056e-01        0.998          35.2
  48      1.4343e+00       1.9944e+00       -4.1978e-01        1.000          40.6
  49      8.9031e-01       2.1487e+00       -4.2456e-01        0.997          47.4
  50      5.3506e-01       2.3176e+00       -4.4469e-01        0.997          57.4
  51      3.1211e-01       2.4706e+00       -4.2413e-01        0.997          72.3
  52      1.7783e-01       2.6228e+00       -3.6089e-01        0.999          96.8
  53      1.0000e-01       2.7423e+00       -2.8932e-01        0.998         132.7

