File.......:  500-eis-50%-210-3 - MAY,06.2015

System.....:  
Potential..:  1.369V
Current....:  209.56mA
Temperature:  -1.0+-0.0C
Time.......:  09:26:28 - 09:29:24
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       5.2533e-01        4.0678e-01        0.999           0.0
   2      1.5917e+05       5.3578e-01        3.0527e-01        0.999           1.7
   3      1.2668e+05       5.4572e-01        2.2498e-01        0.999           2.6
   4      1.0082e+05       5.5731e-01        1.6016e-01        1.000           3.5
   5      8.0237e+04       5.6751e-01        1.0765e-01        1.000           4.4
   6      6.3857e+04       5.8064e-01        6.5697e-02        1.000           5.4
   7      5.0821e+04       5.9281e-01        3.3202e-02        0.999           6.3
   8      4.0447e+04       6.0669e-01        4.0185e-03        1.000           7.2
   9      3.2190e+04       6.1994e-01       -1.9666e-02        1.000           8.1
  10      2.5619e+04       6.3374e-01       -3.8640e-02        1.000           9.1
  11      2.0389e+04       6.4877e-01       -5.4394e-02        1.000          10.0
  12      1.6227e+04       6.6454e-01       -6.7587e-02        1.000          10.9
  13      1.2914e+04       6.8078e-01       -7.8254e-02        1.000          11.8
  14      1.0278e+04       6.9747e-01       -8.6441e-02        1.000          12.8
  15      8.1797e+03       7.1479e-01       -9.3222e-02        1.000          13.7
  16      6.5099e+03       7.3221e-01       -9.7340e-02        1.000          14.6
  17      5.1809e+03       7.5098e-01       -1.0101e-01        1.000          15.6
  18      4.1233e+03       7.6873e-01       -1.0256e-01        1.000          16.5
  19      3.2816e+03       7.8695e-01       -1.0321e-01        1.000          17.4
  20      2.6117e+03       8.0428e-01       -1.0208e-01        1.000          18.3
  21      2.0785e+03       8.2047e-01       -9.9898e-02        1.000          19.3
  22      1.6542e+03       8.3588e-01       -9.7278e-02        1.000          20.2
  23      1.3165e+03       8.5109e-01       -9.4299e-02        1.000          21.1
  24      1.0478e+03       8.6330e-01       -9.0698e-02        1.000          22.1
  25      8.3387e+02       8.7697e-01       -8.8562e-02        1.000          23.0
  26      6.6364e+02       8.8744e-01       -8.5765e-02        1.000          23.9
  27      5.2816e+02       8.9108e-01       -8.2248e-02        1.000          24.8
  28      4.2034e+02       9.0306e-01       -8.0658e-02        1.000          26.5
  29      3.3453e+02       9.1437e-01       -8.1022e-02        1.000          28.4
  30      2.6624e+02       9.2614e-01       -8.0598e-02        1.000          29.9
  31      2.1189e+02       9.3850e-01       -8.3928e-02        1.000          31.4
  32      1.6864e+02       9.4955e-01       -8.5596e-02        1.000          32.8
  33      1.3421e+02       9.6118e-01       -8.7727e-02        1.000          34.2
  34      1.0681e+02       9.7143e-01       -9.0423e-02        1.000          35.7
  35      8.5008e+01       9.8405e-01       -9.3534e-02        1.000          37.5
  36      6.7654e+01       1.0003e+00       -9.7719e-02        0.999          39.4
  37      5.3524e+01       1.0138e+00       -1.0185e-01        1.000          41.0
  38      4.1896e+01       1.0301e+00       -1.0522e-01        1.000          42.6
  39      3.2409e+01       1.0484e+00       -1.1067e-01        1.000          44.2
  40      2.4746e+01       1.0670e+00       -1.1025e-01        1.000          45.9
  41      1.8624e+01       1.0955e+00       -1.1701e-01        0.999          47.7
  42      1.3792e+01       1.1151e+00       -1.1583e-01        1.000          49.6
  43      1.0031e+01       1.1408e+00       -1.1553e-01        1.000          51.7
  44      7.1499e+00       1.1701e+00       -1.1310e-01        0.999          54.0
  45      4.9825e+00       1.1984e+00       -1.0815e-01        0.999          56.7
  46      3.3858e+00       1.2185e+00       -1.0216e-01        0.997          59.9
  47      2.2374e+00       1.2519e+00       -9.5864e-02        0.998          63.8
  48      1.4343e+00       1.2718e+00       -8.2518e-02        0.997          70.0
  49      8.9031e-01       1.3131e+00       -7.2375e-02        0.999          77.3
  50      5.3506e-01       1.2574e+00       -6.6436e-02        0.994          87.7
  51      3.1211e-01       1.3631e+00       -4.2917e-02        0.995         103.2
  52      1.7783e-01       1.3520e+00       -3.4951e-02        0.995         128.2
  53      1.0000e-01       1.3770e+00       -1.5880e-02        0.992         164.6

