File.......:  600eis 1013h - OCT,24.2014

System.....:  
Potential..:  0.000V
Current....:  -327.41nA
Temperature:  -1.1+-0.1C
Time.......:  21:27:20 - 21:29:44
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       5.0545e+00        3.4173e-01        0.999           0.0
   2      7.9606e+04       5.0698e+00        2.0438e-01        1.000           1.0
   3      6.3371e+04       5.1172e+00        7.7709e-02        0.999           1.5
   4      5.0448e+04       5.1588e+00       -2.3442e-02        1.000           1.9
   5      4.0159e+04       5.2100e+00       -1.0185e-01        1.000           2.3
   6      3.1969e+04       5.2743e+00       -1.8745e-01        0.999           2.8
   7      2.5450e+04       5.3238e+00       -2.6007e-01        1.000           3.2
   8      2.0259e+04       5.3911e+00       -3.2095e-01        0.999           3.6
   9      1.6128e+04       5.4479e+00       -3.7627e-01        1.000           4.1
  10      1.2839e+04       5.5273e+00       -4.1616e-01        1.000           4.5
  11      1.0220e+04       5.5959e+00       -4.6783e-01        0.999           4.9
  12      8.1360e+03       5.6707e+00       -5.1148e-01        1.000           5.3
  13      6.4768e+03       5.7698e+00       -5.4238e-01        1.000           5.8
  14      5.1559e+03       5.8398e+00       -5.8576e-01        1.000           6.2
  15      4.1044e+03       5.9216e+00       -6.1761e-01        0.999           6.9
  16      3.2674e+03       6.0305e+00       -6.6694e-01        1.000           7.6
  17      2.6010e+03       6.1241e+00       -7.0826e-01        1.000           8.0
  18      2.0706e+03       6.2145e+00       -7.5702e-01        0.999           8.4
  19      1.6483e+03       6.3586e+00       -7.9758e-01        0.999           8.9
  20      1.3122e+03       6.4509e+00       -8.3679e-01        0.999           9.3
  21      1.0446e+03       6.5689e+00       -9.0068e-01        1.000           9.8
  22      8.3153e+02       6.7117e+00       -9.3364e-01        0.999          10.2
  23      6.6195e+02       6.8423e+00       -9.8449e-01        1.000          10.9
  24      5.2695e+02       7.0107e+00       -1.0217e+00        1.000          11.6
  25      4.1949e+02       7.1690e+00       -1.0745e+00        0.999          12.0
  26      3.3394e+02       7.3233e+00       -1.1228e+00        1.000          12.4
  27      2.6584e+02       7.5092e+00       -1.1554e+00        1.000          12.9
  28      2.1162e+02       7.7022e+00       -1.1916e+00        1.000          13.3
  29      1.6846e+02       7.9029e+00       -1.2062e+00        1.000          13.7
  30      1.3411e+02       8.0984e+00       -1.2198e+00        1.000          14.1
  31      1.0676e+02       8.3084e+00       -1.2230e+00        1.000          14.6
  32      8.4986e+01       8.5125e+00       -1.1971e+00        0.999          15.1
  33      6.7654e+01       8.7161e+00       -1.1643e+00        0.999          15.5
  34      5.3524e+01       8.9045e+00       -1.0881e+00        1.000          16.8
  35      4.1896e+01       9.0949e+00       -1.0248e+00        1.000          18.4
  36      3.2409e+01       9.2693e+00       -9.3992e-01        1.000          19.5
  37      2.4746e+01       9.4268e+00       -8.3312e-01        0.999          20.7
  38      1.8624e+01       9.5595e+00       -7.1438e-01        1.000          22.0
  39      1.3792e+01       9.6612e+00       -5.9634e-01        1.000          23.4
  40      1.0031e+01       9.7360e+00       -4.8073e-01        1.000          25.0
  41      7.1499e+00       9.7830e+00       -3.7484e-01        1.000          26.9
  42      4.9825e+00       9.8064e+00       -2.8163e-01        1.000          29.1
  43      3.3858e+00       9.8077e+00       -2.0727e-01        1.000          31.8
  44      2.2374e+00       9.7947e+00       -1.4684e-01        1.000          35.2
  45      1.4343e+00       9.7740e+00       -9.9082e-02        1.000          40.6
  46      8.9031e-01       9.7615e+00       -6.3711e-02        1.000          47.4
  47      5.3506e-01       9.7994e+00       -4.3205e-02        1.000          57.3
  48      3.1211e-01       9.9292e+00       -3.1271e-02        1.000          72.3
  49      1.7783e-01       1.0018e+01       -1.3537e-02        1.000          96.8
  50      1.0000e-01       9.8049e+00       -1.5083e-02        1.000         132.7

