File.......:  600eis 1061h - OCT,26.2014

System.....:  
Potential..:  0.000V
Current....:  -1.9259uA
Temperature:  -1.2+-0.0C
Time.......:  20:26:37 - 20:29:00
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       5.0505e+00        2.2611e-01        0.999           0.0
   2      7.9606e+04       5.0711e+00        1.1018e-01        0.999           1.0
   3      6.3371e+04       5.1042e+00        7.3172e-03        1.000           1.5
   4      5.0448e+04       5.1434e+00       -8.2654e-02        1.000           1.9
   5      4.0159e+04       5.1915e+00       -1.6279e-01        1.000           2.3
   6      3.1969e+04       5.2379e+00       -2.2729e-01        1.000           2.7
   7      2.5450e+04       5.2929e+00       -2.9313e-01        1.000           3.2
   8      2.0259e+04       5.3517e+00       -3.4557e-01        1.000           3.6
   9      1.6128e+04       5.4150e+00       -3.9344e-01        1.000           4.0
  10      1.2839e+04       5.4814e+00       -4.3736e-01        1.000           4.5
  11      1.0220e+04       5.5526e+00       -4.7841e-01        1.000           4.9
  12      8.1360e+03       5.6268e+00       -5.1904e-01        1.000           5.3
  13      6.4768e+03       5.7073e+00       -5.5546e-01        1.000           5.7
  14      5.1559e+03       5.7898e+00       -5.9234e-01        1.000           6.2
  15      4.1044e+03       5.8764e+00       -6.2928e-01        1.000           6.6
  16      3.2674e+03       5.9679e+00       -6.6654e-01        1.000           7.0
  17      2.6010e+03       6.0633e+00       -7.0519e-01        1.000           7.4
  18      2.0706e+03       6.1643e+00       -7.4485e-01        1.000           7.9
  19      1.6483e+03       6.2709e+00       -7.8532e-01        1.000           8.3
  20      1.3122e+03       6.3834e+00       -8.2823e-01        1.000           8.7
  21      1.0446e+03       6.5022e+00       -8.7267e-01        1.000           9.1
  22      8.3153e+02       6.6287e+00       -9.1946e-01        1.000           9.6
  23      6.6195e+02       6.7638e+00       -9.6665e-01        1.000          10.0
  24      5.2695e+02       6.9072e+00       -1.0146e+00        1.000          10.4
  25      4.1949e+02       7.0597e+00       -1.0639e+00        1.000          10.9
  26      3.3394e+02       7.2234e+00       -1.1083e+00        1.000          11.3
  27      2.6584e+02       7.3974e+00       -1.1487e+00        1.000          11.7
  28      2.1162e+02       7.5810e+00       -1.1844e+00        1.000          12.1
  29      1.6846e+02       7.7753e+00       -1.2099e+00        1.000          12.5
  30      1.3411e+02       7.9766e+00       -1.2238e+00        1.000          13.0
  31      1.0676e+02       8.1822e+00       -1.2262e+00        1.000          13.4
  32      8.4986e+01       8.3883e+00       -1.2098e+00        1.000          13.9
  33      6.7654e+01       8.5909e+00       -1.1820e+00        1.000          14.3
  34      5.3524e+01       8.7864e+00       -1.1292e+00        1.000          15.6
  35      4.1896e+01       8.9821e+00       -1.0596e+00        1.000          17.2
  36      3.2409e+01       9.1700e+00       -9.7493e-01        1.000          18.3
  37      2.4746e+01       9.3419e+00       -8.7121e-01        1.000          19.5
  38      1.8624e+01       9.4942e+00       -7.5535e-01        1.000          20.8
  39      1.3792e+01       9.6212e+00       -6.3675e-01        1.000          22.2
  40      1.0031e+01       9.7234e+00       -5.1756e-01        1.000          23.8
  41      7.1499e+00       9.8026e+00       -4.0780e-01        1.000          25.6
  42      4.9825e+00       9.8676e+00       -3.0933e-01        1.000          27.9
  43      3.3858e+00       9.9173e+00       -2.3047e-01        1.000          30.5
  44      2.2374e+00       9.9645e+00       -1.6601e-01        1.000          33.9
  45      1.4343e+00       1.0022e+01       -1.1368e-01        1.000          39.4
  46      8.9031e-01       1.0101e+01       -7.5107e-02        1.000          46.2
  47      5.3506e-01       1.0196e+01       -5.0226e-02        1.000          56.1
  48      3.1211e-01       1.0171e+01       -3.0680e-02        1.000          71.1
  49      1.7783e-01       9.9531e+00       -1.9052e-02        1.000          95.5
  50      1.0000e-01       1.0179e+01       -1.4650e-02        1.000         131.4

