File.......:  600eis 1153h - OCT,30.2014

System.....:  
Potential..:  0.000V
Current....:  8.5179uA
Temperature:  -1.0+-0.1C
Time.......:  17:16:01 - 17:17:41
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   48
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       5.0250e+00        1.7573e-01        1.000           0.0
   2      7.9606e+04       5.0543e+00        6.4225e-02        1.000           1.0
   3      6.3371e+04       5.0873e+00       -2.7713e-02        1.000           1.5
   4      5.0448e+04       5.1272e+00       -1.0995e-01        1.000           1.9
   5      4.0159e+04       5.1712e+00       -1.8138e-01        1.000           2.3
   6      3.1969e+04       5.2203e+00       -2.4524e-01        1.000           2.8
   7      2.5450e+04       5.2762e+00       -3.0734e-01        1.000           3.2
   8      2.0259e+04       5.3350e+00       -3.5758e-01        1.000           3.6
   9      1.6128e+04       5.3991e+00       -4.0324e-01        1.000           4.0
  10      1.2839e+04       5.4649e+00       -4.4541e-01        1.000           4.5
  11      1.0220e+04       5.5361e+00       -4.8497e-01        1.000           4.9
  12      8.1360e+03       5.6114e+00       -5.2488e-01        1.000           5.3
  13      6.4768e+03       5.6925e+00       -5.5987e-01        1.000           5.8
  14      5.1559e+03       5.7751e+00       -5.9647e-01        1.000           6.2
  15      4.1044e+03       5.8614e+00       -6.3292e-01        1.000           6.6
  16      3.2674e+03       5.9496e+00       -6.7090e-01        1.000           7.6
  17      2.6010e+03       6.0452e+00       -7.0919e-01        1.000           8.0
  18      2.0706e+03       6.1457e+00       -7.4915e-01        1.000           8.4
  19      1.6483e+03       6.2523e+00       -7.9009e-01        1.000           8.9
  20      1.3122e+03       6.3638e+00       -8.3416e-01        1.000           9.4
  21      1.0446e+03       6.4828e+00       -8.8016e-01        1.000           9.8
  22      8.3153e+02       6.6085e+00       -9.2963e-01        1.000          10.3
  23      6.6195e+02       6.7406e+00       -9.7959e-01        1.000          11.2
  24      5.2695e+02       6.8834e+00       -1.0312e+00        1.000          11.7
  25      4.1949e+02       7.0357e+00       -1.0855e+00        1.000          12.1
  26      3.3394e+02       7.2000e+00       -1.1377e+00        1.000          12.5
  27      2.6584e+02       7.3747e+00       -1.1876e+00        1.000          13.0
  28      2.1162e+02       7.5609e+00       -1.2349e+00        1.000          13.4
  29      1.6846e+02       7.7594e+00       -1.2753e+00        1.000          13.8
  30      1.3411e+02       7.9683e+00       -1.3057e+00        1.000          14.3
  31      1.0676e+02       8.1847e+00       -1.3264e+00        1.000          14.7
  32      8.4986e+01       8.4087e+00       -1.3295e+00        1.000          15.2
  33      6.7654e+01       8.6330e+00       -1.3202e+00        1.000          15.7
  34      5.3524e+01       8.8579e+00       -1.2881e+00        1.000          17.0
  35      4.1896e+01       9.0902e+00       -1.2352e+00        1.000          18.6
  36      3.2409e+01       9.3216e+00       -1.1604e+00        1.000          19.7
  37      2.4746e+01       9.5422e+00       -1.0623e+00        1.000          20.9
  38      1.8624e+01       9.7458e+00       -9.3983e-01        1.000          22.2
  39      1.3792e+01       9.9219e+00       -8.0818e-01        1.000          23.6
  40      1.0031e+01       1.0069e+01       -6.6729e-01        1.000          25.3
  41      7.1499e+00       1.0185e+01       -5.2858e-01        1.000          27.1
  42      4.9825e+00       1.0278e+01       -4.0386e-01        1.000          29.3
  43      3.3858e+00       1.0350e+01       -2.9990e-01        1.000          32.0
  44      2.2374e+00       1.0415e+01       -2.1715e-01        1.000          35.4
  45      1.4343e+00       1.0482e+01       -1.4924e-01        1.000          40.8
  46      8.9031e-01       1.0567e+01       -9.9250e-02        1.000          47.6
  47      5.3506e-01       1.0644e+01       -6.4610e-02        1.000          57.5
  48      3.1211e-01       1.0577e+01       -3.8764e-02        1.000          72.5

