File.......:  600eis 1251h - NOV,03.2014

System.....:  
Potential..:  0.000V
Current....:  7.2647uA
Temperature:  -0.9+-0.1C
Time.......:  18:50:49 - 18:53:14
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.9516e+00        6.7066e-01        1.000           0.0
   2      1.5917e+05       4.9743e+00        4.7712e-01        1.000           1.0
   3      1.2668e+05       5.0040e+00        3.3019e-01        0.999           1.5
   4      1.0082e+05       5.0241e+00        1.8083e-01        1.000           1.9
   5      8.0237e+04       5.0549e+00        6.8834e-02        1.000           2.3
   6      6.3857e+04       5.0929e+00       -2.0147e-02        0.999           2.7
   7      5.0821e+04       5.1394e+00       -1.0965e-01        0.999           3.2
   8      4.0447e+04       5.1895e+00       -1.8145e-01        0.999           3.6
   9      3.2190e+04       5.2508e+00       -2.4730e-01        0.999           4.0
  10      2.5619e+04       5.3115e+00       -3.0679e-01        0.999           4.4
  11      2.0389e+04       5.3718e+00       -3.5219e-01        0.999           4.9
  12      1.6227e+04       5.4431e+00       -4.0271e-01        0.999           5.3
  13      1.2914e+04       5.5009e+00       -4.5623e-01        1.000           5.7
  14      1.0278e+04       5.5819e+00       -4.8806e-01        0.999           6.1
  15      8.1797e+03       5.6790e+00       -5.2586e-01        0.999           6.6
  16      6.5099e+03       5.7578e+00       -5.7432e-01        0.999           7.0
  17      5.1809e+03       5.8374e+00       -6.1441e-01        0.999           7.4
  18      4.1233e+03       5.9233e+00       -6.6368e-01        1.000           8.1
  19      3.2816e+03       6.0248e+00       -6.8744e-01        0.999           8.8
  20      2.6117e+03       6.1290e+00       -7.2613e-01        0.999           9.2
  21      2.0785e+03       6.2290e+00       -7.7119e-01        1.000           9.6
  22      1.6542e+03       6.3368e+00       -8.3940e-01        1.000          10.1
  23      1.3165e+03       6.4613e+00       -8.7143e-01        1.000          10.5
  24      1.0478e+03       6.5743e+00       -9.0366e-01        1.000          10.9
  25      8.3387e+02       6.7431e+00       -9.7779e-01        0.999          11.6
  26      6.6364e+02       6.8766e+00       -1.0439e+00        1.000          12.2
  27      5.2816e+02       7.0288e+00       -1.0921e+00        0.999          12.7
  28      4.2034e+02       7.1895e+00       -1.1636e+00        0.999          13.1
  29      3.3453e+02       7.3655e+00       -1.2430e+00        1.000          13.5
  30      2.6624e+02       7.5501e+00       -1.3077e+00        1.000          13.9
  31      2.1189e+02       7.7520e+00       -1.3922e+00        1.000          14.4
  32      1.6864e+02       7.9694e+00       -1.4547e+00        1.000          14.8
  33      1.3421e+02       8.2114e+00       -1.5086e+00        1.000          15.2
  34      1.0681e+02       8.4628e+00       -1.5611e+00        0.999          15.6
  35      8.5008e+01       8.7266e+00       -1.6018e+00        0.999          16.1
  36      6.7654e+01       9.0004e+00       -1.6286e+00        1.000          16.6
  37      5.3524e+01       9.3107e+00       -1.6151e+00        1.000          17.8
  38      4.1896e+01       9.6048e+00       -1.6008e+00        1.000          19.4
  39      3.2409e+01       9.9255e+00       -1.5558e+00        1.000          20.5
  40      2.4746e+01       1.0248e+01       -1.4644e+00        1.000          21.7
  41      1.8624e+01       1.0555e+01       -1.3395e+00        1.000          23.0
  42      1.3792e+01       1.0837e+01       -1.1802e+00        1.000          24.5
  43      1.0031e+01       1.1071e+01       -9.9529e-01        1.000          26.1
  44      7.1499e+00       1.1255e+01       -8.0613e-01        1.000          27.9
  45      4.9825e+00       1.1390e+01       -6.1913e-01        1.000          30.1
  46      3.3858e+00       1.1470e+01       -4.5779e-01        1.000          32.8
  47      2.2374e+00       1.1503e+01       -3.2450e-01        1.000          36.2
  48      1.4343e+00       1.1490e+01       -2.1674e-01        1.000          41.6
  49      8.9031e-01       1.1418e+01       -1.3767e-01        1.000          48.4
  50      5.3506e-01       1.1335e+01       -8.8185e-02        1.000          58.3
  51      3.1211e-01       1.1364e+01       -5.6770e-02        1.000          73.3
  52      1.7783e-01       1.1601e+01       -3.6760e-02        1.000          97.8
  53      1.0000e-01       1.1333e+01       -1.9556e-02        0.999         133.7

