File.......:  600eis 1275h - NOV,04.2014

System.....:  
Potential..:  0.000V
Current....:  -10.203uA
Temperature:  -0.8+-0.1C
Time.......:  19:05:34 - 19:08:01
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       2.0000e+05       4.9866e+00        5.9141e-01        0.997           0.0
  2       1.5917e+05       4.9970e+00        4.1381e-01        0.998           1.4
  3       1.2668e+05       5.0237e+00        2.6308e-01        0.999           2.3
  4       1.0082e+05       5.0537e+00        1.3628e-01        1.000           3.3
  5       8.0237e+04       5.0338e+00        4.1409e-02        0.997           4.2
  6       6.3857e+04       5.0646e+00       -5.2049e-02        0.994           4.9
  7       5.0821e+04       5.1532e+00       -1.4548e-01        1.000           5.3
  8       4.0447e+04       5.1646e+00       -2.1168e-01        0.999           5.7
  9       3.2190e+04       5.2889e+00       -2.9751e-01        0.996           6.2
 10       2.5619e+04       5.3392e+00       -3.3662e-01        0.998           6.6
 11       2.0389e+04       5.3971e+00       -3.8234e-01        0.999           7.0
 12       1.6227e+04       5.4483e+00       -3.9679e-01        0.999           7.5
 13       1.2914e+04       5.5512e+00       -4.7019e-01        0.998           7.9
 14       1.0278e+04       5.6007e+00       -5.0434e-01        0.998           8.3
 15       8.1797e+03       5.6811e+00       -5.3917e-01        0.999           8.7
 16       6.5099e+03       5.7731e+00       -5.8196e-01        1.000           9.2
 17       5.1809e+03       5.8556e+00       -6.3074e-01        0.999           9.6
 18       4.1233e+03       5.9498e+00       -6.4221e-01        0.999          10.1
 19       3.2816e+03       6.0538e+00       -7.0621e-01        1.000          10.5
 20       2.6117e+03       6.1541e+00       -7.3905e-01        1.000          10.9
 21       2.0785e+03       6.2732e+00       -7.8698e-01        1.000          11.4
 22       1.6542e+03       6.3616e+00       -8.3187e-01        1.000          11.8
 23       1.3165e+03       6.4923e+00       -8.7334e-01        0.999          12.2
 24       1.0478e+03       6.5985e+00       -9.2898e-01        1.000          12.6
 25       8.3387e+02       6.7603e+00       -9.9766e-01        1.000          13.1
 26       6.6364e+02       6.9131e+00       -1.0303e+00        1.000          13.7
 27       5.2816e+02       7.0633e+00       -1.0966e+00        0.999          14.4
 28       4.2034e+02       7.2186e+00       -1.1674e+00        0.998          14.8
 29       3.3453e+02       7.3840e+00       -1.2334e+00        0.999          15.3
 30       2.6624e+02       7.5838e+00       -1.3126e+00        1.000          15.7
 31       2.1189e+02       7.7842e+00       -1.3807e+00        1.000          16.1
 32       1.6864e+02       8.0004e+00       -1.4615e+00        1.000          16.5
 33       1.3421e+02       8.2428e+00       -1.5107e+00        1.000          17.0
 34       1.0681e+02       8.4876e+00       -1.5634e+00        0.999          17.4
 35       8.5008e+01       8.7539e+00       -1.6023e+00        0.999          17.9
 36       6.7654e+01       9.0274e+00       -1.6318e+00        0.999          18.4
 37       5.3524e+01       9.3400e+00       -1.6353e+00        1.000          19.6
 38       4.1896e+01       9.6092e+00       -1.6122e+00        1.000          21.2
 39       3.2409e+01       9.9301e+00       -1.5583e+00        1.000          22.3
 40       2.4746e+01       1.0236e+01       -1.4709e+00        0.998          23.5
 41       1.8624e+01       1.0532e+01       -1.3405e+00        1.000          24.8
 42       1.3792e+01       1.0797e+01       -1.1818e+00        1.000          26.2
 43       1.0031e+01       1.1017e+01       -9.9442e-01        1.000          27.8
 44       7.1499e+00       1.1180e+01       -7.9886e-01        1.000          29.7
 45       4.9825e+00       1.1289e+01       -6.1188e-01        1.000          31.9
 46       3.3858e+00       1.1338e+01       -4.5106e-01        1.000          34.6
 47       2.2374e+00       1.1347e+01       -3.1871e-01        1.000          38.0
 48       1.4343e+00       1.1320e+01       -2.1265e-01        1.000          43.4
 49       8.9031e-01       1.1285e+01       -1.3764e-01        1.000          50.2
 50       5.3506e-01       1.1294e+01       -8.7012e-02        1.000          60.2
 51       3.1211e-01       1.1416e+01       -5.8957e-02        1.000          75.1
 52       1.7783e-01       1.1577e+01       -3.2495e-02        1.000          99.6
 53       1.0000e-01       1.1310e+01       -2.2489e-02        1.000         135.5

