File.......:  600eis 1301h - NOV,05.2014

System.....:  
Potential..:  0.000V
Current....:  -8.7365uA
Temperature:  -0.9+-0.1C
Time.......:  21:17:26 - 21:19:53
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.9774e+00        6.4966e-01        0.999           0.0
   2      1.5917e+05       4.9967e+00        4.6207e-01        0.999           1.0
   3      1.2668e+05       5.0316e+00        3.0404e-01        0.999           1.5
   4      1.0082e+05       5.0754e+00        1.4715e-01        0.999           2.1
   5      8.0237e+04       5.0957e+00        3.9082e-02        1.000           2.8
   6      6.3857e+04       5.1274e+00       -5.2539e-02        1.000           3.2
   7      5.0821e+04       5.1586e+00       -1.2807e-01        0.998           3.7
   8      4.0447e+04       5.2253e+00       -2.0204e-01        0.999           4.1
   9      3.2190e+04       5.3004e+00       -2.8279e-01        0.997           4.5
  10      2.5619e+04       5.3279e+00       -3.6006e-01        0.997           4.9
  11      2.0389e+04       5.3944e+00       -3.8465e-01        1.000           5.9
  12      1.6227e+04       5.4540e+00       -4.2421e-01        0.999           6.3
  13      1.2914e+04       5.5159e+00       -4.6076e-01        0.999           6.7
  14      1.0278e+04       5.5945e+00       -5.0254e-01        0.998           7.2
  15      8.1797e+03       5.7109e+00       -5.2429e-01        0.999           7.6
  16      6.5099e+03       5.7847e+00       -5.6790e-01        0.999           8.6
  17      5.1809e+03       5.8698e+00       -6.2400e-01        0.999           9.1
  18      4.1233e+03       5.9582e+00       -6.5654e-01        1.000           9.5
  19      3.2816e+03       6.0613e+00       -7.0478e-01        0.999           9.9
  20      2.6117e+03       6.1557e+00       -7.4237e-01        1.000          10.3
  21      2.0785e+03       6.2665e+00       -7.7982e-01        1.000          10.8
  22      1.6542e+03       6.3825e+00       -8.0612e-01        1.000          11.2
  23      1.3165e+03       6.4937e+00       -8.7971e-01        0.999          11.6
  24      1.0478e+03       6.6381e+00       -9.3623e-01        1.000          12.0
  25      8.3387e+02       6.7408e+00       -9.7522e-01        0.999          12.7
  26      6.6364e+02       6.8871e+00       -1.0246e+00        1.000          13.4
  27      5.2816e+02       7.0419e+00       -1.0890e+00        0.999          13.8
  28      4.2034e+02       7.2012e+00       -1.1634e+00        0.999          14.3
  29      3.3453e+02       7.3689e+00       -1.2268e+00        1.000          14.7
  30      2.6624e+02       7.5560e+00       -1.2879e+00        1.000          15.1
  31      2.1189e+02       7.7482e+00       -1.3532e+00        0.999          15.6
  32      1.6864e+02       7.9664e+00       -1.4220e+00        0.999          16.0
  33      1.3421e+02       8.1903e+00       -1.4721e+00        1.000          16.5
  34      1.0681e+02       8.4303e+00       -1.5111e+00        1.000          16.9
  35      8.5008e+01       8.6790e+00       -1.5526e+00        1.000          17.4
  36      6.7654e+01       8.9380e+00       -1.5773e+00        1.000          17.9
  37      5.3524e+01       9.1904e+00       -1.5644e+00        1.000          19.2
  38      4.1896e+01       9.4799e+00       -1.5530e+00        1.000          20.7
  39      3.2409e+01       9.7674e+00       -1.4997e+00        1.000          21.9
  40      2.4746e+01       1.0054e+01       -1.4158e+00        1.000          23.1
  41      1.8624e+01       1.0330e+01       -1.2923e+00        1.000          24.5
  42      1.3792e+01       1.0575e+01       -1.1413e+00        1.000          25.9
  43      1.0031e+01       1.0783e+01       -9.6129e-01        1.000          27.5
  44      7.1499e+00       1.0938e+01       -7.7016e-01        1.000          29.3
  45      4.9825e+00       1.1042e+01       -5.8874e-01        1.000          31.5
  46      3.3858e+00       1.1100e+01       -4.3571e-01        1.000          34.2
  47      2.2374e+00       1.1132e+01       -3.0997e-01        1.000          37.6
  48      1.4343e+00       1.1151e+01       -2.0051e-01        1.000          43.1
  49      8.9031e-01       1.1184e+01       -1.3664e-01        1.000          49.9
  50      5.3506e-01       1.1259e+01       -8.7625e-02        1.000          59.8
  51      3.1211e-01       1.1418e+01       -5.8478e-02        1.000          74.8
  52      1.7783e-01       1.1354e+01       -3.0630e-02        1.000          99.3
  53      1.0000e-01       1.1274e+01       -2.5740e-02        0.999         135.2

