File.......:  600eis 1420h - NOV,10.2014

System.....:  
Potential..:  0.000V
Current....:  142.62nA
Temperature:  -0.9+-0.0C
Time.......:  18:56:24 - 19:00:49
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.9958e+00        7.3008e-01        0.999           0.0
   2      1.5917e+05       5.0081e+00        5.3052e-01        1.000           1.0
   3      1.2668e+05       5.0432e+00        3.6359e-01        1.000           1.5
   4      1.0082e+05       5.0605e+00        1.8762e-01        1.000           2.2
   5      8.0237e+04       5.0920e+00        6.4431e-02        0.999           2.8
   6      6.3857e+04       5.1206e+00       -3.1096e-02        0.998           3.3
   7      5.0821e+04       5.1744e+00       -1.1152e-01        1.000           3.7
   8      4.0447e+04       5.2241e+00       -1.4650e-01        0.996           4.1
   9      3.2190e+04       5.2761e+00       -2.3167e-01        0.998           4.6
  10      2.5619e+04       5.3298e+00       -3.1138e-01        0.999           5.0
  11      2.0389e+04       5.3940e+00       -3.7717e-01        1.000           5.4
  12      1.6227e+04       5.4531e+00       -4.5548e-01        0.998           5.9
  13      1.2914e+04       5.5307e+00       -4.6445e-01        1.000           6.3
  14      1.0278e+04       5.6161e+00       -5.0896e-01        0.999           6.7
  15      8.1797e+03       5.6919e+00       -5.4914e-01        1.000           7.2
  16      6.5099e+03       5.7800e+00       -5.9787e-01        0.999           7.6
  17      5.1809e+03       5.8621e+00       -6.2240e-01        0.999           8.1
  18      4.1233e+03       5.9538e+00       -6.6302e-01        1.000           8.5
  19      3.2816e+03       6.0498e+00       -6.9825e-01        0.999           9.0
  20      2.6117e+03       6.1457e+00       -7.3868e-01        0.999           9.4
  21      2.0785e+03       6.2548e+00       -7.9282e-01        0.999           9.8
  22      1.6542e+03       6.3663e+00       -8.1603e-01        1.000          10.3
  23      1.3165e+03       6.4749e+00       -8.7866e-01        1.000          10.7
  24      1.0478e+03       6.6130e+00       -9.1203e-01        1.000          11.1
  25      8.3387e+02       6.7568e+00       -9.8596e-01        0.999          11.8
  26      6.6364e+02       6.8740e+00       -1.0497e+00        1.000          12.5
  27      5.2816e+02       7.0227e+00       -1.1049e+00        0.999          12.9
  28      4.2034e+02       7.1870e+00       -1.1813e+00        1.000          13.4
  29      3.3453e+02       7.3636e+00       -1.2433e+00        1.000          13.8
  30      2.6624e+02       7.5417e+00       -1.3209e+00        1.000          14.2
  31      2.1189e+02       7.7427e+00       -1.3894e+00        0.999          14.7
  32      1.6864e+02       7.9468e+00       -1.4638e+00        1.000          15.1
  33      1.3421e+02       8.1779e+00       -1.5367e+00        1.000          15.5
  34      1.0681e+02       8.4262e+00       -1.5975e+00        0.999          16.0
  35      8.5008e+01       8.6835e+00       -1.6497e+00        0.999          16.4
  36      6.7654e+01       8.9560e+00       -1.6919e+00        1.000          16.9
  37      5.3524e+01       9.2339e+00       -1.7070e+00        1.000          18.2
  38      4.1896e+01       9.5415e+00       -1.7055e+00        1.000          19.8
  39      3.2409e+01       9.8616e+00       -1.6786e+00        1.000          20.9
  40      2.4746e+01       1.0197e+01       -1.6097e+00        1.000          22.1
  41      1.8624e+01       1.0527e+01       -1.5001e+00        1.000          23.4
  42      1.3792e+01       1.0838e+01       -1.3492e+00        1.000          24.9
  43      1.0031e+01       1.1109e+01       -1.1593e+00        1.000          26.5
  44      7.1499e+00       1.1325e+01       -9.4694e-01        1.000          28.3
  45      4.9825e+00       1.1486e+01       -7.3543e-01        1.000          30.5
  46      3.3858e+00       1.1596e+01       -5.4999e-01        1.000          33.2
  47      2.2374e+00       1.1672e+01       -3.9304e-01        1.000          36.6
  48      1.4343e+00       1.1735e+01       -2.6741e-01        1.000          42.0
  49      8.9031e-01       1.1809e+01       -1.7672e-01        1.000          48.9
  50      5.3506e-01       1.1928e+01       -1.1616e-01        1.000          58.8
  51      3.1211e-01       1.1796e+01       -6.8873e-02        1.000         193.3
  52      1.7783e-01       1.2028e+01       -4.5040e-02        1.000         217.8
  53      1.0000e-01       1.1807e+01       -2.6152e-02        1.000         253.7

