File.......:  lsc 600eis 151h - SEP,18.2014

System.....:  
Potential..:  -0.000V
Current....:  535nA
Temperature:  2.0  +-0.0 C
Time.......:  22:55:50 - 22:57:51
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   47
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       4.5388e+00        1.1582e-01        0.999           0.0
   2      7.9606e+04       4.5820e+00        1.2426e-02        0.998           2.0
   3      6.3371e+04       4.6057e+00       -4.1814e-02        1.000           3.1
   4      5.0448e+04       4.6560e+00       -1.2696e-01        0.997           4.1
   5      4.0159e+04       4.6888e+00       -1.6229e-01        0.999           5.1
   6      3.1969e+04       4.7465e+00       -2.3169e-01        1.000           6.2
   7      2.5450e+04       4.7948e+00       -2.6764e-01        1.000           7.8
   8      2.0259e+04       4.8332e+00       -3.1041e-01        0.999           9.8
   9      1.6128e+04       4.8846e+00       -3.5092e-01        0.999          11.1
  10      1.2839e+04       4.9596e+00       -3.7796e-01        0.999          12.2
  11      1.0220e+04       5.0227e+00       -4.1542e-01        0.999          13.2
  12      8.1360e+03       5.1019e+00       -4.5950e-01        0.999          14.3
  13      6.4768e+03       5.1695e+00       -4.8020e-01        0.999          15.3
  14      5.1559e+03       5.2694e+00       -5.0885e-01        0.999          16.3
  15      4.1044e+03       5.3308e+00       -5.3963e-01        0.999          17.4
  16      3.2674e+03       5.4255e+00       -5.7625e-01        0.999          18.4
  17      2.6010e+03       5.5247e+00       -6.0378e-01        0.999          19.8
  18      2.0706e+03       5.6191e+00       -6.2214e-01        1.000          21.7
  19      1.6483e+03       5.7301e+00       -6.4964e-01        1.000          23.7
  20      1.3122e+03       5.8173e+00       -6.6589e-01        1.000          25.0
  21      1.0446e+03       5.9438e+00       -6.9037e-01        1.000          26.1
  22      8.3153e+02       6.0352e+00       -6.9151e-01        0.999          27.1
  23      6.6195e+02       6.1680e+00       -6.8521e-01        1.000          28.1
  24      5.2695e+02       6.2776e+00       -6.7948e-01        0.999          29.2
  25      4.1949e+02       6.3855e+00       -6.6061e-01        0.999          30.2
  26      3.3394e+02       6.4880e+00       -6.3361e-01        1.000          31.3
  27      2.6584e+02       6.5900e+00       -5.9410e-01        1.000          32.3
  28      2.1162e+02       6.6730e+00       -5.5616e-01        1.000          33.4
  29      1.6846e+02       6.7550e+00       -4.9853e-01        1.000          34.4
  30      1.3411e+02       6.8155e+00       -4.4561e-01        1.000          35.4
  31      1.0676e+02       6.8642e+00       -3.9907e-01        1.000          36.5
  32      8.4986e+01       6.9044e+00       -3.4889e-01        1.000          37.5
  33      6.7654e+01       6.9349e+00       -3.0372e-01        1.000          38.6
  34      5.3524e+01       6.9372e+00       -2.6402e-01        1.000          40.9
  35      4.1896e+01       6.9427e+00       -2.2421e-01        1.000          44.0
  36      3.2409e+01       6.9470e+00       -1.8884e-01        1.000          46.7
  37      2.4746e+01       6.9497e+00       -1.5506e-01        1.000          49.5
  38      1.8624e+01       6.9535e+00       -1.2767e-01        1.000          52.5
  39      1.3792e+01       6.9599e+00       -1.0605e-01        1.000          55.5
  40      1.0031e+01       6.9691e+00       -8.4679e-02        1.000          58.7
  41      7.1499e+00       6.9834e+00       -7.1653e-02        1.000          62.2
  42      4.9825e+00       7.0016e+00       -5.5133e-02        1.000          66.0
  43      3.3858e+00       7.0244e+00       -4.1475e-02        1.000          70.3
  44      2.2374e+00       7.0561e+00       -3.0643e-02        1.000          75.2
  45      1.4343e+00       7.1077e+00       -2.5122e-02        1.000          81.1
  46      8.9031e-01       7.1756e+00       -2.1080e-02        1.000          88.8
  47      5.3506e-01       7.2155e+00       -1.4041e-02        1.000          99.7

