File.......:  lsc 600eis 173h - SEP,19.2014

System.....:  
Potential..:  -0.000V
Current....:  1.1468uA
Temperature:  1.8  +-0.0 C
Time.......:  21:28:14 - 21:31:25
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.4562e+00        2.4334e-01        0.999           0.0
   2      1.5917e+05       4.4729e+00        2.1666e-01        1.000           2.1
   3      1.2668e+05       4.4932e+00        1.2477e-01        1.000           3.5
   4      1.0082e+05       4.5070e+00        4.7294e-02        1.000           4.5
   5      8.0237e+04       4.5361e+00       -2.4913e-02        1.000           5.6
   6      6.3857e+04       4.5641e+00       -8.8770e-02        1.000           6.6
   7      5.0821e+04       4.5987e+00       -1.4507e-01        1.000           7.6
   8      4.0447e+04       4.6393e+00       -1.9596e-01        1.000           8.7
   9      3.2190e+04       4.6846e+00       -2.3996e-01        1.000           9.7
  10      2.5619e+04       4.7338e+00       -2.8298e-01        1.000          10.8
  11      2.0389e+04       4.7856e+00       -3.2018e-01        1.000          11.8
  12      1.6227e+04       4.8420e+00       -3.5466e-01        1.000          12.8
  13      1.2914e+04       4.8879e+00       -3.8807e-01        0.999          14.2
  14      1.0278e+04       4.9519e+00       -4.1916e-01        0.999          15.5
  15      8.1797e+03       5.0211e+00       -4.4969e-01        0.999          16.6
  16      6.5099e+03       5.0994e+00       -4.8014e-01        0.999          17.6
  17      5.1809e+03       5.1809e+00       -5.0886e-01        1.000          18.6
  18      4.1233e+03       5.2567e+00       -5.4450e-01        0.999          19.7
  19      3.2816e+03       5.3472e+00       -5.6602e-01        0.999          20.8
  20      2.6117e+03       5.4437e+00       -5.9616e-01        1.000          21.8
  21      2.0785e+03       5.5461e+00       -6.2266e-01        0.999          22.8
  22      1.6542e+03       5.6598e+00       -6.5564e-01        1.000          23.9
  23      1.3165e+03       5.7593e+00       -6.6923e-01        0.999          24.9
  24      1.0478e+03       5.8669e+00       -6.6000e-01        1.000          26.0
  25      8.3387e+02       5.9980e+00       -7.0925e-01        1.000          27.0
  26      6.6364e+02       6.1142e+00       -7.0305e-01        0.999          28.0
  27      5.2816e+02       6.2551e+00       -6.9596e-01        1.000          29.1
  28      4.2034e+02       6.3799e+00       -6.8840e-01        0.999          30.1
  29      3.3453e+02       6.5004e+00       -6.5338e-01        1.000          31.2
  30      2.6624e+02       6.6153e+00       -6.2470e-01        1.000          32.2
  31      2.1189e+02       6.7193e+00       -5.8007e-01        1.000          33.2
  32      1.6864e+02       6.8173e+00       -5.3006e-01        1.000          34.3
  33      1.3421e+02       6.9059e+00       -4.7770e-01        1.000          35.3
  34      1.0681e+02       6.9745e+00       -4.3539e-01        1.000          36.4
  35      8.5008e+01       7.0364e+00       -3.8226e-01        1.000          37.4
  36      6.7654e+01       7.0874e+00       -3.3316e-01        0.999          38.5
  37      5.3524e+01       7.1527e+00       -2.9170e-01        1.000          40.8
  38      4.1896e+01       7.1736e+00       -2.5797e-01        1.000          43.8
  39      3.2409e+01       7.2054e+00       -2.1496e-01        1.000          46.6
  40      2.4746e+01       7.2220e+00       -1.7544e-01        0.999          49.4
  41      1.8624e+01       7.2292e+00       -1.4464e-01        1.000          52.4
  42      1.3792e+01       7.2228e+00       -1.2005e-01        1.000          55.4
  43      1.0031e+01       7.2102e+00       -9.4108e-02        1.000          58.7
  44      7.1499e+00       7.1850e+00       -7.8925e-02        1.000          62.1
  45      4.9825e+00       7.1606e+00       -5.9102e-02        1.000          65.9
  46      3.3858e+00       7.1401e+00       -4.4227e-02        1.000          70.2
  47      2.2374e+00       7.1249e+00       -3.2104e-02        1.000          75.1
  48      1.4343e+00       7.1231e+00       -2.6250e-02        1.000          81.1
  49      8.9031e-01       7.1515e+00       -2.1812e-02        1.000          88.8
  50      5.3506e-01       7.2292e+00       -1.3738e-02        1.000          99.6
  51      3.1211e-01       7.3256e+00       -1.0069e-02        1.000         118.1
  52      1.7783e-01       7.1765e+00       -7.9745e-03        1.000         143.0
  53      1.0000e-01       7.2229e+00       -1.0523e-02        1.000         178.8

