File.......:  600eis 318h - SEP,25.2014

System.....:  
Potential..:  -0.001V
Current....:  -21.213uA
Temperature:  -0.9+-0.1C
Time.......:  21:44:29 - 21:46:55
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.4848e+00        2.4722e-01        1.000           0.0
   2      1.5917e+05       4.5005e+00        1.3432e-01        1.000           1.3
   3      1.2668e+05       4.5170e+00        6.1187e-02        1.000           1.8
   4      1.0082e+05       4.5382e+00       -2.3671e-02        1.000           2.2
   5      8.0237e+04       4.5712e+00       -8.4466e-02        1.000           2.6
   6      6.3857e+04       4.6001e+00       -1.3932e-01        1.000           3.1
   7      5.0821e+04       4.6385e+00       -1.9464e-01        1.000           3.5
   8      4.0447e+04       4.6785e+00       -2.3908e-01        1.000           4.0
   9      3.2190e+04       4.7246e+00       -2.7779e-01        1.000           4.4
  10      2.5619e+04       4.7711e+00       -3.1897e-01        1.000           4.8
  11      2.0389e+04       4.8230e+00       -3.5317e-01        1.000           5.3
  12      1.6227e+04       4.8809e+00       -3.8465e-01        1.000           5.7
  13      1.2914e+04       4.9402e+00       -4.1771e-01        1.000           6.2
  14      1.0278e+04       5.0025e+00       -4.4790e-01        1.000           6.6
  15      8.1797e+03       5.0693e+00       -4.8124e-01        1.000           7.1
  16      6.5099e+03       5.1406e+00       -5.0984e-01        1.000           7.5
  17      5.1809e+03       5.2158e+00       -5.4064e-01        1.000           7.9
  18      4.1233e+03       5.2956e+00       -5.7049e-01        1.000           8.4
  19      3.2816e+03       5.3803e+00       -6.0061e-01        1.000           8.8
  20      2.6117e+03       5.4707e+00       -6.3069e-01        1.000           9.3
  21      2.0785e+03       5.5668e+00       -6.5869e-01        1.000           9.7
  22      1.6542e+03       5.6684e+00       -6.8628e-01        1.000          10.2
  23      1.3165e+03       5.7731e+00       -7.1127e-01        1.000          10.6
  24      1.0478e+03       5.8864e+00       -7.3394e-01        1.000          11.0
  25      8.3387e+02       6.0046e+00       -7.5254e-01        1.000          11.5
  26      6.6364e+02       6.1289e+00       -7.6497e-01        1.000          11.9
  27      5.2816e+02       6.2541e+00       -7.6805e-01        1.000          12.3
  28      4.2034e+02       6.3847e+00       -7.6306e-01        1.000          12.8
  29      3.3453e+02       6.5150e+00       -7.4933e-01        1.000          13.2
  30      2.6624e+02       6.6402e+00       -7.2344e-01        1.000          13.7
  31      2.1189e+02       6.7666e+00       -6.9023e-01        1.000          14.4
  32      1.6864e+02       6.8792e+00       -6.4516e-01        1.000          15.0
  33      1.3421e+02       6.9800e+00       -5.9499e-01        1.000          15.5
  34      1.0681e+02       7.0671e+00       -5.4087e-01        1.000          15.9
  35      8.5008e+01       7.1419e+00       -4.8432e-01        1.000          16.4
  36      6.7654e+01       7.2054e+00       -4.3191e-01        1.000          16.9
  37      5.3524e+01       7.2567e+00       -3.7748e-01        1.000          18.2
  38      4.1896e+01       7.3055e+00       -3.2350e-01        1.000          19.8
  39      3.2409e+01       7.3453e+00       -2.7624e-01        1.000          20.9
  40      2.4746e+01       7.3781e+00       -2.3188e-01        1.000          22.1
  41      1.8624e+01       7.4071e+00       -1.8959e-01        1.000          23.4
  42      1.3792e+01       7.4316e+00       -1.5654e-01        1.000          24.9
  43      1.0031e+01       7.4553e+00       -1.2494e-01        1.000          26.5
  44      7.1499e+00       7.4780e+00       -9.6658e-02        1.000          28.3
  45      4.9825e+00       7.5042e+00       -7.1692e-02        1.000          30.6
  46      3.3858e+00       7.5302e+00       -5.5325e-02        1.000          33.3
  47      2.2374e+00       7.5598e+00       -4.0179e-02        1.000          36.7
  48      1.4343e+00       7.6007e+00       -2.7547e-02        1.000          42.1
  49      8.9031e-01       7.6567e+00       -1.7790e-02        1.000          49.0
  50      5.3506e-01       7.6950e+00       -1.1756e-02        1.000          58.9
  51      3.1211e-01       7.6178e+00       -7.2398e-03        1.000          73.9
  52      1.7783e-01       7.5023e+00       -5.8445e-03        1.000          98.3
  53      1.0000e-01       7.6962e+00       -4.0150e-03        1.000         134.2

