File.......:  600eis 648h - OCT,09.2014

System.....:  
Potential..:  0.000V
Current....:  -9.1811uA
Temperature:  -1.0+-0.1C
Time.......:  16:49:44 - 16:52:08
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       4.7134e+00        6.8827e-02        0.999           0.0
   2      7.9606e+04       4.7374e+00       -1.1016e-02        0.999           1.1
   3      6.3371e+04       4.7685e+00       -8.3467e-02        0.999           1.5
   4      5.0448e+04       4.8049e+00       -1.4600e-01        0.999           2.0
   5      4.0159e+04       4.8452e+00       -2.0216e-01        0.999           2.4
   6      3.1969e+04       4.8907e+00       -2.5106e-01        0.999           2.8
   7      2.5450e+04       4.9449e+00       -2.9985e-01        0.999           3.3
   8      2.0259e+04       4.9977e+00       -3.3985e-01        1.000           3.8
   9      1.6128e+04       5.0544e+00       -3.7830e-01        1.000           4.2
  10      1.2839e+04       5.1116e+00       -4.1422e-01        0.999           4.7
  11      1.0220e+04       5.1758e+00       -4.4895e-01        0.999           5.1
  12      8.1360e+03       5.2436e+00       -4.8474e-01        0.999           5.6
  13      6.4768e+03       5.3209e+00       -5.1907e-01        1.000           6.0
  14      5.1559e+03       5.3961e+00       -5.5328e-01        1.000           6.4
  15      4.1044e+03       5.4775e+00       -5.8858e-01        1.000           6.9
  16      3.2674e+03       5.5648e+00       -6.2431e-01        1.000           7.3
  17      2.6010e+03       5.6564e+00       -6.6116e-01        1.000           7.7
  18      2.0706e+03       5.7542e+00       -6.9849e-01        1.000           8.2
  19      1.6483e+03       5.8595e+00       -7.3588e-01        1.000           8.6
  20      1.3122e+03       5.9706e+00       -7.7380e-01        1.000           9.1
  21      1.0446e+03       6.0892e+00       -8.1049e-01        1.000           9.5
  22      8.3153e+02       6.2156e+00       -8.4686e-01        1.000           9.9
  23      6.6195e+02       6.3501e+00       -8.7913e-01        1.000          10.4
  24      5.2695e+02       6.4923e+00       -9.0690e-01        1.000          10.8
  25      4.1949e+02       6.6414e+00       -9.2910e-01        1.000          11.3
  26      3.3394e+02       6.7965e+00       -9.4161e-01        1.000          11.7
  27      2.6584e+02       6.9559e+00       -9.4348e-01        1.000          12.1
  28      2.1162e+02       7.1170e+00       -9.3337e-01        1.000          12.6
  29      1.6846e+02       7.2776e+00       -9.1008e-01        1.000          13.0
  30      1.3411e+02       7.4318e+00       -8.7380e-01        1.000          13.4
  31      1.0676e+02       7.5780e+00       -8.2642e-01        1.000          13.9
  32      8.4986e+01       7.7100e+00       -7.6684e-01        1.000          14.3
  33      6.7654e+01       7.8276e+00       -7.0381e-01        1.000          14.8
  34      5.3524e+01       7.9318e+00       -6.3244e-01        1.000          16.1
  35      4.1896e+01       8.0276e+00       -5.5568e-01        1.000          17.7
  36      3.2409e+01       8.1090e+00       -4.8162e-01        1.000          18.8
  37      2.4746e+01       8.1787e+00       -4.0986e-01        1.000          20.1
  38      1.8624e+01       8.2384e+00       -3.3913e-01        1.000          21.4
  39      1.3792e+01       8.2878e+00       -2.7934e-01        1.000          22.8
  40      1.0031e+01       8.3301e+00       -2.2364e-01        1.000          24.4
  41      7.1499e+00       8.3668e+00       -1.7409e-01        1.000          26.3
  42      4.9825e+00       8.4045e+00       -1.3255e-01        1.000          28.5
  43      3.3858e+00       8.4392e+00       -9.9048e-02        1.000          31.2
  44      2.2374e+00       8.4775e+00       -7.2765e-02        1.000          34.6
  45      1.4343e+00       8.5303e+00       -5.0322e-02        1.000          40.0
  46      8.9031e-01       8.5939e+00       -3.3948e-02        1.000          46.9
  47      5.3506e-01       8.6302e+00       -2.2370e-02        1.000          56.8
  48      3.1211e-01       8.5361e+00       -1.3138e-02        1.000          71.8
  49      1.7783e-01       8.4159e+00       -1.0124e-02        1.000          96.2
  50      1.0000e-01       8.6518e+00       -4.9429e-03        1.000         132.2

