File.......:  lsc 675h - OCT,10.2014

System.....:  
Potential..:  -0.000V
Current....:  20.456nA
Temperature:  2.1  +-0.0 C
Time.......:  19:41:45 - 19:44:52
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       4.7563e+00        2.5196e-02        0.999           0.0
   2      7.9606e+04       4.7759e+00       -3.9079e-02        0.999           1.6
   3      6.3371e+04       4.8137e+00       -1.0820e-01        0.999           2.7
   4      5.0448e+04       4.8605e+00       -1.5983e-01        0.998           3.7
   5      4.0159e+04       4.8950e+00       -2.1231e-01        0.999           4.7
   6      3.1969e+04       4.9484e+00       -2.6881e-01        0.999           5.8
   7      2.5450e+04       5.0115e+00       -3.2519e-01        1.000           6.8
   8      2.0259e+04       5.0642e+00       -3.6307e-01        1.000           7.8
   9      1.6128e+04       5.1304e+00       -3.9517e-01        1.000           8.9
  10      1.2839e+04       5.1920e+00       -4.3202e-01        0.999           9.9
  11      1.0220e+04       5.2805e+00       -4.8116e-01        0.998          11.3
  12      8.1360e+03       5.3403e+00       -4.9966e-01        1.000          12.9
  13      6.4768e+03       5.4350e+00       -5.3596e-01        0.999          14.3
  14      5.1559e+03       5.5216e+00       -5.6407e-01        0.999          15.3
  15      4.1044e+03       5.6016e+00       -6.0748e-01        0.999          16.4
  16      3.2674e+03       5.6979e+00       -6.4260e-01        0.999          17.4
  17      2.6010e+03       5.7953e+00       -6.8630e-01        1.000          18.4
  18      2.0706e+03       5.8903e+00       -7.1617e-01        1.000          19.5
  19      1.6483e+03       6.0047e+00       -7.7435e-01        1.000          20.5
  20      1.3122e+03       6.1158e+00       -7.9598e-01        0.999          21.6
  21      1.0446e+03       6.2554e+00       -8.2969e-01        1.000          22.6
  22      8.3153e+02       6.3692e+00       -8.8119e-01        0.999          23.7
  23      6.6195e+02       6.5204e+00       -9.1899e-01        1.000          24.7
  24      5.2695e+02       6.6475e+00       -9.4376e-01        0.998          25.7
  25      4.1949e+02       6.8077e+00       -9.6445e-01        0.998          26.8
  26      3.3394e+02       6.9583e+00       -9.8914e-01        1.000          27.8
  27      2.6584e+02       7.1243e+00       -9.8753e-01        1.000          28.9
  28      2.1162e+02       7.2798e+00       -9.9042e-01        1.000          29.9
  29      1.6846e+02       7.4517e+00       -9.5528e-01        1.000          30.9
  30      1.3411e+02       7.6064e+00       -9.2651e-01        1.000          32.0
  31      1.0676e+02       7.7550e+00       -8.8045e-01        0.999          33.0
  32      8.4986e+01       7.8864e+00       -8.2039e-01        1.000          34.1
  33      6.7654e+01       8.0075e+00       -7.5030e-01        1.000          35.2
  34      5.3524e+01       8.0881e+00       -6.7586e-01        1.000          37.5
  35      4.1896e+01       8.1607e+00       -5.9214e-01        1.000          40.5
  36      3.2409e+01       8.2188e+00       -5.0890e-01        1.000          43.3
  37      2.4746e+01       8.2670e+00       -4.2594e-01        1.000          46.1
  38      1.8624e+01       8.3047e+00       -3.5273e-01        1.000          49.0
  39      1.3792e+01       8.3360e+00       -2.8970e-01        1.000          52.1
  40      1.0031e+01       8.3637e+00       -2.3078e-01        1.000          55.3
  41      7.1499e+00       8.3902e+00       -1.8644e-01        1.000          58.8
  42      4.9825e+00       8.4213e+00       -1.4273e-01        1.000          62.6
  43      3.3858e+00       8.4557e+00       -1.0612e-01        1.000          66.9
  44      2.2374e+00       8.5007e+00       -7.6539e-02        1.000          71.8
  45      1.4343e+00       8.5606e+00       -5.7389e-02        1.000          77.7
  46      8.9031e-01       8.6403e+00       -4.4825e-02        1.000          85.4
  47      5.3506e-01       8.6923e+00       -2.8614e-02        1.000          96.3
  48      3.1211e-01       8.5868e+00       -1.7152e-02        1.000         114.8
  49      1.7783e-01       8.4926e+00       -1.5132e-02        1.000         139.7
  50      1.0000e-01       8.6967e+00       -8.4206e-03        1.000         175.5

