File.......:  600eis 843h - OCT,17.2014

System.....:  
Potential..:  0.000V
Current....:  14.75uA
Temperature:  -0.8+-0.1C
Time.......:  18:46:36 - 18:49:01
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       4.9926e+00        1.6791e-01        1.000           0.0
  2       7.9606e+04       5.0313e+00        3.2477e-02        0.997           1.4
  3       6.3371e+04       5.0547e+00       -2.5891e-02        0.999           1.9
  4       5.0448e+04       5.0915e+00       -1.1350e-01        1.000           2.3
  5       4.0159e+04       5.1359e+00       -1.8348e-01        1.000           2.8
  6       3.1969e+04       5.1790e+00       -2.3317e-01        1.000           3.2
  7       2.5450e+04       5.2320e+00       -2.9144e-01        1.000           3.6
  8       2.0259e+04       5.2889e+00       -3.4345e-01        1.000           4.1
  9       1.6128e+04       5.3508e+00       -3.8638e-01        1.000           4.5
 10       1.2839e+04       5.4157e+00       -4.2804e-01        1.000           5.0
 11       1.0220e+04       5.4833e+00       -4.6784e-01        1.000           5.4
 12       8.1360e+03       5.5542e+00       -5.0518e-01        1.000           5.9
 13       6.4768e+03       5.6320e+00       -5.4096e-01        1.000           6.3
 14       5.1559e+03       5.7127e+00       -5.7745e-01        1.000           6.8
 15       4.1044e+03       5.7959e+00       -6.1272e-01        1.000           7.2
 16       3.2674e+03       5.8851e+00       -6.4997e-01        1.000           7.7
 17       2.6010e+03       5.9804e+00       -6.8608e-01        1.000           8.2
 18       2.0706e+03       6.0787e+00       -7.2386e-01        1.000           8.7
 19       1.6483e+03       6.1836e+00       -7.6239e-01        1.000           9.1
 20       1.3122e+03       6.2952e+00       -8.0098e-01        1.000           9.5
 21       1.0446e+03       6.4127e+00       -8.4009e-01        1.000          10.0
 22       8.3153e+02       6.5379e+00       -8.7904e-01        1.000          10.4
 23       6.6195e+02       6.6726e+00       -9.1673e-01        1.000          10.9
 24       5.2695e+02       6.8182e+00       -9.5228e-01        1.000          11.6
 25       4.1949e+02       6.9683e+00       -9.8461e-01        1.000          12.3
 26       3.3394e+02       7.1271e+00       -1.0096e+00        1.000          12.7
 27       2.6584e+02       7.2924e+00       -1.0269e+00        1.000          13.2
 28       2.1162e+02       7.4639e+00       -1.0330e+00        1.000          13.6
 29       1.6846e+02       7.6392e+00       -1.0278e+00        1.000          14.0
 30       1.3411e+02       7.8125e+00       -1.0073e+00        1.000          14.5
 31       1.0676e+02       7.9822e+00       -9.7343e-01        1.000          14.9
 32       8.4986e+01       8.1430e+00       -9.2603e-01        1.000          15.4
 33       6.7654e+01       8.2904e+00       -8.6722e-01        1.000          15.9
 34       5.3524e+01       8.4198e+00       -7.9623e-01        1.000          17.2
 35       4.1896e+01       8.5443e+00       -7.1303e-01        1.000          18.8
 36       3.2409e+01       8.6525e+00       -6.2639e-01        1.000          19.9
 37       2.4746e+01       8.7435e+00       -5.3785e-01        1.000          21.1
 38       1.8624e+01       8.8201e+00       -4.4878e-01        1.000          22.4
 39       1.3792e+01       8.8804e+00       -3.7078e-01        1.000          23.9
 40       1.0031e+01       8.9289e+00       -2.9520e-01        1.000          25.5
 41       7.1499e+00       8.9689e+00       -2.2826e-01        1.000          27.3
 42       4.9825e+00       9.0060e+00       -1.7219e-01        1.000          29.6
 43       3.3858e+00       9.0406e+00       -1.2932e-01        1.000          32.3
 44       2.2374e+00       9.0754e+00       -9.3655e-02        1.000          35.7
 45       1.4343e+00       9.1204e+00       -6.4537e-02        1.000          41.1
 46       8.9031e-01       9.1896e+00       -4.2803e-02        1.000          48.0
 47       5.3506e-01       9.2685e+00       -2.8749e-02        1.000          57.9
 48       3.1211e-01       9.2328e+00       -1.6762e-02        1.000          72.9
 49       1.7783e-01       9.0149e+00       -1.1524e-02        1.000          97.4
 50       1.0000e-01       9.2314e+00       -1.0448e-02        1.000         133.3

