File.......:  600eis - SEP,12.2014

System.....:  
Potential..:  0.000V
Current....:  -47.071uA
Temperature:  -1.2+-0.1C
Time.......:  15:43:07 - 15:45:35
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.3384e+00        4.2765e-01        0.999           0.0
   2      1.5917e+05       4.3690e+00        2.9525e-01        1.000           1.3
   3      1.2668e+05       4.3782e+00        1.9488e-01        1.000           1.8
   4      1.0082e+05       4.4013e+00        9.1710e-02        1.000           2.2
   5      8.0237e+04       4.4364e+00        3.1855e-02        0.998           2.6
   6      6.3857e+04       4.4634e+00       -4.1845e-02        0.999           3.6
   7      5.0821e+04       4.4992e+00       -1.0920e-01        0.997           4.1
   8      4.0447e+04       4.5267e+00       -1.5217e-01        1.000           4.5
   9      3.2190e+04       4.5731e+00       -2.2403e-01        0.997           4.9
  10      2.5619e+04       4.6077e+00       -2.4202e-01        0.999           5.4
  11      2.0389e+04       4.6611e+00       -2.6432e-01        1.000           5.8
  12      1.6227e+04       4.7152e+00       -2.9704e-01        1.000           6.8
  13      1.2914e+04       4.7577e+00       -3.3435e-01        0.999           7.3
  14      1.0278e+04       4.8223e+00       -3.5877e-01        1.000           7.7
  15      8.1797e+03       4.8728e+00       -3.8575e-01        1.000           8.2
  16      6.5099e+03       4.9438e+00       -4.2478e-01        0.998           8.6
  17      5.1809e+03       5.0055e+00       -4.4006e-01        0.999           9.0
  18      4.1233e+03       5.0788e+00       -4.5740e-01        0.999           9.5
  19      3.2816e+03       5.1506e+00       -4.8589e-01        1.000           9.9
  20      2.6117e+03       5.2296e+00       -5.1316e-01        0.999          10.4
  21      2.0785e+03       5.3121e+00       -5.2734e-01        0.999          10.9
  22      1.6542e+03       5.3830e+00       -5.4693e-01        1.000          11.3
  23      1.3165e+03       5.4989e+00       -5.6484e-01        1.000          11.7
  24      1.0478e+03       5.6127e+00       -5.6963e-01        1.000          12.2
  25      8.3387e+02       5.6889e+00       -5.7234e-01        0.999          12.6
  26      6.6364e+02       5.7889e+00       -5.5424e-01        1.000          13.1
  27      5.2816e+02       5.8904e+00       -5.4000e-01        0.999          13.5
  28      4.2034e+02       5.9904e+00       -5.1919e-01        1.000          14.0
  29      3.3453e+02       6.0835e+00       -4.8239e-01        1.000          14.5
  30      2.6624e+02       6.1541e+00       -4.4644e-01        1.000          14.9
  31      2.1189e+02       6.2203e+00       -3.9998e-01        0.999          15.3
  32      1.6864e+02       6.2770e+00       -3.6033e-01        1.000          15.8
  33      1.3421e+02       6.3233e+00       -3.1674e-01        1.000          16.2
  34      1.0681e+02       6.3649e+00       -2.7383e-01        1.000          16.7
  35      8.5008e+01       6.3960e+00       -2.4325e-01        0.999          17.2
  36      6.7654e+01       6.4228e+00       -2.1046e-01        1.000          17.7
  37      5.3524e+01       6.4445e+00       -1.7556e-01        1.000          18.9
  38      4.1896e+01       6.4468e+00       -1.5107e-01        1.000          20.5
  39      3.2409e+01       6.4615e+00       -1.2490e-01        1.000          21.7
  40      2.4746e+01       6.4667e+00       -1.0055e-01        1.000          22.9
  41      1.8624e+01       6.4688e+00       -8.2903e-02        1.000          24.2
  42      1.3792e+01       6.4700e+00       -6.8396e-02        1.000          25.6
  43      1.0031e+01       6.4651e+00       -5.3677e-02        1.000          27.2
  44      7.1499e+00       6.4647e+00       -3.8932e-02        1.000          29.6
  45      4.9825e+00       6.4500e+00       -2.8626e-02        1.000          32.4
  46      3.3858e+00       6.4276e+00       -2.1898e-02        1.000          35.1
  47      2.2374e+00       6.4006e+00       -1.6763e-02        1.000          38.5
  48      1.4343e+00       6.3698e+00       -1.0254e-02        1.000          44.0
  49      8.9031e-01       6.3486e+00       -6.1381e-03        1.000          50.8
  50      5.3506e-01       6.3613e+00       -4.7379e-03        1.000          60.8
  51      3.1211e-01       6.4466e+00       -4.9100e-03        1.000          75.8
  52      1.7783e-01       6.5222e+00       -1.0133e-03        1.000         100.2
  53      1.0000e-01       6.3611e+00       -4.2107e-03        1.000         136.2

