File.......:  600eis 1013h - OCT,24.2014

System.....:  
Potential..:  0.000V
Current....:  142.21nA
Temperature:  -1.0+-0.1C
Time.......:  21:21:34 - 21:23:59
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       6.5678e+00        9.0659e-02        1.000           0.0
  2       7.9606e+04       6.5955e+00        2.6789e-02        1.000           1.7
  3       6.3371e+04       6.6242e+00       -2.5343e-02        1.000           2.1
  4       5.0448e+04       6.6506e+00       -6.9055e-02        1.000           2.5
  5       4.0159e+04       6.6784e+00       -1.0393e-01        1.000           2.9
  6       3.1969e+04       6.7062e+00       -1.3450e-01        1.000           3.4
  7       2.5450e+04       6.7329e+00       -1.6797e-01        1.000           3.8
  8       2.0259e+04       6.7617e+00       -1.9278e-01        1.000           4.2
  9       1.6128e+04       6.7922e+00       -2.1702e-01        1.000           4.7
 10       1.2839e+04       6.8244e+00       -2.4189e-01        1.000           5.1
 11       1.0220e+04       6.8593e+00       -2.6753e-01        1.000           5.5
 12       8.1360e+03       6.8963e+00       -2.9618e-01        1.000           6.0
 13       6.4768e+03       6.9385e+00       -3.2253e-01        1.000           6.4
 14       5.1559e+03       6.9847e+00       -3.5098e-01        1.000           6.8
 15       4.1044e+03       7.0355e+00       -3.8071e-01        1.000           7.2
 16       3.2674e+03       7.0917e+00       -4.0867e-01        1.000           7.7
 17       2.6010e+03       7.1518e+00       -4.3955e-01        1.000           8.1
 18       2.0706e+03       7.2171e+00       -4.6980e-01        1.000           8.5
 19       1.6483e+03       7.2883e+00       -4.9870e-01        1.000           8.9
 20       1.3122e+03       7.3633e+00       -5.2958e-01        1.000           9.4
 21       1.0446e+03       7.4434e+00       -5.5978e-01        1.000           9.8
 22       8.3153e+02       7.5291e+00       -5.8947e-01        1.000          10.2
 23       6.6195e+02       7.6189e+00       -6.1832e-01        1.000          10.6
 24       5.2695e+02       7.7151e+00       -6.4638e-01        1.000          11.1
 25       4.1949e+02       7.8157e+00       -6.7599e-01        1.000          11.5
 26       3.3394e+02       7.9225e+00       -6.9879e-01        1.000          11.9
 27       2.6584e+02       8.0339e+00       -7.1910e-01        1.000          12.3
 28       2.1162e+02       8.1519e+00       -7.3487e-01        1.000          12.8
 29       1.6846e+02       8.2739e+00       -7.4547e-01        1.000          13.2
 30       1.3411e+02       8.3986e+00       -7.4723e-01        1.000          13.6
 31       1.0676e+02       8.5255e+00       -7.4157e-01        1.000          14.1
 32       8.4986e+01       8.6512e+00       -7.2636e-01        1.000          14.5
 33       6.7654e+01       8.7728e+00       -7.0474e-01        1.000          15.0
 34       5.3524e+01       8.8939e+00       -6.6496e-01        1.000          16.3
 35       4.1896e+01       9.0118e+00       -6.2009e-01        1.000          17.8
 36       3.2409e+01       9.1230e+00       -5.6773e-01        1.000          18.9
 37       2.4746e+01       9.2258e+00       -5.0619e-01        1.000          20.1
 38       1.8624e+01       9.3176e+00       -4.3923e-01        1.000          21.4
 39       1.3792e+01       9.4014e+00       -3.7370e-01        1.000          23.4
 40       1.0031e+01       9.4718e+00       -3.0910e-01        1.000          25.0
 41       7.1499e+00       9.5359e+00       -2.5133e-01        1.000          27.4
 42       4.9825e+00       9.5916e+00       -1.9511e-01        1.000          29.6
 43       3.3858e+00       9.6436e+00       -1.4955e-01        1.000          32.3
 44       2.2374e+00       9.6980e+00       -1.0997e-01        1.000          35.7
 45       1.4343e+00       9.7592e+00       -7.6839e-02        1.000          41.1
 46       8.9031e-01       9.8216e+00       -5.1313e-02        1.000          47.9
 47       5.3506e-01       9.8307e+00       -3.4257e-02        1.000          57.9
 48       3.1211e-01       9.6902e+00       -2.0834e-02        1.000          72.8
 49       1.7783e-01       9.6136e+00       -1.6402e-02        1.000          97.3
 50       1.0000e-01       9.8246e+00       -3.9590e-03        1.000         133.2

