File.......:  600eis 1226h - NOV,02.2014

System.....:  
Potential..:  0.000V
Current....:  290.1nA
Temperature:  -0.9+-0.0C
Time.......:  18:10:16 - 18:12:41
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       6.5480e+00        3.0827e-01        1.000           0.0
   2      1.5917e+05       6.5777e+00        1.9770e-01        1.000           1.1
   3      1.2668e+05       6.6067e+00        1.1276e-01        1.000           1.5
   4      1.0082e+05       6.6380e+00        3.7830e-02        1.000           1.9
   5      8.0237e+04       6.6708e+00       -1.8478e-02        1.000           2.4
   6      6.3857e+04       6.7015e+00       -6.4607e-02        1.000           2.8
   7      5.0821e+04       6.7333e+00       -1.0252e-01        1.000           3.2
   8      4.0447e+04       6.7642e+00       -1.3400e-01        1.000           3.7
   9      3.2190e+04       6.7969e+00       -1.5925e-01        1.000           4.1
  10      2.5619e+04       6.8272e+00       -1.8814e-01        1.000           4.6
  11      2.0389e+04       6.8598e+00       -2.1113e-01        1.000           5.0
  12      1.6227e+04       6.8948e+00       -2.3373e-01        1.000           5.5
  13      1.2914e+04       6.9304e+00       -2.5719e-01        1.000           5.9
  14      1.0278e+04       6.9691e+00       -2.8190e-01        1.000           6.4
  15      8.1797e+03       7.0101e+00       -3.0990e-01        1.000           6.8
  16      6.5099e+03       7.0566e+00       -3.3617e-01        1.000           7.3
  17      5.1809e+03       7.1067e+00       -3.6441e-01        1.000           7.7
  18      4.1233e+03       7.1615e+00       -3.9494e-01        1.000           8.2
  19      3.2816e+03       7.2219e+00       -4.2268e-01        1.000           8.6
  20      2.6117e+03       7.2861e+00       -4.5393e-01        1.000           9.0
  21      2.0785e+03       7.3555e+00       -4.8577e-01        1.000           9.5
  22      1.6542e+03       7.4306e+00       -5.1567e-01        1.000           9.9
  23      1.3165e+03       7.5102e+00       -5.4808e-01        1.000          10.4
  24      1.0478e+03       7.5949e+00       -5.7916e-01        1.000          10.8
  25      8.3387e+02       7.6852e+00       -6.1005e-01        1.000          11.3
  26      6.6364e+02       7.7803e+00       -6.4058e-01        1.000          11.7
  27      5.2816e+02       7.8805e+00       -6.7024e-01        1.000          12.2
  28      4.2034e+02       7.9869e+00       -7.0285e-01        1.000          12.6
  29      3.3453e+02       8.0990e+00       -7.2819e-01        1.000          13.1
  30      2.6624e+02       8.2165e+00       -7.4974e-01        1.000          13.5
  31      2.1189e+02       8.3404e+00       -7.6911e-01        1.000          14.0
  32      1.6864e+02       8.4678e+00       -7.8269e-01        1.000          14.4
  33      1.3421e+02       8.6008e+00       -7.8867e-01        1.000          14.8
  34      1.0681e+02       8.7379e+00       -7.8769e-01        1.000          15.3
  35      8.5008e+01       8.8706e+00       -7.7609e-01        1.000          15.8
  36      6.7654e+01       9.0041e+00       -7.5837e-01        1.000          16.3
  37      5.3524e+01       9.1461e+00       -7.2187e-01        1.000          17.6
  38      4.1896e+01       9.2790e+00       -6.7944e-01        1.000          19.2
  39      3.2409e+01       9.4074e+00       -6.2721e-01        1.000          20.3
  40      2.4746e+01       9.5281e+00       -5.6341e-01        1.000          21.5
  41      1.8624e+01       9.6383e+00       -4.9370e-01        1.000          22.8
  42      1.3792e+01       9.7367e+00       -4.2328e-01        1.000          24.3
  43      1.0031e+01       9.8214e+00       -3.5196e-01        1.000          25.9
  44      7.1499e+00       9.8955e+00       -2.8630e-01        1.000          27.8
  45      4.9825e+00       9.9618e+00       -2.2322e-01        1.000          30.0
  46      3.3858e+00       1.0019e+01       -1.7147e-01        1.000          32.7
  47      2.2374e+00       1.0066e+01       -1.2653e-01        1.000          36.1
  48      1.4343e+00       1.0099e+01       -8.7113e-02        1.000          41.6
  49      8.9031e-01       1.0092e+01       -5.6848e-02        1.000          48.4
  50      5.3506e-01       9.9924e+00       -3.5960e-02        1.000          58.3
  51      3.1211e-01       9.8433e+00       -2.4159e-02        1.000          73.3
  52      1.7783e-01       9.9339e+00       -1.9180e-02        0.999          97.8
  53      1.0000e-01       1.0014e+01       -4.9120e-03        1.000         133.7

