File.......:  600eis 1373h - NOV,08.2014

System.....:  
Potential..:  0.000V
Current....:  4.3488uA
Temperature:  -0.8+-0.1C
Time.......:  20:12:11 - 20:14:36
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       2.0000e+05       6.6822e+00        2.7645e-01        1.000           0.0
  2       1.5917e+05       6.7134e+00        1.6957e-01        1.000           1.0
  3       1.2668e+05       6.7485e+00        8.7604e-02        1.000           1.4
  4       1.0082e+05       6.7776e+00        1.5546e-02        1.000           1.8
  5       8.0237e+04       6.8172e+00       -3.5603e-02        1.000           2.3
  6       6.3857e+04       6.8493e+00       -7.9950e-02        1.000           2.7
  7       5.0821e+04       6.8837e+00       -1.1580e-01        1.000           3.1
  8       4.0447e+04       6.9192e+00       -1.4482e-01        1.000           3.6
  9       3.2190e+04       6.9521e+00       -1.7095e-01        1.000           4.0
 10       2.5619e+04       6.9866e+00       -1.9836e-01        1.000           4.4
 11       2.0389e+04       7.0219e+00       -2.2063e-01        1.000           4.9
 12       1.6227e+04       7.0587e+00       -2.4304e-01        1.000           5.3
 13       1.2914e+04       7.0980e+00       -2.6439e-01        1.000           5.8
 14       1.0278e+04       7.1384e+00       -2.9322e-01        1.000           6.2
 15       8.1797e+03       7.1808e+00       -3.1728e-01        1.000           6.6
 16       6.5099e+03       7.2305e+00       -3.4616e-01        1.000           7.1
 17       5.1809e+03       7.2820e+00       -3.7435e-01        1.000           7.5
 18       4.1233e+03       7.3389e+00       -4.0566e-01        1.000           8.0
 19       3.2816e+03       7.4010e+00       -4.3696e-01        1.000           8.4
 20       2.6117e+03       7.4686e+00       -4.6881e-01        1.000           8.9
 21       2.0785e+03       7.5415e+00       -5.0185e-01        1.000           9.3
 22       1.6542e+03       7.6223e+00       -5.3639e-01        1.000           9.8
 23       1.3165e+03       7.7015e+00       -5.6688e-01        1.000          10.2
 24       1.0478e+03       7.7849e+00       -6.0113e-01        1.000          10.6
 25       8.3387e+02       7.8813e+00       -6.3612e-01        1.000          11.1
 26       6.6364e+02       7.9811e+00       -6.6683e-01        1.000          11.5
 27       5.2816e+02       8.0864e+00       -7.0002e-01        1.000          11.9
 28       4.2034e+02       8.1995e+00       -7.3405e-01        1.000          12.4
 29       3.3453e+02       8.3169e+00       -7.6415e-01        1.000          12.8
 30       2.6624e+02       8.4384e+00       -7.9340e-01        1.000          13.2
 31       2.1189e+02       8.5684e+00       -8.1670e-01        1.000          13.7
 32       1.6864e+02       8.7011e+00       -8.4191e-01        1.000          14.1
 33       1.3421e+02       8.8464e+00       -8.5712e-01        1.000          14.5
 34       1.0681e+02       8.9919e+00       -8.6388e-01        1.000          15.0
 35       8.5008e+01       9.1413e+00       -8.6295e-01        1.000          15.4
 36       6.7654e+01       9.2932e+00       -8.5457e-01        1.000          15.9
 37       5.3524e+01       9.4626e+00       -8.3434e-01        1.000          17.2
 38       4.1896e+01       9.6137e+00       -7.9307e-01        1.000          18.8
 39       3.2409e+01       9.7701e+00       -7.4162e-01        1.000          19.9
 40       2.4746e+01       9.9164e+00       -6.7673e-01        1.000          21.1
 41       1.8624e+01       1.0052e+01       -5.9816e-01        1.000          22.4
 42       1.3792e+01       1.0171e+01       -5.1816e-01        1.000          23.8
 43       1.0031e+01       1.0271e+01       -4.3177e-01        1.000          25.4
 44       7.1499e+00       1.0347e+01       -3.4743e-01        1.000          27.3
 45       4.9825e+00       1.0408e+01       -2.6888e-01        1.000          29.5
 46       3.3858e+00       1.0445e+01       -2.0423e-01        1.000          32.2
 47       2.2374e+00       1.0456e+01       -1.4909e-01        1.000          35.6
 48       1.4343e+00       1.0433e+01       -1.0167e-01        1.000          41.0
 49       8.9031e-01       1.0350e+01       -6.4372e-02        1.000          47.8
 50       5.3506e-01       1.0225e+01       -4.1395e-02        1.000          57.7
 51       3.1211e-01       1.0203e+01       -2.8635e-02        1.000          72.7
 52       1.7783e-01       1.0403e+01       -2.0559e-02        1.000          97.1
 53       1.0000e-01       1.0250e+01       -8.2979e-03        0.999         133.0

