File.......:  600eis 1492h - NOV,13.2014

System.....:  
Potential..:  -0.001V
Current....:  -40.994uA
Temperature:  -1.0+-0.1C
Time.......:  18:20:39 - 18:23:03
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       5.3310e+00        4.0476e-01        1.000           0.0
   2      1.5917e+05       5.3571e+00        2.8600e-01        1.000           1.4
   3      1.2668e+05       5.3789e+00        1.9852e-01        1.000           1.9
   4      1.0082e+05       5.4070e+00        1.1253e-01        1.000           2.3
   5      8.0237e+04       5.4322e+00        5.2837e-02        1.000           2.7
   6      6.3857e+04       5.4559e+00        1.7069e-03        1.000           3.1
   7      5.0821e+04       5.4801e+00       -3.8600e-02        1.000           3.6
   8      4.0447e+04       5.5046e+00       -7.3080e-02        1.000           4.0
   9      3.2190e+04       5.5289e+00       -1.0416e-01        1.000           4.4
  10      2.5619e+04       5.5560e+00       -1.3528e-01        1.000           4.8
  11      2.0389e+04       5.5834e+00       -1.6183e-01        1.000           5.3
  12      1.6227e+04       5.6126e+00       -1.8747e-01        1.000           5.7
  13      1.2914e+04       5.6440e+00       -2.1238e-01        1.000           6.1
  14      1.0278e+04       5.6787e+00       -2.3813e-01        1.000           6.5
  15      8.1797e+03       5.7165e+00       -2.6569e-01        1.000           7.0
  16      6.5099e+03       5.7604e+00       -2.9042e-01        1.000           7.4
  17      5.1809e+03       5.8061e+00       -3.1691e-01        1.000           7.8
  18      4.1233e+03       5.8559e+00       -3.4375e-01        1.000           8.2
  19      3.2816e+03       5.9100e+00       -3.7038e-01        1.000           8.7
  20      2.6117e+03       5.9676e+00       -3.9690e-01        1.000           9.1
  21      2.0785e+03       6.0294e+00       -4.2290e-01        1.000           9.5
  22      1.6542e+03       6.0956e+00       -4.4809e-01        1.000          10.0
  23      1.3165e+03       6.1657e+00       -4.7417e-01        1.000          10.4
  24      1.0478e+03       6.2397e+00       -4.9898e-01        1.000          10.8
  25      8.3387e+02       6.3174e+00       -5.2506e-01        1.000          11.3
  26      6.6364e+02       6.3994e+00       -5.5040e-01        1.000          11.7
  27      5.2816e+02       6.4860e+00       -5.7458e-01        1.000          12.1
  28      4.2034e+02       6.5766e+00       -6.0063e-01        1.000          12.5
  29      3.3453e+02       6.6726e+00       -6.2145e-01        1.000          13.0
  30      2.6624e+02       6.7729e+00       -6.4181e-01        1.000          13.4
  31      2.1189e+02       6.8770e+00       -6.5861e-01        1.000          13.8
  32      1.6864e+02       6.9895e+00       -6.7126e-01        1.000          14.2
  33      1.3421e+02       7.1032e+00       -6.7734e-01        1.000          14.7
  34      1.0681e+02       7.2206e+00       -6.7761e-01        1.000          15.1
  35      8.5008e+01       7.3391e+00       -6.6805e-01        1.000          15.6
  36      6.7654e+01       7.4563e+00       -6.5350e-01        1.000          16.1
  37      5.3524e+01       7.5803e+00       -6.2896e-01        1.000          17.3
  38      4.1896e+01       7.6997e+00       -5.8649e-01        1.000          18.9
  39      3.2409e+01       7.8133e+00       -5.4037e-01        1.000          20.0
  40      2.4746e+01       7.9174e+00       -4.8257e-01        1.000          21.2
  41      1.8624e+01       8.0112e+00       -4.1848e-01        1.000          22.5
  42      1.3792e+01       8.0874e+00       -3.5454e-01        1.000          24.0
  43      1.0031e+01       8.1534e+00       -2.9041e-01        1.000          25.6
  44      7.1499e+00       8.2069e+00       -2.2986e-01        1.000          27.4
  45      4.9825e+00       8.2474e+00       -1.7663e-01        1.000          29.6
  46      3.3858e+00       8.2785e+00       -1.3322e-01        1.000          32.3
  47      2.2374e+00       8.2892e+00       -9.6981e-02        1.000          35.7
  48      1.4343e+00       8.2797e+00       -6.4864e-02        1.000          41.1
  49      8.9031e-01       8.2313e+00       -4.1110e-02        1.000          48.0
  50      5.3506e-01       8.1444e+00       -2.5506e-02        1.000          57.9
  51      3.1211e-01       8.1279e+00       -1.7405e-02        1.000          72.9
  52      1.7783e-01       8.2797e+00       -1.2457e-02        0.999          97.3
  53      1.0000e-01       8.1338e+00       -4.8626e-03        1.000         133.2

