File.......:  lscf 600eis 151h - SEP,18.2014

System.....:  
Potential..:  -0.000V
Current....:  7.277uA
Temperature:  2.0  +-0.0 C
Time.......:  22:51:44 - 22:54:51
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       6.2959e+00        4.3724e-02        1.000           0.0
   2      7.9606e+04       6.3126e+00        1.9227e-03        1.000           2.3
   3      6.3371e+04       6.3329e+00       -3.5924e-02        1.000           3.4
   4      5.0448e+04       6.3547e+00       -6.8464e-02        1.000           4.4
   5      4.0159e+04       6.3783e+00       -9.7166e-02        1.000           5.4
   6      3.1969e+04       6.4025e+00       -1.2255e-01        1.000           6.5
   7      2.5450e+04       6.4295e+00       -1.4965e-01        1.000           7.5
   8      2.0259e+04       6.4580e+00       -1.7207e-01        1.000           8.6
   9      1.6128e+04       6.4878e+00       -1.9360e-01        1.000           9.6
  10      1.2839e+04       6.5221e+00       -2.1474e-01        1.000          10.7
  11      1.0220e+04       6.5607e+00       -2.3709e-01        1.000          11.7
  12      8.1360e+03       6.6019e+00       -2.6093e-01        1.000          12.8
  13      6.4768e+03       6.6464e+00       -2.8305e-01        1.000          13.8
  14      5.1559e+03       6.6949e+00       -3.0794e-01        1.000          14.8
  15      4.1044e+03       6.7462e+00       -3.3309e-01        1.000          15.9
  16      3.2674e+03       6.8022e+00       -3.5874e-01        1.000          16.9
  17      2.6010e+03       6.8629e+00       -3.8408e-01        1.000          18.0
  18      2.0706e+03       6.9277e+00       -4.0993e-01        1.000          19.0
  19      1.6483e+03       6.9959e+00       -4.3494e-01        1.000          20.1
  20      1.3122e+03       7.0703e+00       -4.5869e-01        1.000          21.1
  21      1.0446e+03       7.1493e+00       -4.8322e-01        1.000          22.1
  22      8.3153e+02       7.2314e+00       -5.0500e-01        1.000          23.2
  23      6.6195e+02       7.3190e+00       -5.2577e-01        1.000          24.2
  24      5.2695e+02       7.4114e+00       -5.4526e-01        1.000          25.3
  25      4.1949e+02       7.5083e+00       -5.6454e-01        1.000          26.3
  26      3.3394e+02       7.6089e+00       -5.7584e-01        1.000          27.3
  27      2.6584e+02       7.7129e+00       -5.8058e-01        1.000          28.4
  28      2.1162e+02       7.8165e+00       -5.8049e-01        1.000          29.4
  29      1.6846e+02       7.9201e+00       -5.7102e-01        1.000          30.4
  30      1.3411e+02       8.0233e+00       -5.5336e-01        1.000          31.5
  31      1.0676e+02       8.1210e+00       -5.3197e-01        1.000          32.5
  32      8.4986e+01       8.2115e+00       -5.0106e-01        1.000          33.6
  33      6.7654e+01       8.2964e+00       -4.6412e-01        1.000          34.7
  34      5.3524e+01       8.3730e+00       -4.2711e-01        1.000          37.0
  35      4.1896e+01       8.4381e+00       -3.8370e-01        1.000          40.0
  36      3.2409e+01       8.4914e+00       -3.3488e-01        1.000          42.8
  37      2.4746e+01       8.5260e+00       -2.8309e-01        1.000          45.6
  38      1.8624e+01       8.5415e+00       -2.3441e-01        1.000          48.5
  39      1.3792e+01       8.5403e+00       -1.9343e-01        1.000          51.6
  40      1.0031e+01       8.5239e+00       -1.5077e-01        1.000          54.8
  41      7.1499e+00       8.4951e+00       -1.2194e-01        1.000          58.3
  42      4.9825e+00       8.4646e+00       -9.0706e-02        1.000          62.1
  43      3.3858e+00       8.4340e+00       -6.6416e-02        1.000          66.4
  44      2.2374e+00       8.4150e+00       -4.6789e-02        1.000          71.3
  45      1.4343e+00       8.4143e+00       -3.6624e-02        1.000          77.2
  46      8.9031e-01       8.4443e+00       -2.8029e-02        1.000          84.9
  47      5.3506e-01       8.5344e+00       -1.8557e-02        1.000          95.8
  48      3.1211e-01       8.6644e+00       -1.3750e-02        1.000         114.3
  49      1.7783e-01       8.5132e+00       -1.0451e-02        1.000         139.2
  50      1.0000e-01       8.5524e+00       -1.2008e-02        0.999         175.0

