File.......:  lscf 1541h - NOV,15.2014

System.....:  
Potential..:  -0.000V
Current....:  -4.0271uA
Temperature:  1.6  +-0.0 C
Time.......:  18:42:43 - 18:45:52
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       5.4210e+00        1.0331e-01        1.000           0.0
   2      7.9606e+04       5.4364e+00        4.9664e-02        1.000           2.8
   3      6.3371e+04       5.4546e+00        4.8423e-03        0.999           3.9
   4      5.0448e+04       5.4756e+00       -3.5771e-02        1.000           4.9
   5      4.0159e+04       5.4978e+00       -7.0062e-02        0.999           5.9
   6      3.1969e+04       5.5219e+00       -1.0106e-01        0.999           7.0
   7      2.5450e+04       5.5528e+00       -1.3031e-01        1.000           8.0
   8      2.0259e+04       5.5809e+00       -1.5695e-01        1.000           9.1
   9      1.6128e+04       5.6108e+00       -1.8298e-01        1.000          10.1
  10      1.2839e+04       5.6456e+00       -2.0927e-01        1.000          11.2
  11      1.0220e+04       5.6823e+00       -2.3529e-01        1.000          12.2
  12      8.1360e+03       5.7232e+00       -2.6167e-01        1.000          13.3
  13      6.4768e+03       5.7693e+00       -2.8815e-01        1.000          14.3
  14      5.1559e+03       5.8180e+00       -3.1594e-01        1.000          15.3
  15      4.1044e+03       5.8710e+00       -3.4258e-01        1.000          16.4
  16      3.2674e+03       5.9288e+00       -3.6877e-01        1.000          17.4
  17      2.6010e+03       5.9908e+00       -3.9671e-01        1.000          18.5
  18      2.0706e+03       6.0571e+00       -4.2325e-01        1.000          19.5
  19      1.6483e+03       6.1290e+00       -4.4758e-01        1.000          20.6
  20      1.3122e+03       6.2064e+00       -4.7583e-01        1.000          22.3
  21      1.0446e+03       6.2869e+00       -5.0075e-01        1.000          23.3
  22      8.3153e+02       6.3686e+00       -5.2526e-01        1.000          24.4
  23      6.6195e+02       6.4555e+00       -5.4970e-01        1.000          25.4
  24      5.2695e+02       6.5452e+00       -5.7184e-01        1.000          26.5
  25      4.1949e+02       6.6396e+00       -5.9762e-01        1.000          27.5
  26      3.3394e+02       6.7380e+00       -6.1598e-01        1.000          28.5
  27      2.6584e+02       6.8424e+00       -6.3140e-01        1.000          29.6
  28      2.1162e+02       6.9484e+00       -6.4361e-01        1.000          30.6
  29      1.6846e+02       7.0591e+00       -6.4969e-01        1.000          31.6
  30      1.3411e+02       7.1701e+00       -6.4916e-01        1.000          32.7
  31      1.0676e+02       7.2803e+00       -6.4357e-01        1.000          33.7
  32      8.4986e+01       7.3889e+00       -6.2720e-01        1.000          34.8
  33      6.7654e+01       7.4950e+00       -6.0225e-01        1.000          35.9
  34      5.3524e+01       7.5915e+00       -5.7531e-01        1.000          38.1
  35      4.1896e+01       7.6758e+00       -5.2881e-01        1.000          41.2
  36      3.2409e+01       7.7462e+00       -4.7633e-01        1.000          44.0
  37      2.4746e+01       7.8017e+00       -4.1547e-01        1.000          46.8
  38      1.8624e+01       7.8416e+00       -3.5656e-01        1.000          49.7
  39      1.3792e+01       7.8684e+00       -2.9983e-01        1.000          52.8
  40      1.0031e+01       7.8829e+00       -2.4345e-01        1.000          56.0
  41      7.1499e+00       7.8918e+00       -1.9815e-01        1.000          59.4
  42      4.9825e+00       7.9015e+00       -1.5297e-01        1.000          63.3
  43      3.3858e+00       7.9128e+00       -1.1468e-01        1.000          67.5
  44      2.2374e+00       7.9309e+00       -8.3665e-02        1.000          72.5
  45      1.4343e+00       7.9637e+00       -6.1884e-02        1.000          78.4
  46      8.9031e-01       8.0197e+00       -4.7775e-02        1.000          86.1
  47      5.3506e-01       8.1080e+00       -3.0826e-02        1.000          97.0
  48      3.1211e-01       8.1461e+00       -1.9155e-02        1.000         115.5
  49      1.7783e-01       7.9783e+00       -1.5348e-02        1.000         140.3
  50      1.0000e-01       8.1365e+00       -1.3658e-02        0.999         176.1

