File.......:  lscf 600eis 173h - SEP,19.2014

System.....:  
Potential..:  -0.000V
Current....:  6.9171uA
Temperature:  1.9  +-0.0 C
Time.......:  21:24:06 - 21:27:16
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       6.3764e+00        1.1596e-01        1.000           0.0
   2      1.5917e+05       6.3827e+00        6.8293e-02        1.000           2.1
   3      1.2668e+05       6.3910e+00        2.5605e-02        1.000           3.2
   4      1.0082e+05       6.3968e+00       -1.1494e-02        1.000           4.2
   5      8.0237e+04       6.4046e+00       -4.2860e-02        1.000           5.2
   6      6.3857e+04       6.4155e+00       -7.2100e-02        1.000           6.3
   7      5.0821e+04       6.4268e+00       -9.8577e-02        1.000           7.3
   8      4.0447e+04       6.4416e+00       -1.2064e-01        1.000           8.4
   9      3.2190e+04       6.4574e+00       -1.4228e-01        1.000           9.4
  10      2.5619e+04       6.4743e+00       -1.6585e-01        1.000          10.4
  11      2.0389e+04       6.4939e+00       -1.8473e-01        1.000          11.5
  12      1.6227e+04       6.5154e+00       -2.0391e-01        1.000          12.5
  13      1.2914e+04       6.5397e+00       -2.2406e-01        1.000          13.6
  14      1.0278e+04       6.5682e+00       -2.4513e-01        1.000          14.6
  15      8.1797e+03       6.5999e+00       -2.6706e-01        1.000          15.6
  16      6.5099e+03       6.6354e+00       -2.8900e-01        1.000          16.7
  17      5.1809e+03       6.6748e+00       -3.1249e-01        1.000          17.7
  18      4.1233e+03       6.7184e+00       -3.3676e-01        1.000          18.8
  19      3.2816e+03       6.7662e+00       -3.6057e-01        1.000          19.8
  20      2.6117e+03       6.8188e+00       -3.8567e-01        1.000          20.8
  21      2.0785e+03       6.8770e+00       -4.1060e-01        1.000          21.9
  22      1.6542e+03       6.9390e+00       -4.3453e-01        1.000          22.9
  23      1.3165e+03       7.0055e+00       -4.5900e-01        1.000          24.0
  24      1.0478e+03       7.0770e+00       -4.8262e-01        1.000          25.0
  25      8.3387e+02       7.1534e+00       -5.0578e-01        1.000          26.1
  26      6.6364e+02       7.2346e+00       -5.2698e-01        1.000          27.1
  27      5.2816e+02       7.3216e+00       -5.4651e-01        1.000          28.1
  28      4.2034e+02       7.4128e+00       -5.6665e-01        1.000          29.2
  29      3.3453e+02       7.5090e+00       -5.7871e-01        1.000          30.2
  30      2.6624e+02       7.6085e+00       -5.8550e-01        1.000          31.3
  31      2.1189e+02       7.7114e+00       -5.8690e-01        1.000          32.3
  32      1.6864e+02       7.8160e+00       -5.7748e-01        1.000          33.3
  33      1.3421e+02       7.9209e+00       -5.6166e-01        1.000          34.4
  34      1.0681e+02       8.0206e+00       -5.4086e-01        1.000          35.4
  35      8.5008e+01       8.1143e+00       -5.1082e-01        1.000          36.5
  36      6.7654e+01       8.2030e+00       -4.7576e-01        1.000          37.6
  37      5.3524e+01       8.2984e+00       -4.4016e-01        1.000          39.9
  38      4.1896e+01       8.3883e+00       -3.9630e-01        1.000          42.9
  39      3.2409e+01       8.4711e+00       -3.4866e-01        1.000          45.7
  40      2.4746e+01       8.5485e+00       -2.9847e-01        1.000          48.5
  41      1.8624e+01       8.6195e+00       -2.5075e-01        1.000          51.5
  42      1.3792e+01       8.6799e+00       -2.1004e-01        1.000          54.5
  43      1.0031e+01       8.7292e+00       -1.6780e-01        1.000          57.7
  44      7.1499e+00       8.7642e+00       -1.3792e-01        1.000          61.2
  45      4.9825e+00       8.7868e+00       -1.0305e-01        1.000          65.0
  46      3.3858e+00       8.7867e+00       -7.6431e-02        1.000          69.3
  47      2.2374e+00       8.7544e+00       -5.4502e-02        1.000          74.2
  48      1.4343e+00       8.6921e+00       -4.1262e-02        1.000          80.1
  49      8.9031e-01       8.6123e+00       -3.1935e-02        1.000          87.9
  50      5.3506e-01       8.5722e+00       -1.9225e-02        1.000          98.7
  51      3.1211e-01       8.6399e+00       -1.4884e-02        1.000         117.2
  52      1.7783e-01       8.8036e+00       -1.3849e-02        1.000         142.1
  53      1.0000e-01       8.5755e+00       -5.1784e-03        1.000         177.9

