File.......:  600eis 23h - SEP,13.2014

System.....:  
Potential..:  0.000V
Current....:  -8.2744uA
Temperature:  -1.3+-0.0C
Time.......:  14:37:23 - 14:39:48
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       2.0000e+05       6.0572e+00        3.4723e-01        1.000           0.0
  2       1.5917e+05       6.0808e+00        2.3248e-01        1.000           1.2
  3       1.2668e+05       6.1074e+00        1.5178e-01        1.000           1.6
  4       1.0082e+05       6.1274e+00        7.5151e-02        1.000           2.1
  5       8.0237e+04       6.1529e+00        2.1463e-02        1.000           2.5
  6       6.3857e+04       6.1738e+00       -2.2928e-02        1.000           3.0
  7       5.0821e+04       6.1992e+00       -5.9048e-02        1.000           3.4
  8       4.0447e+04       6.2217e+00       -9.0376e-02        1.000           3.8
  9       3.2190e+04       6.2468e+00       -1.1809e-01        1.000           4.3
 10       2.5619e+04       6.2703e+00       -1.4934e-01        1.000           4.7
 11       2.0389e+04       6.2973e+00       -1.7080e-01        1.000           5.1
 12       1.6227e+04       6.3254e+00       -1.9150e-01        1.000           5.6
 13       1.2914e+04       6.3559e+00       -2.1231e-01        1.000           6.0
 14       1.0278e+04       6.3884e+00       -2.3395e-01        1.000           6.5
 15       8.1797e+03       6.4232e+00       -2.5670e-01        1.000           6.9
 16       6.5099e+03       6.4629e+00       -2.7671e-01        1.000           7.3
 17       5.1809e+03       6.5055e+00       -2.9839e-01        1.000           7.8
 18       4.1233e+03       6.5513e+00       -3.2040e-01        1.000           8.2
 19       3.2816e+03       6.6007e+00       -3.4207e-01        1.000           8.7
 20       2.6117e+03       6.6534e+00       -3.6336e-01        1.000           9.1
 21       2.0785e+03       6.7103e+00       -3.8412e-01        1.000           9.6
 22       1.6542e+03       6.7707e+00       -4.0388e-01        1.000          10.0
 23       1.3165e+03       6.8346e+00       -4.2349e-01        1.000          10.4
 24       1.0478e+03       6.9025e+00       -4.4217e-01        1.000          10.9
 25       8.3387e+02       6.9740e+00       -4.5988e-01        1.000          11.3
 26       6.6364e+02       7.0504e+00       -4.7451e-01        1.000          11.7
 27       5.2816e+02       7.1298e+00       -4.8627e-01        1.000          12.2
 28       4.2034e+02       7.2126e+00       -4.9485e-01        1.000          12.6
 29       3.3453e+02       7.2976e+00       -4.9545e-01        1.000          13.1
 30       2.6624e+02       7.3842e+00       -4.9070e-01        1.000          13.5
 31       2.1189e+02       7.4685e+00       -4.7940e-01        1.000          14.0
 32       1.6864e+02       7.5508e+00       -4.6012e-01        1.000          14.4
 33       1.3421e+02       7.6297e+00       -4.3439e-01        1.000          14.8
 34       1.0681e+02       7.7035e+00       -4.0460e-01        1.000          15.3
 35       8.5008e+01       7.7686e+00       -3.7029e-01        1.000          15.8
 36       6.7654e+01       7.8258e+00       -3.3562e-01        1.000          16.3
 37       5.3524e+01       7.8830e+00       -2.9587e-01        1.000          17.5
 38       4.1896e+01       7.9301e+00       -2.5556e-01        1.000          19.1
 39       3.2409e+01       7.9708e+00       -2.1815e-01        1.000          20.3
 40       2.4746e+01       8.0052e+00       -1.8005e-01        1.000          21.5
 41       1.8624e+01       8.0334e+00       -1.4488e-01        1.000          22.8
 42       1.3792e+01       8.0582e+00       -1.1653e-01        1.000          24.2
 43       1.0031e+01       8.0818e+00       -9.0664e-02        1.000          25.8
 44       7.1499e+00       8.1053e+00       -6.8458e-02        1.000          27.7
 45       4.9825e+00       8.1321e+00       -5.0165e-02        1.000          29.9
 46       3.3858e+00       8.1598e+00       -3.8301e-02        1.000          32.6
 47       2.2374e+00       8.1914e+00       -2.8050e-02        1.000          36.0
 48       1.4343e+00       8.2251e+00       -1.8506e-02        1.000          41.4
 49       8.9031e-01       8.2443e+00       -1.1133e-02        1.000          48.3
 50       5.3506e-01       8.1934e+00       -5.8210e-03        1.000          58.2
 51       3.1211e-01       8.0484e+00       -5.2158e-03        1.000          73.2
 52       1.7783e-01       8.0698e+00       -7.0658e-03        1.000          97.6
 53       1.0000e-01       8.1811e+00        4.1169e-03        1.000         133.6

