File.......:  600eis 293h - SEP,24.2014

System.....:  
Potential..:  0.000V
Current....:  -15.119uA
Temperature:  -0.9+-0.1C
Time.......:  20:42:52 - 20:45:19
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   56
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0082e+05       6.2944e+00       -1.5168e-01        0.999           0.0
  2       1.2668e+05       6.2593e+00       -1.2136e-01        0.999           1.5
  3       1.5917e+05       6.2553e+00       -1.0375e-01        1.000           1.9
  4       2.0000e+05       6.2249e+00       -6.7359e-02        1.000           2.3
  5       1.5917e+05       6.2491e+00       -6.3283e-02        1.000           2.8
  6       1.2668e+05       6.2642e+00       -1.3408e-01        0.999           3.3
  7       1.0082e+05       6.3183e+00       -1.3210e-01        1.000           3.7
  8       8.0237e+04       6.3394e+00       -1.3151e-01        1.000           4.1
  9       6.3857e+04       6.3628e+00       -1.7230e-01        0.999           4.6
 10       5.0821e+04       6.3861e+00       -1.7150e-01        0.999           5.0
 11       4.0447e+04       6.4313e+00       -1.6354e-01        1.000           5.5
 12       3.2190e+04       6.4534e+00       -1.9206e-01        1.000           5.9
 13       2.5619e+04       6.4938e+00       -1.9959e-01        1.000           6.6
 14       2.0389e+04       6.5287e+00       -2.1366e-01        0.998           7.3
 15       1.6227e+04       6.5591e+00       -2.2880e-01        1.000           7.8
 16       1.2914e+04       6.5932e+00       -2.4829e-01        1.000           8.2
 17       1.0278e+04       6.6318e+00       -2.5865e-01        1.000           8.6
 18       8.1797e+03       6.6703e+00       -2.8667e-01        1.000           9.1
 19       6.5099e+03       6.7169e+00       -3.0838e-01        1.000           9.6
 20       5.1809e+03       6.7585e+00       -3.2733e-01        1.000          10.0
 21       4.1233e+03       6.8086e+00       -3.5491e-01        1.000          10.5
 22       3.2816e+03       6.8637e+00       -3.7942e-01        1.000          10.9
 23       2.6117e+03       6.9280e+00       -4.0208e-01        1.000          11.3
 24       2.0785e+03       6.9837e+00       -4.2442e-01        1.000          11.8
 25       1.6542e+03       7.0541e+00       -4.5203e-01        1.000          12.2
 26       1.3165e+03       7.1273e+00       -4.7893e-01        1.000          12.7
 27       1.0478e+03       7.1985e+00       -5.0528e-01        1.000          13.1
 28       8.3387e+02       7.2792e+00       -5.2718e-01        1.000          13.5
 29       6.6364e+02       7.3677e+00       -5.4878e-01        1.000          14.0
 30       5.2816e+02       7.4632e+00       -5.7040e-01        1.000          14.4
 31       4.2034e+02       7.5544e+00       -5.8803e-01        1.000          14.9
 32       3.3453e+02       7.6552e+00       -6.0238e-01        1.000          15.3
 33       2.6624e+02       7.7564e+00       -6.0728e-01        1.000          15.8
 34       2.1189e+02       7.8448e+00       -6.1299e-01        1.000          16.2
 35       1.6864e+02       7.9767e+00       -5.9937e-01        1.000          16.6
 36       1.3421e+02       8.0775e+00       -5.9518e-01        1.000          17.1
 37       1.0681e+02       8.1955e+00       -5.8244e-01        1.000          17.5
 38       8.5008e+01       8.2690e+00       -5.5167e-01        1.000          18.0
 39       6.7654e+01       8.3672e+00       -5.1697e-01        1.000          18.5
 40       5.3524e+01       8.4554e+00       -4.9115e-01        1.000          19.8
 41       4.1896e+01       8.5433e+00       -4.4069e-01        1.000          21.4
 42       3.2409e+01       8.6162e+00       -3.9094e-01        1.000          22.5
 43       2.4746e+01       8.6795e+00       -3.4344e-01        0.999          23.7
 44       1.8624e+01       8.7342e+00       -2.9159e-01        1.000          25.0
 45       1.3792e+01       8.7761e+00       -2.4500e-01        1.000          26.5
 46       1.0031e+01       8.8102e+00       -1.9960e-01        1.000          28.1
 47       7.1499e+00       8.8313e+00       -1.5545e-01        1.000          29.9
 48       4.9825e+00       8.8413e+00       -1.1755e-01        1.000          32.2
 49       3.3858e+00       8.8328e+00       -8.8184e-02        1.000          34.9
 50       2.2374e+00       8.8057e+00       -6.3572e-02        1.000          38.3
 51       1.4343e+00       8.7562e+00       -4.2679e-02        1.000          43.7
 52       8.9031e-01       8.6831e+00       -2.5221e-02        1.000          50.5
 53       5.3506e-01       8.6252e+00       -1.6602e-02        1.000          60.5
 54       3.1211e-01       8.6657e+00       -1.1371e-02        1.000          75.5
 55       1.7783e-01       8.8496e+00       -7.2583e-03        1.000          99.9
 56       1.0000e-01       8.6686e+00       -5.1861e-03        1.000         135.8

