File.......:  600eis 383h - SEP,28.2014

System.....:  
Potential..:  0.000V
Current....:  7.7334uA
Temperature:  -0.8+-0.1C
Time.......:  14:58:30 - 15:00:55
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       6.3547e+00        2.2430e-01        1.000           0.0
  2       7.9606e+04       6.3881e+00        1.3996e-01        1.000           1.7
  3       6.3371e+04       6.4167e+00        6.1410e-02        1.000           2.1
  4       5.0448e+04       6.4481e+00        6.3051e-03        1.000           2.6
  5       4.0159e+04       6.4771e+00       -4.9386e-02        1.000           3.0
  6       3.1969e+04       6.5060e+00       -7.8933e-02        1.000           3.5
  7       2.5450e+04       6.5350e+00       -1.1868e-01        1.000           3.9
  8       2.0259e+04       6.5659e+00       -1.4723e-01        1.000           4.3
  9       1.6128e+04       6.6002e+00       -1.7506e-01        1.000           4.8
 10       1.2839e+04       6.6342e+00       -2.0623e-01        1.000           5.2
 11       1.0220e+04       6.6706e+00       -2.3404e-01        1.000           5.6
 12       8.1360e+03       6.7095e+00       -2.6096e-01        1.000           6.1
 13       6.4768e+03       6.7520e+00       -2.8989e-01        1.000           6.5
 14       5.1559e+03       6.7967e+00       -3.2093e-01        1.000           7.0
 15       4.1044e+03       6.8498e+00       -3.4663e-01        1.000           7.4
 16       3.2674e+03       6.9037e+00       -3.7379e-01        1.000           7.8
 17       2.6010e+03       6.9627e+00       -4.0385e-01        1.000           8.3
 18       2.0706e+03       7.0272e+00       -4.3070e-01        1.000           8.7
 19       1.6483e+03       7.0925e+00       -4.5968e-01        1.000           9.2
 20       1.3122e+03       7.1667e+00       -4.8266e-01        1.000           9.6
 21       1.0446e+03       7.2423e+00       -5.0592e-01        1.000          10.1
 22       8.3153e+02       7.3236e+00       -5.3519e-01        1.000          10.5
 23       6.6195e+02       7.4124e+00       -5.5515e-01        1.000          10.9
 24       5.2695e+02       7.5034e+00       -5.7765e-01        1.000          11.4
 25       4.1949e+02       7.5959e+00       -5.9643e-01        1.000          11.8
 26       3.3394e+02       7.6945e+00       -6.0976e-01        1.000          12.3
 27       2.6584e+02       7.7983e+00       -6.1677e-01        1.000          12.7
 28       2.1162e+02       7.9030e+00       -6.1907e-01        1.000          13.1
 29       1.6846e+02       8.0072e+00       -6.1516e-01        1.000          13.6
 30       1.3411e+02       8.1132e+00       -6.0293e-01        1.000          14.0
 31       1.0676e+02       8.2163e+00       -5.8388e-01        1.000          14.5
 32       8.4986e+01       8.3095e+00       -5.5767e-01        1.000          14.9
 33       6.7654e+01       8.3997e+00       -5.2808e-01        1.000          15.4
 34       5.3524e+01       8.4878e+00       -4.9222e-01        1.000          16.7
 35       4.1896e+01       8.5606e+00       -4.4497e-01        1.000          18.3
 36       3.2409e+01       8.6281e+00       -4.0011e-01        1.000          19.4
 37       2.4746e+01       8.6867e+00       -3.5212e-01        1.000          20.6
 38       1.8624e+01       8.7360e+00       -3.0029e-01        1.000          21.9
 39       1.3792e+01       8.7728e+00       -2.5417e-01        1.000          23.4
 40       1.0031e+01       8.7998e+00       -2.0770e-01        1.000          25.0
 41       7.1499e+00       8.8142e+00       -1.6170e-01        1.000          26.8
 42       4.9825e+00       8.8182e+00       -1.2377e-01        1.000          29.1
 43       3.3858e+00       8.8056e+00       -9.3371e-02        1.000          31.8
 44       2.2374e+00       8.7791e+00       -6.8034e-02        1.000          35.2
 45       1.4343e+00       8.7411e+00       -4.4093e-02        1.000          40.6
 46       8.9031e-01       8.7054e+00       -2.7969e-02        1.000          47.5
 47       5.3506e-01       8.7063e+00       -1.9659e-02        1.000          57.4
 48       3.1211e-01       8.8073e+00       -1.3658e-02        1.000          72.4
 49       1.7783e-01       8.9126e+00       -7.2102e-03        1.000          96.9
 50       1.0000e-01       8.7301e+00       -8.9971e-03        1.000         132.8

