File.......:  600eis 65h - SEP,15.2014

System.....:  
Potential..:  -0.001V
Current....:  -43.215uA
Temperature:  -1.1+-0.1C
Time.......:  09:16:21 - 09:18:43
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   44
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       6.1552e+00        4.2803e-01        1.000           0.0
   2      1.5015e+05       6.1886e+00        2.7449e-01        1.000           1.1
   3      1.1273e+05       6.2159e+00        1.5165e-01        1.000           1.5
   4      8.4634e+04       6.2448e+00        6.6311e-02        1.000           2.0
   5      6.3541e+04       6.2707e+00        1.9119e-03        1.000           2.5
   6      4.7704e+04       6.3003e+00       -5.2503e-02        1.000           3.0
   7      3.5815e+04       6.3300e+00       -9.3465e-02        1.000           3.4
   8      2.6889e+04       6.3585e+00       -1.3433e-01        1.000           3.9
   9      2.0187e+04       6.3891e+00       -1.6503e-01        1.000           4.3
  10      1.5156e+04       6.4234e+00       -1.9309e-01        1.000           4.8
  11      1.1378e+04       6.4605e+00       -2.2199e-01        1.000           5.2
  12      8.5426e+03       6.5018e+00       -2.5129e-01        1.000           5.7
  13      6.4135e+03       6.5484e+00       -2.7898e-01        1.000           6.2
  14      4.8150e+03       6.6009e+00       -3.0864e-01        1.000           6.6
  15      3.6150e+03       6.6586e+00       -3.3791e-01        1.000           7.1
  16      2.7140e+03       6.7215e+00       -3.6694e-01        1.000           7.6
  17      2.0376e+03       6.7915e+00       -3.9482e-01        1.000           8.1
  18      1.5298e+03       6.8674e+00       -4.2090e-01        1.000           8.5
  19      1.1485e+03       6.9489e+00       -4.4624e-01        1.000           9.0
  20      8.6225e+02       7.0371e+00       -4.7105e-01        1.000           9.4
  21      6.4735e+02       7.1305e+00       -4.9071e-01        1.000           9.9
  22      4.8601e+02       7.2306e+00       -5.0794e-01        1.000          10.4
  23      3.6488e+02       7.3368e+00       -5.1608e-01        1.000          10.8
  24      2.7394e+02       7.4436e+00       -5.1427e-01        1.000          11.3
  25      2.0566e+02       7.5507e+00       -5.0373e-01        1.000          11.8
  26      1.5441e+02       7.6551e+00       -4.8180e-01        1.000          12.2
  27      1.1592e+02       7.7528e+00       -4.4919e-01        1.000          12.7
  28      8.7031e+01       7.8395e+00       -4.1046e-01        1.000          13.2
  29      6.5649e+01       7.9134e+00       -3.7262e-01        1.000          13.7
  30      4.8890e+01       7.9717e+00       -3.1993e-01        1.000          15.1
  31      3.5902e+01       8.0286e+00       -2.6876e-01        1.000          16.7
  32      2.5963e+01       8.0727e+00       -2.2119e-01        1.000          18.0
  33      1.8462e+01       8.1079e+00       -1.7244e-01        1.000          19.4
  34      1.2888e+01       8.1338e+00       -1.3507e-01        1.000          21.0
  35      8.8167e+00       8.1556e+00       -1.0010e-01        1.000          22.8
  36      5.9005e+00       8.1748e+00       -7.1150e-02        1.000          25.0
  37      3.8562e+00       8.1959e+00       -5.0115e-02        1.000          27.8
  38      2.4573e+00       8.2272e+00       -3.7022e-02        1.000          32.0
  39      1.5252e+00       8.2720e+00       -2.3607e-02        1.000          37.7
  40      9.2196e-01       8.3388e+00       -1.3569e-02        1.000          45.3
  41      5.4349e-01       8.3894e+00       -8.9682e-03        1.000          55.6
  42      3.1344e-01       8.3096e+00       -4.8632e-03        1.000          70.5
  43      1.7783e-01       8.1684e+00       -4.9343e-03        1.000          94.9
  44      1.0000e-01       8.3677e+00       -1.0882e-04        1.000         130.9

