File.......:  lscf 675h - OCT,10.2014

System.....:  
Potential..:  -0.000V
Current....:  6.6529uA
Temperature:  2.1  +-0.0 C
Time.......:  19:36:14 - 19:39:22
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       6.3856e+00        1.2785e-02        1.000           0.0
  2       7.9606e+04       6.4052e+00       -2.6388e-02        1.000           2.5
  3       6.3371e+04       6.4260e+00       -6.0669e-02        1.000           3.6
  4       5.0448e+04       6.4469e+00       -9.1901e-02        1.000           4.6
  5       4.0159e+04       6.4710e+00       -1.1920e-01        1.000           5.7
  6       3.1969e+04       6.4973e+00       -1.4360e-01        1.000           6.7
  7       2.5450e+04       6.5245e+00       -1.6900e-01        1.000           7.7
  8       2.0259e+04       6.5550e+00       -1.9052e-01        1.000           8.8
  9       1.6128e+04       6.5864e+00       -2.1216e-01        1.000           9.8
 10       1.2839e+04       6.6208e+00       -2.3491e-01        1.000          10.9
 11       1.0220e+04       6.6580e+00       -2.5875e-01        1.000          11.9
 12       8.1360e+03       6.6987e+00       -2.8345e-01        1.000          13.0
 13       6.4768e+03       6.7444e+00       -3.0939e-01        1.000          14.0
 14       5.1559e+03       6.7939e+00       -3.3640e-01        1.000          15.1
 15       4.1044e+03       6.8481e+00       -3.6471e-01        1.000          16.1
 16       3.2674e+03       6.9080e+00       -3.9124e-01        1.000          17.1
 17       2.6010e+03       6.9718e+00       -4.2073e-01        1.000          18.2
 18       2.0706e+03       7.0411e+00       -4.4978e-01        1.000          19.2
 19       1.6483e+03       7.1169e+00       -4.8049e-01        1.000          20.3
 20       1.3122e+03       7.1949e+00       -5.0685e-01        1.000          21.3
 21       1.0446e+03       7.2800e+00       -5.3094e-01        1.000          22.4
 22       8.3153e+02       7.3663e+00       -5.6136e-01        1.000          23.4
 23       6.6195e+02       7.4602e+00       -5.8622e-01        1.000          24.4
 24       5.2695e+02       7.5633e+00       -6.1170e-01        1.000          25.5
 25       4.1949e+02       7.6673e+00       -6.3524e-01        1.000          26.5
 26       3.3394e+02       7.7748e+00       -6.5492e-01        1.000          27.6
 27       2.6584e+02       7.8898e+00       -6.6754e-01        1.000          28.6
 28       2.1162e+02       8.0066e+00       -6.7783e-01        1.000          29.6
 29       1.6846e+02       8.1275e+00       -6.7873e-01        1.000          30.7
 30       1.3411e+02       8.2494e+00       -6.7209e-01        1.000          31.7
 31       1.0676e+02       8.3677e+00       -6.5878e-01        1.000          32.8
 32       8.4986e+01       8.4855e+00       -6.3618e-01        1.000          33.8
 33       6.7654e+01       8.5956e+00       -6.0481e-01        1.000          34.9
 34       5.3524e+01       8.7067e+00       -5.7111e-01        1.000          37.2
 35       4.1896e+01       8.8169e+00       -5.2629e-01        1.000          40.2
 36       3.2409e+01       8.9074e+00       -4.7542e-01        1.000          43.0
 37       2.4746e+01       8.9849e+00       -4.1686e-01        1.000          45.8
 38       1.8624e+01       9.0424e+00       -3.6034e-01        1.000          48.8
 39       1.3792e+01       9.0816e+00       -3.0605e-01        1.000          51.8
 40       1.0031e+01       9.1022e+00       -2.5102e-01        1.000          55.1
 41       7.1499e+00       9.1038e+00       -2.0519e-01        1.000          58.5
 42       4.9825e+00       9.0948e+00       -1.5904e-01        1.000          62.3
 43       3.3858e+00       9.0737e+00       -1.1828e-01        1.000          66.6
 44       2.2374e+00       9.0558e+00       -8.5851e-02        1.000          71.5
 45       1.4343e+00       9.0473e+00       -6.3451e-02        1.000          77.5
 46       8.9031e-01       9.0729e+00       -4.9101e-02        1.000          85.2
 47       5.3506e-01       9.1504e+00       -3.2285e-02        1.000          96.0
 48       3.1211e-01       9.2862e+00       -2.2143e-02        1.000         114.5
 49       1.7783e-01       9.1831e+00       -1.5566e-02        0.999         139.4
 50       1.0000e-01       9.1297e+00       -1.5727e-02        1.000         175.2

