File.......:  600eis 843h - OCT,17.2014

System.....:  
Potential..:  -0.001V
Current....:  -20.06uA
Temperature:  -0.9+-0.0C
Time.......:  18:50:09 - 18:52:33
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       6.5546e+00        2.5619e-02        1.000           0.0
   2      7.9606e+04       6.5846e+00       -2.2276e-02        1.000           1.1
   3      6.3371e+04       6.6179e+00       -6.6804e-02        1.000           1.5
   4      5.0448e+04       6.6481e+00       -1.0235e-01        1.000           1.9
   5      4.0159e+04       6.6811e+00       -1.2637e-01        1.000           2.4
   6      3.1969e+04       6.7087e+00       -1.5571e-01        1.000           2.8
   7      2.5450e+04       6.7393e+00       -1.7806e-01        1.000           3.3
   8      2.0259e+04       6.7692e+00       -2.0147e-01        1.000           3.7
   9      1.6128e+04       6.8021e+00       -2.1626e-01        1.000           4.1
  10      1.2839e+04       6.8347e+00       -2.4264e-01        1.000           4.6
  11      1.0220e+04       6.8706e+00       -2.6909e-01        1.000           5.0
  12      8.1360e+03       6.9094e+00       -2.9589e-01        1.000           5.4
  13      6.4768e+03       6.9531e+00       -3.2226e-01        1.000           5.9
  14      5.1559e+03       6.9998e+00       -3.4542e-01        1.000           6.3
  15      4.1044e+03       7.0507e+00       -3.7760e-01        1.000           6.8
  16      3.2674e+03       7.1080e+00       -4.0902e-01        1.000           7.2
  17      2.6010e+03       7.1652e+00       -4.3538e-01        1.000           7.6
  18      2.0706e+03       7.2311e+00       -4.6761e-01        1.000           8.1
  19      1.6483e+03       7.3042e+00       -4.9649e-01        1.000           8.5
  20      1.3122e+03       7.3726e+00       -5.2530e-01        1.000           8.9
  21      1.0446e+03       7.4538e+00       -5.4986e-01        1.000           9.4
  22      8.3153e+02       7.5366e+00       -5.8017e-01        1.000           9.8
  23      6.6195e+02       7.6273e+00       -6.1162e-01        1.000          10.2
  24      5.2695e+02       7.7172e+00       -6.3261e-01        1.000          10.7
  25      4.1949e+02       7.8142e+00       -6.5745e-01        1.000          11.1
  26      3.3394e+02       7.9201e+00       -6.7774e-01        1.000          11.6
  27      2.6584e+02       8.0264e+00       -6.9534e-01        1.000          12.0
  28      2.1162e+02       8.1408e+00       -7.0446e-01        1.000          12.4
  29      1.6846e+02       8.2559e+00       -7.1192e-01        1.000          12.9
  30      1.3411e+02       8.3725e+00       -7.0503e-01        1.000          13.3
  31      1.0676e+02       8.4880e+00       -6.9492e-01        1.000          13.7
  32      8.4986e+01       8.6018e+00       -6.7432e-01        1.000          14.2
  33      6.7654e+01       8.7097e+00       -6.4759e-01        1.000          14.7
  34      5.3524e+01       8.7977e+00       -6.0951e-01        1.000          16.0
  35      4.1896e+01       8.8898e+00       -5.5833e-01        1.000          17.6
  36      3.2409e+01       8.9734e+00       -5.0531e-01        1.000          18.7
  37      2.4746e+01       9.0426e+00       -4.4588e-01        1.000          19.9
  38      1.8624e+01       9.1024e+00       -3.8314e-01        1.000          21.2
  39      1.3792e+01       9.1477e+00       -3.2531e-01        1.000          22.7
  40      1.0031e+01       9.1819e+00       -2.6636e-01        1.000          24.3
  41      7.1499e+00       9.2028e+00       -2.1119e-01        1.000          26.1
  42      4.9825e+00       9.2173e+00       -1.6139e-01        1.000          28.3
  43      3.3858e+00       9.2214e+00       -1.2264e-01        1.000          31.0
  44      2.2374e+00       9.2220e+00       -9.0072e-02        1.000          34.4
  45      1.4343e+00       9.2293e+00       -6.1587e-02        1.000          39.9
  46      8.9031e-01       9.2567e+00       -4.1208e-02        1.000          46.7
  47      5.3506e-01       9.3255e+00       -2.9367e-02        1.000          56.6
  48      3.1211e-01       9.4550e+00       -1.9206e-02        1.000          71.6
  49      1.7783e-01       9.3130e+00       -7.8216e-03        0.999          96.0
  50      1.0000e-01       9.2885e+00       -1.1011e-02        1.000         132.0

