File.......:  600eis2 - SEP,12.2014

System.....:  
Potential..:  0.000V
Current....:  -8.8057uA
Temperature:  -1.0+-0.0C
Time.......:  15:38:54 - 15:41:22
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       2.0000e+05       5.9638e+00        3.7176e-01        1.000           0.0
  2       1.5917e+05       5.9827e+00        2.5503e-01        1.000           1.4
  3       1.2668e+05       5.9905e+00        1.6770e-01        0.999           1.9
  4       1.0082e+05       6.0154e+00        9.5730e-02        1.000           2.3
  5       8.0237e+04       6.0386e+00        3.4781e-02        1.000           2.8
  6       6.3857e+04       6.0615e+00       -8.2960e-03        1.000           3.2
  7       5.0821e+04       6.0856e+00       -5.2038e-02        1.000           3.6
  8       4.0447e+04       6.1097e+00       -8.1145e-02        1.000           4.1
  9       3.2190e+04       6.1344e+00       -1.0849e-01        1.000           4.5
 10       2.5619e+04       6.1578e+00       -1.4016e-01        1.000           5.0
 11       2.0389e+04       6.1854e+00       -1.6427e-01        1.000           5.4
 12       1.6227e+04       6.2184e+00       -1.8802e-01        1.000           5.9
 13       1.2914e+04       6.2484e+00       -2.0828e-01        1.000           6.3
 14       1.0278e+04       6.2854e+00       -2.3052e-01        1.000           6.7
 15       8.1797e+03       6.3197e+00       -2.5237e-01        1.000           7.2
 16       6.5099e+03       6.3602e+00       -2.7374e-01        1.000           7.6
 17       5.1809e+03       6.4033e+00       -2.9542e-01        1.000           8.1
 18       4.1233e+03       6.4484e+00       -3.1726e-01        1.000           8.5
 19       3.2816e+03       6.4992e+00       -3.3890e-01        1.000           9.0
 20       2.6117e+03       6.5515e+00       -3.6047e-01        1.000           9.4
 21       2.0785e+03       6.6069e+00       -3.8125e-01        1.000           9.9
 22       1.6542e+03       6.6658e+00       -4.0222e-01        1.000          10.3
 23       1.3165e+03       6.7324e+00       -4.2367e-01        1.000          10.7
 24       1.0478e+03       6.7992e+00       -4.4285e-01        1.000          11.2
 25       8.3387e+02       6.8816e+00       -4.6456e-01        1.000          11.9
 26       6.6364e+02       6.9589e+00       -4.8167e-01        1.000          12.5
 27       5.2816e+02       7.0397e+00       -4.9588e-01        1.000          13.0
 28       4.2034e+02       7.1266e+00       -5.0796e-01        1.000          13.4
 29       3.3453e+02       7.2142e+00       -5.1213e-01        1.000          13.9
 30       2.6624e+02       7.3060e+00       -5.0992e-01        1.000          14.3
 31       2.1189e+02       7.3977e+00       -4.9915e-01        1.000          14.8
 32       1.6864e+02       7.4878e+00       -4.8071e-01        1.000          15.2
 33       1.3421e+02       7.5726e+00       -4.5460e-01        1.000          15.6
 34       1.0681e+02       7.6505e+00       -4.2079e-01        1.000          16.1
 35       8.5008e+01       7.7220e+00       -3.8080e-01        1.000          16.6
 36       6.7654e+01       7.7807e+00       -3.3942e-01        1.000          17.1
 37       5.3524e+01       7.8459e+00       -3.0003e-01        1.000          19.0
 38       4.1896e+01       7.8928e+00       -2.5329e-01        1.000          20.6
 39       3.2409e+01       7.9337e+00       -2.1083e-01        1.000          21.8
 40       2.4746e+01       7.9714e+00       -1.7287e-01        1.000          23.6
 41       1.8624e+01       7.9985e+00       -1.3636e-01        1.000          25.0
 42       1.3792e+01       8.0218e+00       -1.1031e-01        1.000          26.4
 43       1.0031e+01       8.0449e+00       -8.3941e-02        1.000          28.1
 44       7.1499e+00       8.0660e+00       -6.1336e-02        1.000          29.9
 45       4.9825e+00       8.0908e+00       -4.4637e-02        1.000          32.2
 46       3.3858e+00       8.1127e+00       -3.3558e-02        1.000          34.9
 47       2.2374e+00       8.1339e+00       -2.5421e-02        1.000          38.3
 48       1.4343e+00       8.1482e+00       -1.5985e-02        1.000          43.7
 49       8.9031e-01       8.1325e+00       -8.6979e-03        1.000          50.6
 50       5.3506e-01       8.0400e+00       -5.2850e-03        1.000          60.5
 51       3.1211e-01       7.9322e+00       -4.5515e-03        1.000          75.5
 52       1.7783e-01       8.0346e+00       -6.6784e-03        1.000         100.0
 53       1.0000e-01       8.0401e+00        3.7214e-03        0.999         135.9

