File.......:  600eis 1049h - FEB,06.2015

System.....:  
Potential..:  0.000V
Current....:  -6.7221uA
Temperature:  -0.7+-0.1C
Time.......:  16:43:08 - 16:45:34
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       2.0000e+05       5.1408e+00        2.4741e-01        1.000           0.0
  2       1.5917e+05       5.1935e+00        1.4091e-01        0.999           1.4
  3       1.2668e+05       5.1999e+00        4.0763e-02        1.000           1.9
  4       1.0082e+05       5.2609e+00       -4.5154e-02        0.998           2.3
  5       8.0237e+04       5.2966e+00       -1.3716e-01        0.999           2.7
  6       6.3857e+04       5.3181e+00       -1.9029e-01        0.999           3.2
  7       5.0821e+04       5.3800e+00       -2.6622e-01        0.998           3.6
  8       4.0447e+04       5.4251e+00       -3.4566e-01        0.999           4.0
  9       3.2190e+04       5.4786e+00       -4.0551e-01        0.998           4.5
 10       2.5619e+04       5.5573e+00       -4.3759e-01        0.999           4.9
 11       2.0389e+04       5.6415e+00       -5.0718e-01        1.000           5.3
 12       1.6227e+04       5.6951e+00       -5.3292e-01        0.999           5.8
 13       1.2914e+04       5.7843e+00       -5.8582e-01        0.999           6.2
 14       1.0278e+04       5.8818e+00       -6.5087e-01        1.000           6.6
 15       8.1797e+03       5.9800e+00       -7.0085e-01        1.000           7.1
 16       6.5099e+03       6.0804e+00       -7.4748e-01        1.000           7.5
 17       5.1809e+03       6.2036e+00       -8.0618e-01        0.999           7.9
 18       4.1233e+03       6.3124e+00       -8.6315e-01        0.999           8.4
 19       3.2816e+03       6.4453e+00       -9.2003e-01        1.000           8.8
 20       2.6117e+03       6.5844e+00       -9.7032e-01        1.000           9.2
 21       2.0785e+03       6.7264e+00       -1.0237e+00        1.000           9.7
 22       1.6542e+03       6.8894e+00       -1.0624e+00        1.000          10.3
 23       1.3165e+03       7.0538e+00       -1.1274e+00        1.000          11.0
 24       1.0478e+03       7.2168e+00       -1.1613e+00        1.000          11.5
 25       8.3387e+02       7.4011e+00       -1.2308e+00        1.000          11.9
 26       6.6364e+02       7.5788e+00       -1.2788e+00        1.000          12.3
 27       5.2816e+02       7.7669e+00       -1.3167e+00        0.999          12.8
 28       4.2034e+02       7.9643e+00       -1.3596e+00        0.999          13.2
 29       3.3453e+02       8.1611e+00       -1.4025e+00        1.000          13.6
 30       2.6624e+02       8.3719e+00       -1.4548e+00        0.999          14.1
 31       2.1189e+02       8.5750e+00       -1.5073e+00        0.999          14.5
 32       1.6864e+02       8.8104e+00       -1.5662e+00        0.999          14.9
 33       1.3421e+02       9.0403e+00       -1.6023e+00        0.999          15.3
 34       1.0681e+02       9.2761e+00       -1.6582e+00        1.000          15.8
 35       8.5008e+01       9.5112e+00       -1.7037e+00        1.000          16.3
 36       6.7654e+01       9.7714e+00       -1.7643e+00        0.999          16.7
 37       5.3524e+01       9.9894e+00       -1.8618e+00        0.999          18.0
 38       4.1896e+01       1.0303e+01       -1.8717e+00        1.000          19.6
 39       3.2409e+01       1.0637e+01       -1.9306e+00        1.000          20.7
 40       2.4746e+01       1.0975e+01       -1.9910e+00        0.999          21.9
 41       1.8624e+01       1.1343e+01       -2.0333e+00        1.000          23.2
 42       1.3792e+01       1.1745e+01       -2.0747e+00        1.000          24.7
 43       1.0031e+01       1.2189e+01       -2.0805e+00        1.000          26.3
 44       7.1499e+00       1.2668e+01       -2.0314e+00        1.000          28.1
 45       4.9825e+00       1.3166e+01       -1.9189e+00        1.000          30.3
 46       3.3858e+00       1.3647e+01       -1.7181e+00        1.000          33.0
 47       2.2374e+00       1.4070e+01       -1.4292e+00        1.000          36.4
 48       1.4343e+00       1.4374e+01       -1.0769e+00        1.000          41.8
 49       8.9031e-01       1.4560e+01       -7.4431e-01        1.000          48.7
 50       5.3506e-01       1.4723e+01       -4.8821e-01        1.000          58.6
 51       3.1211e-01       1.5070e+01       -3.1458e-01        1.000          73.6
 52       1.7783e-01       1.5268e+01       -1.8348e-01        0.999          98.0
 53       1.0000e-01       1.4755e+01       -1.0885e-01        1.000         133.9

