File.......:  600eis 1240h - FEB,14.2015

System.....:  
Potential..:  0.000V
Current....:  -12.363uA
Temperature:  0.6+-0.2C
Time.......:  17:40:39 - 17:43:04
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       2.0000e+05       5.1284e+00        1.3129e-01        0.999           0.0
  2       1.5917e+05       5.1322e+00        6.7486e-02        1.000           1.4
  3       1.2668e+05       5.1869e+00       -3.8159e-02        0.999           1.9
  4       1.0082e+05       5.2045e+00       -1.1455e-01        0.999           2.3
  5       8.0237e+04       5.2302e+00       -1.4792e-01        0.999           2.7
  6       6.3857e+04       5.2913e+00       -2.2869e-01        0.999           3.2
  7       5.0821e+04       5.3245e+00       -2.9099e-01        1.000           3.6
  8       4.0447e+04       5.3893e+00       -3.2043e-01        0.999           4.0
  9       3.2190e+04       5.4566e+00       -3.8771e-01        0.997           4.5
 10       2.5619e+04       5.5056e+00       -4.4367e-01        1.000           4.9
 11       2.0389e+04       5.5689e+00       -4.9325e-01        0.999           5.3
 12       1.6227e+04       5.6485e+00       -5.3971e-01        1.000           5.8
 13       1.2914e+04       5.7305e+00       -5.8998e-01        1.000           6.2
 14       1.0278e+04       5.8182e+00       -6.4447e-01        0.999           6.6
 15       8.1797e+03       5.9014e+00       -6.9482e-01        0.999           7.1
 16       6.5099e+03       6.0084e+00       -7.4677e-01        1.000           7.5
 17       5.1809e+03       6.1183e+00       -8.0254e-01        1.000           7.9
 18       4.1233e+03       6.2361e+00       -8.5650e-01        1.000           8.4
 19       3.2816e+03       6.3649e+00       -9.0773e-01        1.000           8.8
 20       2.6117e+03       6.5025e+00       -9.6524e-01        1.000           9.2
 21       2.0785e+03       6.6460e+00       -1.0209e+00        1.000           9.7
 22       1.6542e+03       6.8060e+00       -1.0791e+00        1.000          10.3
 23       1.3165e+03       6.9654e+00       -1.1224e+00        1.000          11.0
 24       1.0478e+03       7.1217e+00       -1.1765e+00        0.999          11.5
 25       8.3387e+02       7.2979e+00       -1.2282e+00        1.000          11.9
 26       6.6364e+02       7.4882e+00       -1.2686e+00        1.000          12.3
 27       5.2816e+02       7.6673e+00       -1.3149e+00        1.000          12.8
 28       4.2034e+02       7.8572e+00       -1.3537e+00        1.000          13.2
 29       3.3453e+02       8.0639e+00       -1.3966e+00        1.000          13.6
 30       2.6624e+02       8.2541e+00       -1.4481e+00        0.999          14.0
 31       2.1189e+02       8.4494e+00       -1.4899e+00        1.000          14.5
 32       1.6864e+02       8.6748e+00       -1.5458e+00        0.999          14.9
 33       1.3421e+02       8.8871e+00       -1.5928e+00        1.000          15.3
 34       1.0681e+02       9.1143e+00       -1.6487e+00        1.000          15.7
 35       8.5008e+01       9.3501e+00       -1.7034e+00        1.000          16.2
 36       6.7654e+01       9.5871e+00       -1.7680e+00        1.000          16.7
 37       5.3524e+01       9.8214e+00       -1.8257e+00        1.000          17.9
 38       4.1896e+01       1.0092e+01       -1.8869e+00        1.000          19.5
 39       3.2409e+01       1.0381e+01       -1.9548e+00        1.000          20.6
 40       2.4746e+01       1.0704e+01       -2.0264e+00        1.000          21.8
 41       1.8624e+01       1.1071e+01       -2.0968e+00        1.000          23.1
 42       1.3792e+01       1.1481e+01       -2.1707e+00        1.000          24.6
 43       1.0031e+01       1.1948e+01       -2.2243e+00        1.000          26.2
 44       7.1499e+00       1.2480e+01       -2.2415e+00        1.000          28.0
 45       4.9825e+00       1.3065e+01       -2.1954e+00        1.000          30.2
 46       3.3858e+00       1.3667e+01       -2.0522e+00        1.000          32.9
 47       2.2374e+00       1.4246e+01       -1.7862e+00        1.000          36.3
 48       1.4343e+00       1.4732e+01       -1.4131e+00        1.000          41.7
 49       8.9031e-01       1.5103e+01       -1.0207e+00        1.000          48.5
 50       5.3506e-01       1.5567e+01       -7.0542e-01        1.000          58.4
 51       3.1211e-01       1.5953e+01       -4.5600e-01        1.000          73.4
 52       1.7783e-01       1.5846e+01       -2.5328e-01        0.999          97.9
 53       1.0000e-01       1.5753e+01       -1.6705e-01        1.000         133.8

