File.......:  600eis 25h - DEC,25.2014

System.....:  
Potential..:  0.000V
Current....:  -32.694uA
Temperature:  -0.8+-0.1C
Time.......:  20:40:43 - 20:43:08
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.3316e+00        3.8021e-01        1.000           0.0
   2      1.5917e+05       4.3632e+00        2.8027e-01        0.998           1.3
   3      1.2668e+05       4.3783e+00        1.3335e-01        1.000           1.7
   4      1.0082e+05       4.4166e+00        2.9112e-02        1.000           2.1
   5      8.0237e+04       4.4549e+00       -5.6397e-02        1.000           2.5
   6      6.3857e+04       4.5052e+00       -1.1838e-01        0.998           3.0
   7      5.0821e+04       4.5416e+00       -2.0159e-01        1.000           3.4
   8      4.0447e+04       4.6073e+00       -2.7210e-01        0.999           3.8
   9      3.2190e+04       4.6410e+00       -3.2496e-01        0.998           4.2
  10      2.5619e+04       4.7195e+00       -3.6730e-01        0.999           4.7
  11      2.0389e+04       4.7837e+00       -4.2823e-01        1.000           5.1
  12      1.6227e+04       4.8539e+00       -4.7004e-01        1.000           5.5
  13      1.2914e+04       4.9456e+00       -5.3966e-01        0.999           6.0
  14      1.0278e+04       5.0375e+00       -5.7536e-01        0.999           6.4
  15      8.1797e+03       5.1301e+00       -6.0843e-01        0.999           6.8
  16      6.5099e+03       5.2163e+00       -6.5545e-01        0.999           7.3
  17      5.1809e+03       5.3254e+00       -7.0772e-01        1.000           7.7
  18      4.1233e+03       5.4404e+00       -7.4854e-01        0.999           8.1
  19      3.2816e+03       5.5598e+00       -7.9327e-01        1.000           8.6
  20      2.6117e+03       5.6885e+00       -8.3021e-01        1.000           9.0
  21      2.0785e+03       5.8167e+00       -8.7132e-01        1.000           9.4
  22      1.6542e+03       5.9455e+00       -9.0049e-01        1.000           9.8
  23      1.3165e+03       6.0952e+00       -9.3569e-01        1.000          10.3
  24      1.0478e+03       6.2540e+00       -9.6124e-01        1.000          10.7
  25      8.3387e+02       6.3880e+00       -9.9545e-01        1.000          11.1
  26      6.6364e+02       6.5434e+00       -1.0202e+00        1.000          11.5
  27      5.2816e+02       6.7067e+00       -1.0477e+00        1.000          12.0
  28      4.2034e+02       6.8801e+00       -1.0694e+00        0.999          12.6
  29      3.3453e+02       7.0456e+00       -1.0881e+00        1.000          13.3
  30      2.6624e+02       7.2199e+00       -1.0990e+00        1.000          13.7
  31      2.1189e+02       7.3976e+00       -1.1094e+00        1.000          14.2
  32      1.6864e+02       7.5704e+00       -1.1062e+00        1.000          14.6
  33      1.3421e+02       7.7530e+00       -1.1062e+00        1.000          15.0
  34      1.0681e+02       7.9351e+00       -1.0923e+00        1.000          15.5
  35      8.5008e+01       8.1169e+00       -1.0689e+00        1.000          15.9
  36      6.7654e+01       8.2913e+00       -1.0374e+00        1.000          16.4
  37      5.3524e+01       8.4585e+00       -9.9160e-01        1.000          17.7
  38      4.1896e+01       8.6424e+00       -9.2348e-01        1.000          19.3
  39      3.2409e+01       8.8076e+00       -8.4983e-01        1.000          20.4
  40      2.4746e+01       8.9581e+00       -7.6063e-01        1.000          21.6
  41      1.8624e+01       9.0883e+00       -6.5932e-01        1.000          22.9
  42      1.3792e+01       9.1933e+00       -5.5856e-01        1.000          24.3
  43      1.0031e+01       9.2736e+00       -4.5392e-01        1.000          25.9
  44      7.1499e+00       9.3266e+00       -3.5256e-01        1.000          27.8
  45      4.9825e+00       9.3479e+00       -2.6317e-01        1.000          30.0
  46      3.3858e+00       9.3377e+00       -1.9007e-01        1.000          32.7
  47      2.2374e+00       9.3034e+00       -1.3204e-01        1.000          36.1
  48      1.4343e+00       9.2467e+00       -8.4742e-02        1.000          41.5
  49      8.9031e-01       9.1670e+00       -5.2612e-02        1.000          48.3
  50      5.3506e-01       9.1281e+00       -3.2960e-02        1.000          58.2
  51      3.1211e-01       9.3043e+00       -2.4311e-02        1.000          73.2
  52      1.7783e-01       9.5306e+00       -1.2604e-02        1.000          97.7
  53      1.0000e-01       9.2856e+00       -1.2272e-02        1.000         133.5

