File.......:  600eis 358h - JAN,08.2015

System.....:  
Potential..:  0.000V
Current....:  -711.48nA
Temperature:  -0.7+-0.1C
Time.......:  19:33:30 - 19:35:57
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.7447e+00        3.4624e-01        0.999           0.0
   2      1.5917e+05       4.7670e+00        2.1189e-01        0.999           1.0
   3      1.2668e+05       4.7883e+00        1.0385e-01        0.999           1.5
   4      1.0082e+05       4.8310e+00        2.9062e-03        0.999           1.9
   5      8.0237e+04       4.8666e+00       -8.1731e-02        0.999           2.3
   6      6.3857e+04       4.9136e+00       -1.5862e-01        0.999           2.8
   7      5.0821e+04       4.9707e+00       -2.3188e-01        0.999           3.2
   8      4.0447e+04       5.0186e+00       -2.8203e-01        0.999           3.6
   9      3.2190e+04       5.0747e+00       -3.4704e-01        0.999           4.1
  10      2.5619e+04       5.1530e+00       -4.0171e-01        0.999           4.5
  11      2.0389e+04       5.2193e+00       -4.6462e-01        0.999           4.9
  12      1.6227e+04       5.2968e+00       -4.9892e-01        1.000           5.4
  13      1.2914e+04       5.3695e+00       -5.5740e-01        0.999           5.8
  14      1.0278e+04       5.4661e+00       -6.1518e-01        0.999           6.2
  15      8.1797e+03       5.5629e+00       -6.6226e-01        0.999           6.7
  16      6.5099e+03       5.6737e+00       -7.0611e-01        0.999           7.1
  17      5.1809e+03       5.7844e+00       -7.5695e-01        1.000           7.5
  18      4.1233e+03       5.8977e+00       -8.1061e-01        0.999           8.0
  19      3.2816e+03       6.0249e+00       -8.5166e-01        1.000           8.4
  20      2.6117e+03       6.1552e+00       -8.9967e-01        1.000           8.8
  21      2.0785e+03       6.2960e+00       -9.4400e-01        0.999           9.3
  22      1.6542e+03       6.4342e+00       -9.9903e-01        1.000           9.7
  23      1.3165e+03       6.6032e+00       -1.0360e+00        1.000          10.2
  24      1.0478e+03       6.7781e+00       -1.0751e+00        1.000          10.6
  25      8.3387e+02       6.9255e+00       -1.1207e+00        1.000          11.0
  26      6.6364e+02       7.0975e+00       -1.1599e+00        1.000          11.4
  27      5.2816e+02       7.2750e+00       -1.1909e+00        1.000          11.9
  28      4.2034e+02       7.4605e+00       -1.2255e+00        1.000          12.3
  29      3.3453e+02       7.6513e+00       -1.2551e+00        1.000          12.8
  30      2.6624e+02       7.8414e+00       -1.2923e+00        1.000          13.2
  31      2.1189e+02       8.0444e+00       -1.3283e+00        1.000          13.6
  32      1.6864e+02       8.2435e+00       -1.3475e+00        1.000          14.0
  33      1.3421e+02       8.4546e+00       -1.3777e+00        1.000          14.5
  34      1.0681e+02       8.6740e+00       -1.4033e+00        1.000          14.9
  35      8.5008e+01       8.8930e+00       -1.4150e+00        1.000          15.4
  36      6.7654e+01       9.1128e+00       -1.4293e+00        1.000          15.9
  37      5.3524e+01       9.3735e+00       -1.4413e+00        0.999          17.1
  38      4.1896e+01       9.6231e+00       -1.4253e+00        1.000          18.7
  39      3.2409e+01       9.8953e+00       -1.4028e+00        1.000          19.8
  40      2.4746e+01       1.0176e+01       -1.3651e+00        1.000          21.0
  41      1.8624e+01       1.0462e+01       -1.2996e+00        1.000          22.3
  42      1.3792e+01       1.0745e+01       -1.2152e+00        1.000          23.9
  43      1.0031e+01       1.1020e+01       -1.0965e+00        1.000          25.5
  44      7.1499e+00       1.1258e+01       -9.4571e-01        1.000          27.4
  45      4.9825e+00       1.1475e+01       -7.8059e-01        1.000          29.6
  46      3.3858e+00       1.1612e+01       -6.0708e-01        1.000          32.8
  47      2.2374e+00       1.1687e+01       -4.4237e-01        1.000          36.7
  48      1.4343e+00       1.1674e+01       -2.9576e-01        1.000          42.1
  49      8.9031e-01       1.1548e+01       -1.8570e-01        1.000          50.9
  50      5.3506e-01       1.1423e+01       -1.1357e-01        1.000          60.8
  51      3.1211e-01       1.1432e+01       -7.0437e-02        1.000          75.8
  52      1.7783e-01       1.1785e+01       -4.8151e-02        1.000         100.2
  53      1.0000e-01       1.1516e+01       -2.4809e-02        0.999         136.1

