File.......:  600eis 882h - JAN,30.2015

System.....:  
Potential..:  -0.001V
Current....:  -18.968uA
Temperature:  -0.7+-0.1C
Time.......:  18:08:53 - 18:11:16
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.9545e+00        3.6756e-01        0.999           0.0
   2      1.5917e+05       4.9804e+00        2.2926e-01        0.999           1.0
   3      1.2668e+05       5.0108e+00        1.1862e-01        0.999           1.5
   4      1.0082e+05       5.0479e+00        1.3414e-02        0.999           1.9
   5      8.0237e+04       5.0835e+00       -7.3386e-02        0.999           2.3
   6      6.3857e+04       5.1265e+00       -1.5348e-01        0.999           2.7
   7      5.0821e+04       5.1742e+00       -2.2199e-01        0.999           3.2
   8      4.0447e+04       5.2241e+00       -2.8536e-01        0.999           3.6
   9      3.2190e+04       5.2875e+00       -3.4549e-01        0.999           4.0
  10      2.5619e+04       5.3573e+00       -4.0416e-01        1.000           4.4
  11      2.0389e+04       5.4284e+00       -4.6340e-01        1.000           4.8
  12      1.6227e+04       5.5027e+00       -5.1091e-01        1.000           5.3
  13      1.2914e+04       5.5855e+00       -5.5682e-01        1.000           5.7
  14      1.0278e+04       5.6703e+00       -6.1114e-01        1.000           6.1
  15      8.1797e+03       5.7668e+00       -6.7358e-01        1.000           6.5
  16      6.5099e+03       5.8688e+00       -7.2184e-01        1.000           7.0
  17      5.1809e+03       5.9815e+00       -7.7305e-01        1.000           7.4
  18      4.1233e+03       6.1078e+00       -8.2932e-01        0.999           7.8
  19      3.2816e+03       6.2282e+00       -8.8509e-01        1.000           8.2
  20      2.6117e+03       6.3649e+00       -9.3679e-01        1.000           8.7
  21      2.0785e+03       6.5118e+00       -9.8730e-01        0.999           9.1
  22      1.6542e+03       6.6649e+00       -1.0294e+00        0.999           9.5
  23      1.3165e+03       6.8241e+00       -1.0854e+00        0.999           9.9
  24      1.0478e+03       6.9820e+00       -1.1356e+00        0.999          10.4
  25      8.3387e+02       7.1609e+00       -1.1870e+00        0.999          10.8
  26      6.6364e+02       7.3478e+00       -1.2262e+00        0.999          11.2
  27      5.2816e+02       7.5305e+00       -1.2718e+00        0.999          11.6
  28      4.2034e+02       7.7191e+00       -1.3114e+00        1.000          12.1
  29      3.3453e+02       7.9136e+00       -1.3551e+00        0.999          12.5
  30      2.6624e+02       8.1213e+00       -1.4012e+00        0.999          12.9
  31      2.1189e+02       8.3301e+00       -1.4489e+00        0.999          13.3
  32      1.6864e+02       8.5549e+00       -1.4947e+00        0.999          13.7
  33      1.3421e+02       8.7698e+00       -1.5378e+00        0.999          14.2
  34      1.0681e+02       8.9980e+00       -1.5845e+00        0.999          14.6
  35      8.5008e+01       9.2442e+00       -1.6343e+00        0.999          15.1
  36      6.7654e+01       9.4914e+00       -1.6861e+00        0.999          15.5
  37      5.3524e+01       9.7843e+00       -1.7227e+00        0.999          16.8
  38      4.1896e+01       1.0063e+01       -1.8017e+00        0.999          18.4
  39      3.2409e+01       1.0381e+01       -1.8421e+00        0.999          19.5
  40      2.4746e+01       1.0733e+01       -1.8898e+00        0.999          20.7
  41      1.8624e+01       1.1119e+01       -1.9314e+00        0.999          22.0
  42      1.3792e+01       1.1542e+01       -1.9589e+00        0.999          23.4
  43      1.0031e+01       1.2008e+01       -1.9564e+00        0.999          25.0
  44      7.1499e+00       1.2514e+01       -1.9008e+00        1.000          26.8
  45      4.9825e+00       1.3032e+01       -1.7821e+00        1.000          29.1
  46      3.3858e+00       1.3525e+01       -1.5779e+00        1.000          31.8
  47      2.2374e+00       1.3937e+01       -1.2982e+00        1.000          35.2
  48      1.4343e+00       1.4207e+01       -9.6522e-01        1.000          40.6
  49      8.9031e-01       1.4266e+01       -6.4778e-01        1.000          47.4
  50      5.3506e-01       1.4196e+01       -4.0519e-01        1.000          57.3
  51      3.1211e-01       1.4169e+01       -2.4544e-01        1.000          72.3
  52      1.7783e-01       1.4560e+01       -1.5856e-01        0.999          96.7
  53      1.0000e-01       1.4216e+01       -7.7745e-02        1.000         132.6

