File.......:  600eis 930h - FEB,01.2015

System.....:  
Potential..:  -0.001V
Current....:  -20.543uA
Temperature:  -0.7+-0.1C
Time.......:  17:42:48 - 17:45:11
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.9721e+00        3.1070e-01        0.999           0.0
   2      1.5917e+05       4.9932e+00        1.8210e-01        0.999           1.0
   3      1.2668e+05       5.0199e+00        8.1761e-02        0.999           1.5
   4      1.0082e+05       5.0522e+00       -1.6636e-02        1.000           1.9
   5      8.0237e+04       5.0838e+00       -9.7355e-02        0.999           2.3
   6      6.3857e+04       5.1225e+00       -1.6999e-01        0.999           2.7
   7      5.0821e+04       5.1654e+00       -2.3711e-01        0.999           3.2
   8      4.0447e+04       5.2139e+00       -2.9736e-01        0.999           3.6
   9      3.2190e+04       5.2691e+00       -3.5412e-01        0.999           4.0
  10      2.5619e+04       5.3317e+00       -4.0952e-01        1.000           4.4
  11      2.0389e+04       5.3960e+00       -4.6160e-01        1.000           4.9
  12      1.6227e+04       5.4660e+00       -5.1239e-01        1.000           5.3
  13      1.2914e+04       5.5393e+00       -5.6214e-01        1.000           5.7
  14      1.0278e+04       5.6225e+00       -6.1227e-01        1.000           6.1
  15      8.1797e+03       5.7113e+00       -6.6445e-01        1.000           6.6
  16      6.5099e+03       5.8104e+00       -7.1581e-01        1.000           7.0
  17      5.1809e+03       5.9147e+00       -7.6783e-01        1.000           7.4
  18      4.1233e+03       6.0265e+00       -8.1998e-01        1.000           7.9
  19      3.2816e+03       6.1471e+00       -8.7351e-01        0.999           8.3
  20      2.6117e+03       6.2763e+00       -9.2478e-01        1.000           8.7
  21      2.0785e+03       6.4137e+00       -9.7474e-01        0.999           9.2
  22      1.6542e+03       6.5591e+00       -1.0235e+00        0.999           9.6
  23      1.3165e+03       6.7114e+00       -1.0707e+00        1.000          10.0
  24      1.0478e+03       6.8706e+00       -1.1164e+00        0.999          10.5
  25      8.3387e+02       7.0357e+00       -1.1621e+00        0.999          10.9
  26      6.6364e+02       7.2066e+00       -1.2053e+00        0.999          11.3
  27      5.2816e+02       7.3829e+00       -1.2472e+00        0.999          11.7
  28      4.2034e+02       7.5644e+00       -1.2879e+00        0.999          12.2
  29      3.3453e+02       7.7522e+00       -1.3294e+00        0.999          12.6
  30      2.6624e+02       7.9455e+00       -1.3716e+00        0.999          13.0
  31      2.1189e+02       8.1452e+00       -1.4150e+00        0.999          13.4
  32      1.6864e+02       8.3505e+00       -1.4585e+00        0.999          13.9
  33      1.3421e+02       8.5633e+00       -1.5038e+00        0.999          14.3
  34      1.0681e+02       8.7829e+00       -1.5497e+00        0.999          14.7
  35      8.5008e+01       9.0086e+00       -1.5959e+00        0.999          15.2
  36      6.7654e+01       9.2430e+00       -1.6444e+00        0.999          15.6
  37      5.3524e+01       9.4894e+00       -1.6919e+00        0.999          16.9
  38      4.1896e+01       9.7609e+00       -1.7372e+00        0.999          18.5
  39      3.2409e+01       1.0058e+01       -1.7833e+00        0.999          19.6
  40      2.4746e+01       1.0386e+01       -1.8277e+00        1.000          20.8
  41      1.8624e+01       1.0751e+01       -1.8607e+00        0.999          22.1
  42      1.3792e+01       1.1151e+01       -1.8859e+00        0.999          23.5
  43      1.0031e+01       1.1597e+01       -1.8802e+00        1.000          25.1
  44      7.1499e+00       1.2083e+01       -1.8238e+00        1.000          27.0
  45      4.9825e+00       1.2602e+01       -1.7108e+00        1.000          29.2
  46      3.3858e+00       1.3110e+01       -1.5200e+00        1.000          31.9
  47      2.2374e+00       1.3566e+01       -1.2578e+00        1.000          35.3
  48      1.4343e+00       1.3960e+01       -9.5429e-01        1.000          40.7
  49      8.9031e-01       1.4297e+01       -6.7539e-01        1.000          47.5
  50      5.3506e-01       1.4561e+01       -4.4645e-01        0.999          57.4
  51      3.1211e-01       1.4506e+01       -2.6360e-01        1.000          72.4
  52      1.7783e-01       1.4120e+01       -1.4578e-01        1.000          96.9
  53      1.0000e-01       1.4535e+01       -9.9086e-02        0.999         132.8

