File.......:  620eis 0h - DEC,24.2014

System.....:  
Potential..:  0.000V
Current....:  -6.8309uA
Temperature:  -0.7+-0.1C
Time.......:  20:09:15 - 20:11:40
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       2.0000e+05       4.7873e+00        2.2930e-01        1.000           0.0
  2       1.5917e+05       4.8008e+00        1.1864e-01        1.000           1.4
  3       1.2668e+05       4.8301e+00        2.2829e-02        1.000           1.9
  4       1.0082e+05       4.8554e+00       -5.3965e-02        1.000           2.3
  5       8.0237e+04       4.8899e+00       -1.2364e-01        1.000           2.7
  6       6.3857e+04       4.9281e+00       -1.8534e-01        1.000           3.1
  7       5.0821e+04       4.9714e+00       -2.5328e-01        1.000           3.6
  8       4.0447e+04       5.0165e+00       -3.0506e-01        1.000           4.0
  9       3.2190e+04       5.0722e+00       -3.5238e-01        1.000           4.4
 10       2.5619e+04       5.1273e+00       -4.0380e-01        1.000           4.9
 11       2.0389e+04       5.1944e+00       -4.5141e-01        1.000           5.3
 12       1.6227e+04       5.2676e+00       -4.9400e-01        1.000           5.7
 13       1.2914e+04       5.3430e+00       -5.3438e-01        1.000           6.2
 14       1.0278e+04       5.4256e+00       -5.7747e-01        1.000           6.6
 15       8.1797e+03       5.5075e+00       -6.1302e-01        1.000           7.0
 16       6.5099e+03       5.6022e+00       -6.4919e-01        1.000           7.4
 17       5.1809e+03       5.6957e+00       -6.8145e-01        1.000           7.9
 18       4.1233e+03       5.7969e+00       -7.1396e-01        1.000           8.3
 19       3.2816e+03       5.8997e+00       -7.4190e-01        1.000           8.7
 20       2.6117e+03       6.0052e+00       -7.6963e-01        1.000           9.1
 21       2.0785e+03       6.1132e+00       -7.9496e-01        1.000           9.6
 22       1.6542e+03       6.2227e+00       -8.2346e-01        1.000          10.0
 23       1.3165e+03       6.3390e+00       -8.4749e-01        1.000          10.4
 24       1.0478e+03       6.4602e+00       -8.7349e-01        1.000          10.9
 25       8.3387e+02       6.5849e+00       -8.9990e-01        1.000          11.3
 26       6.6364e+02       6.7130e+00       -9.2707e-01        1.000          11.8
 27       5.2816e+02       6.8429e+00       -9.5157e-01        1.000          12.4
 28       4.2034e+02       6.9783e+00       -9.7719e-01        1.000          13.1
 29       3.3453e+02       7.1178e+00       -1.0038e+00        1.000          13.5
 30       2.6624e+02       7.2625e+00       -1.0309e+00        0.999          14.0
 31       2.1189e+02       7.4139e+00       -1.0550e+00        0.999          14.4
 32       1.6864e+02       7.5723e+00       -1.0784e+00        0.999          14.8
 33       1.3421e+02       7.7340e+00       -1.0986e+00        0.999          15.2
 34       1.0681e+02       7.9028e+00       -1.1133e+00        0.999          15.7
 35       8.5008e+01       8.0775e+00       -1.1183e+00        0.999          16.2
 36       6.7654e+01       8.2594e+00       -1.1199e+00        0.999          16.6
 37       5.3524e+01       8.4186e+00       -1.0946e+00        0.999          17.9
 38       4.1896e+01       8.6049e+00       -1.0559e+00        0.999          19.5
 39       3.2409e+01       8.7959e+00       -1.0018e+00        0.999          20.6
 40       2.4746e+01       8.9793e+00       -9.2072e-01        0.999          21.8
 41       1.8624e+01       9.1634e+00       -8.2217e-01        0.999          23.1
 42       1.3792e+01       9.3223e+00       -7.0715e-01        0.999          24.5
 43       1.0031e+01       9.4555e+00       -5.8029e-01        0.999          26.1
 44       7.1499e+00       9.5514e+00       -4.4915e-01        0.999          27.9
 45       4.9825e+00       9.6204e+00       -3.3383e-01        0.999          30.2
 46       3.3858e+00       9.6750e+00       -2.4077e-01        0.999          32.9
 47       2.2374e+00       9.7144e+00       -1.6603e-01        0.999          36.3
 48       1.4343e+00       9.7581e+00       -1.0895e-01        0.999          41.7
 49       8.9031e-01       9.8332e+00       -7.0441e-02        0.999          48.5
 50       5.3506e-01       9.9924e+00       -4.6982e-02        0.999          58.4
 51       3.1211e-01       1.0168e+01       -2.8769e-02        0.999          73.4
 52       1.7783e-01       9.7264e+00       -1.1193e-02        0.999          97.8
 53       1.0000e-01       9.9508e+00       -8.3542e-03        1.000         133.7

