File.......:  600eis 1001h - FEB,04.2015

System.....:  
Potential..:  0.000V
Current....:  -369.46nA
Temperature:  -0.7+-0.0C
Time.......:  17:16:08 - 17:18:34
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       2.0000e+05       5.3541e+00        2.1760e-01        1.000           0.0
  2       1.5917e+05       5.3667e+00        1.0268e-01        0.999           1.5
  3       1.2668e+05       5.3961e+00       -7.2615e-04        1.000           1.9
  4       1.0082e+05       5.4344e+00       -8.2390e-02        1.000           2.3
  5       8.0237e+04       5.4695e+00       -1.6025e-01        0.999           2.8
  6       6.3857e+04       5.5121e+00       -2.3293e-01        1.000           3.2
  7       5.0821e+04       5.5682e+00       -2.9839e-01        1.000           3.6
  8       4.0447e+04       5.6241e+00       -3.5961e-01        1.000           4.0
  9       3.2190e+04       5.6904e+00       -4.0954e-01        0.999           4.5
 10       2.5619e+04       5.7603e+00       -4.7085e-01        1.000           5.0
 11       2.0389e+04       5.8447e+00       -5.3326e-01        0.999           5.4
 12       1.6227e+04       5.9215e+00       -5.7993e-01        0.999           5.8
 13       1.2914e+04       6.0209e+00       -6.3011e-01        1.000           6.3
 14       1.0278e+04       6.1231e+00       -6.7590e-01        1.000           6.7
 15       8.1797e+03       6.2248e+00       -7.2109e-01        1.000           7.1
 16       6.5099e+03       6.3340e+00       -7.6175e-01        1.000           7.6
 17       5.1809e+03       6.4553e+00       -8.0057e-01        1.000           8.0
 18       4.1233e+03       6.5759e+00       -8.3852e-01        1.000           8.5
 19       3.2816e+03       6.7060e+00       -8.7617e-01        1.000           9.2
 20       2.6117e+03       6.8356e+00       -9.1080e-01        1.000           9.9
 21       2.0785e+03       6.9708e+00       -9.4717e-01        1.000          10.3
 22       1.6542e+03       7.1050e+00       -9.8735e-01        1.000          10.7
 23       1.3165e+03       7.2491e+00       -1.0200e+00        1.000          11.2
 24       1.0478e+03       7.3999e+00       -1.0645e+00        1.000          11.6
 25       8.3387e+02       7.5469e+00       -1.1009e+00        1.000          12.2
 26       6.6364e+02       7.7034e+00       -1.1369e+00        1.000          12.6
 27       5.2816e+02       7.8651e+00       -1.1822e+00        1.000          13.0
 28       4.2034e+02       8.0343e+00       -1.2243e+00        0.999          13.5
 29       3.3453e+02       8.2056e+00       -1.2725e+00        1.000          13.9
 30       2.6624e+02       8.3813e+00       -1.3209e+00        0.999          14.4
 31       2.1189e+02       8.5646e+00       -1.3744e+00        0.999          14.8
 32       1.6864e+02       8.7604e+00       -1.4320e+00        0.999          15.2
 33       1.3421e+02       8.9609e+00       -1.4916e+00        0.999          15.6
 34       1.0681e+02       9.1687e+00       -1.5586e+00        0.999          16.1
 35       8.5008e+01       9.3898e+00       -1.6264e+00        0.999          16.5
 36       6.7654e+01       9.6166e+00       -1.7066e+00        0.999          17.1
 37       5.3524e+01       9.8497e+00       -1.7866e+00        0.999          18.4
 38       4.1896e+01       1.0121e+01       -1.8726e+00        0.999          20.0
 39       3.2409e+01       1.0423e+01       -1.9695e+00        0.999          21.1
 40       2.4746e+01       1.0762e+01       -2.0718e+00        0.999          22.3
 41       1.8624e+01       1.1151e+01       -2.1711e+00        0.999          23.6
 42       1.3792e+01       1.1598e+01       -2.2732e+00        0.999          25.1
 43       1.0031e+01       1.2109e+01       -2.3388e+00        0.999          26.7
 44       7.1499e+00       1.2691e+01       -2.3464e+00        0.999          28.5
 45       4.9825e+00       1.3327e+01       -2.2636e+00        0.999          30.7
 46       3.3858e+00       1.3972e+01       -2.0549e+00        0.999          33.4
 47       2.2374e+00       1.4560e+01       -1.7165e+00        0.999          36.9
 48       1.4343e+00       1.5016e+01       -1.2969e+00        0.999          42.3
 49       8.9031e-01       1.5344e+01       -9.0168e-01        1.000          49.1
 50       5.3506e-01       1.5636e+01       -5.9549e-01        1.000          59.1
 51       3.1211e-01       1.5951e+01       -3.7760e-01        1.000          74.1
 52       1.7783e-01       1.5719e+01       -2.0284e-01        0.999          98.5
 53       1.0000e-01       1.5716e+01       -1.3395e-01        1.000         134.4

