File.......:  600eis 496h - JAN,14.2015

System.....:  
Potential..:  0.000V
Current....:  2.0431uA
Temperature:  -0.8+-0.0C
Time.......:  14:33:16 - 14:35:41
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       5.1349e+00        3.5531e-01        1.000           0.0
   2      1.5917e+05       5.1624e+00        2.1784e-01        0.999           1.0
   3      1.2668e+05       5.1803e+00        9.0718e-02        1.000           1.5
   4      1.0082e+05       5.2219e+00       -9.4470e-03        1.000           1.9
   5      8.0237e+04       5.2668e+00       -9.8189e-02        1.000           2.3
   6      6.3857e+04       5.3108e+00       -1.8296e-01        1.000           2.7
   7      5.0821e+04       5.3609e+00       -2.5771e-01        1.000           3.1
   8      4.0447e+04       5.4234e+00       -3.2543e-01        1.000           3.5
   9      3.2190e+04       5.4850e+00       -3.9143e-01        0.999           4.0
  10      2.5619e+04       5.5563e+00       -4.4570e-01        1.000           4.4
  11      2.0389e+04       5.6158e+00       -5.1131e-01        1.000           5.1
  12      1.6227e+04       5.6989e+00       -5.6742e-01        1.000           5.7
  13      1.2914e+04       5.7874e+00       -6.1059e-01        0.999           6.2
  14      1.0278e+04       5.8910e+00       -6.5222e-01        1.000           6.6
  15      8.1797e+03       5.9950e+00       -6.9712e-01        1.000           7.0
  16      6.5099e+03       6.1055e+00       -7.2979e-01        1.000           7.5
  17      5.1809e+03       6.2154e+00       -7.6983e-01        0.999           7.9
  18      4.1233e+03       6.3232e+00       -8.0154e-01        0.999           8.3
  19      3.2816e+03       6.4352e+00       -8.3041e-01        1.000           8.7
  20      2.6117e+03       6.5543e+00       -8.6124e-01        1.000           9.2
  21      2.0785e+03       6.6760e+00       -8.9200e-01        1.000           9.6
  22      1.6542e+03       6.8041e+00       -9.2305e-01        1.000          10.3
  23      1.3165e+03       6.9342e+00       -9.5371e-01        1.000          10.9
  24      1.0478e+03       7.0667e+00       -9.8398e-01        1.000          11.3
  25      8.3387e+02       7.2025e+00       -1.0204e+00        1.000          11.8
  26      6.6364e+02       7.3460e+00       -1.0541e+00        1.000          12.2
  27      5.2816e+02       7.4924e+00       -1.0896e+00        1.000          12.6
  28      4.2034e+02       7.6466e+00       -1.1288e+00        1.000          13.0
  29      3.3453e+02       7.8068e+00       -1.1679e+00        0.999          13.5
  30      2.6624e+02       7.9704e+00       -1.2086e+00        1.000          13.9
  31      2.1189e+02       8.1416e+00       -1.2536e+00        0.999          14.3
  32      1.6864e+02       8.3212e+00       -1.2982e+00        0.999          14.7
  33      1.3421e+02       8.5098e+00       -1.3442e+00        0.999          15.1
  34      1.0681e+02       8.7041e+00       -1.3940e+00        0.999          15.6
  35      8.5008e+01       8.9124e+00       -1.4417e+00        0.999          16.0
  36      6.7654e+01       9.1327e+00       -1.4927e+00        0.999          16.5
  37      5.3524e+01       9.3656e+00       -1.5390e+00        0.999          17.8
  38      4.1896e+01       9.6223e+00       -1.5818e+00        0.999          19.4
  39      3.2409e+01       9.9017e+00       -1.6210e+00        0.999          20.5
  40      2.4746e+01       1.0199e+01       -1.6462e+00        0.999          21.7
  41      1.8624e+01       1.0519e+01       -1.6490e+00        0.999          23.0
  42      1.3792e+01       1.0869e+01       -1.6289e+00        0.999          24.4
  43      1.0031e+01       1.1255e+01       -1.5625e+00        0.999          26.0
  44      7.1499e+00       1.1643e+01       -1.4375e+00        0.999          27.8
  45      4.9825e+00       1.1999e+01       -1.2469e+00        0.999          30.0
  46      3.3858e+00       1.2309e+01       -1.0105e+00        0.999          32.7
  47      2.2374e+00       1.2526e+01       -7.5917e-01        0.999          36.1
  48      1.4343e+00       1.2688e+01       -5.2727e-01        0.999          41.5
  49      8.9031e-01       1.2824e+01       -3.4819e-01        0.999          48.3
  50      5.3506e-01       1.3027e+01       -2.2616e-01        1.000          58.3
  51      3.1211e-01       1.3179e+01       -1.4278e-01        0.999          73.2
  52      1.7783e-01       1.2893e+01       -7.3819e-02        0.999          97.7
  53      1.0000e-01       1.3101e+01       -5.1959e-02        0.999         133.6

