File.......:  600eis 544h - JAN,16.2015

System.....:  
Potential..:  0.000V
Current....:  425.48nA
Temperature:  -0.8+-0.0C
Time.......:  14:38:49 - 14:41:13
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       5.2347e+00        4.1301e-01        1.000           0.0
   2      1.5917e+05       5.2575e+00        2.5000e-01        1.000           1.0
   3      1.2668e+05       5.2860e+00        1.1839e-01        0.999           1.5
   4      1.0082e+05       5.3096e+00        1.3328e-02        1.000           1.9
   5      8.0237e+04       5.3461e+00       -9.3564e-02        1.000           2.3
   6      6.3857e+04       5.3862e+00       -1.8544e-01        1.000           2.7
   7      5.0821e+04       5.4369e+00       -2.5433e-01        1.000           3.2
   8      4.0447e+04       5.4975e+00       -3.1347e-01        0.999           3.6
   9      3.2190e+04       5.5560e+00       -3.8868e-01        1.000           4.0
  10      2.5619e+04       5.6235e+00       -4.5741e-01        1.000           4.4
  11      2.0389e+04       5.7084e+00       -5.0582e-01        1.000           4.8
  12      1.6227e+04       5.7904e+00       -5.5658e-01        1.000           5.3
  13      1.2914e+04       5.8846e+00       -6.1124e-01        1.000           5.7
  14      1.0278e+04       5.9854e+00       -6.5580e-01        1.000           6.1
  15      8.1797e+03       6.0938e+00       -7.0272e-01        1.000           6.6
  16      6.5099e+03       6.2126e+00       -7.4058e-01        1.000           7.0
  17      5.1809e+03       6.3333e+00       -7.7756e-01        1.000           7.4
  18      4.1233e+03       6.4594e+00       -8.1084e-01        1.000           7.8
  19      3.2816e+03       6.5852e+00       -8.4784e-01        1.000           8.3
  20      2.6117e+03       6.7196e+00       -8.7965e-01        1.000           8.7
  21      2.0785e+03       6.8507e+00       -9.1181e-01        1.000           9.1
  22      1.6542e+03       6.9870e+00       -9.4356e-01        1.000           9.5
  23      1.3165e+03       7.1322e+00       -9.7664e-01        1.000           9.9
  24      1.0478e+03       7.2822e+00       -1.0089e+00        1.000          10.4
  25      8.3387e+02       7.4234e+00       -1.0478e+00        1.000          10.8
  26      6.6364e+02       7.5752e+00       -1.0840e+00        1.000          11.2
  27      5.2816e+02       7.7314e+00       -1.1243e+00        0.999          11.7
  28      4.2034e+02       7.8885e+00       -1.1645e+00        0.999          12.1
  29      3.3453e+02       8.0524e+00       -1.2075e+00        1.000          12.5
  30      2.6624e+02       8.2227e+00       -1.2512e+00        1.000          12.9
  31      2.1189e+02       8.3996e+00       -1.2960e+00        0.999          13.4
  32      1.6864e+02       8.5825e+00       -1.3435e+00        0.999          13.8
  33      1.3421e+02       8.7738e+00       -1.3949e+00        0.999          14.2
  34      1.0681e+02       8.9738e+00       -1.4476e+00        0.999          14.6
  35      8.5008e+01       9.1835e+00       -1.4988e+00        0.999          15.1
  36      6.7654e+01       9.4063e+00       -1.5546e+00        0.999          15.6
  37      5.3524e+01       9.6390e+00       -1.6044e+00        0.999          16.8
  38      4.1896e+01       9.9001e+00       -1.6545e+00        0.999          18.4
  39      3.2409e+01       1.0186e+01       -1.7038e+00        0.999          19.5
  40      2.4746e+01       1.0495e+01       -1.7394e+00        0.999          20.7
  41      1.8624e+01       1.0843e+01       -1.7580e+00        0.999          22.0
  42      1.3792e+01       1.1224e+01       -1.7512e+00        0.999          23.4
  43      1.0031e+01       1.1598e+01       -1.6896e+00        0.999          25.0
  44      7.1499e+00       1.2015e+01       -1.5718e+00        0.999          26.9
  45      4.9825e+00       1.2449e+01       -1.3923e+00        0.999          29.1
  46      3.3858e+00       1.2761e+01       -1.1374e+00        0.999          31.8
  47      2.2374e+00       1.3001e+01       -8.6103e-01        0.999          35.2
  48      1.4343e+00       1.3144e+01       -5.9713e-01        0.999          40.6
  49      8.9031e-01       1.3369e+01       -4.0116e-01        1.000          47.4
  50      5.3506e-01       1.3635e+01       -2.6201e-01        0.999          57.3
  51      3.1211e-01       1.3870e+01       -1.6418e-01        1.000          72.3
  52      1.7783e-01       1.3489e+01       -8.2278e-02        0.999          96.7
  53      1.0000e-01       1.3631e+01       -5.7301e-02        1.000         132.6

