File.......:  600eis 640h - JAN,20.2015

System.....:  
Potential..:  0.000V
Current....:  -14.741uA
Temperature:  -0.8+-0.1C
Time.......:  14:46:25 - 14:48:49
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       5.0895e+00        4.4674e-01        1.000           0.0
   2      1.5917e+05       5.1143e+00        2.8439e-01        1.000           1.0
   3      1.2668e+05       5.1408e+00        1.5428e-01        0.999           1.5
   4      1.0082e+05       5.1775e+00        3.2207e-02        1.000           1.9
   5      8.0237e+04       5.2164e+00       -6.9443e-02        1.000           2.3
   6      6.3857e+04       5.2562e+00       -1.5778e-01        1.000           2.8
   7      5.0821e+04       5.3061e+00       -2.3757e-01        1.000           3.2
   8      4.0447e+04       5.3634e+00       -3.1006e-01        1.000           3.6
   9      3.2190e+04       5.4280e+00       -3.7653e-01        1.000           4.0
  10      2.5619e+04       5.4992e+00       -4.3912e-01        1.000           4.5
  11      2.0389e+04       5.5764e+00       -4.9550e-01        1.000           4.9
  12      1.6227e+04       5.6641e+00       -5.4795e-01        1.000           5.3
  13      1.2914e+04       5.7571e+00       -5.9701e-01        1.000           5.8
  14      1.0278e+04       5.8533e+00       -6.4161e-01        1.000           6.2
  15      8.1797e+03       5.9540e+00       -6.8441e-01        1.000           6.6
  16      6.5099e+03       6.0632e+00       -7.2205e-01        1.000           7.0
  17      5.1809e+03       6.1779e+00       -7.5752e-01        1.000           7.4
  18      4.1233e+03       6.2957e+00       -7.9134e-01        1.000           7.9
  19      3.2816e+03       6.4158e+00       -8.2322e-01        1.000           8.3
  20      2.6117e+03       6.5402e+00       -8.5461e-01        1.000           8.7
  21      2.0785e+03       6.6719e+00       -8.8674e-01        1.000           9.2
  22      1.6542e+03       6.8090e+00       -9.1812e-01        1.000           9.6
  23      1.3165e+03       6.9473e+00       -9.5168e-01        1.000          10.0
  24      1.0478e+03       7.0915e+00       -9.8577e-01        1.000          10.5
  25      8.3387e+02       7.2418e+00       -1.0212e+00        1.000          10.9
  26      6.6364e+02       7.3925e+00       -1.0577e+00        1.000          11.3
  27      5.2816e+02       7.5461e+00       -1.0956e+00        1.000          11.7
  28      4.2034e+02       7.7075e+00       -1.1373e+00        1.000          12.2
  29      3.3453e+02       7.8782e+00       -1.1780e+00        0.999          12.6
  30      2.6624e+02       8.0586e+00       -1.2236e+00        0.999          13.0
  31      2.1189e+02       8.2427e+00       -1.2701e+00        0.999          13.4
  32      1.6864e+02       8.4242e+00       -1.3170e+00        0.999          13.8
  33      1.3421e+02       8.6106e+00       -1.3659e+00        0.999          14.3
  34      1.0681e+02       8.8084e+00       -1.4159e+00        0.999          14.7
  35      8.5008e+01       9.0229e+00       -1.4687e+00        0.999          15.2
  36      6.7654e+01       9.2471e+00       -1.5248e+00        0.999          15.6
  37      5.3524e+01       9.5043e+00       -1.5809e+00        0.999          16.9
  38      4.1896e+01       9.7649e+00       -1.6315e+00        0.999          18.5
  39      3.2409e+01       1.0055e+01       -1.6847e+00        0.999          19.6
  40      2.4746e+01       1.0385e+01       -1.7299e+00        0.999          20.8
  41      1.8624e+01       1.0742e+01       -1.7576e+00        0.999          22.1
  42      1.3792e+01       1.1113e+01       -1.7603e+00        0.999          23.5
  43      1.0031e+01       1.1550e+01       -1.7282e+00        0.999          25.1
  44      7.1499e+00       1.1990e+01       -1.6308e+00        0.999          26.9
  45      4.9825e+00       1.2449e+01       -1.4641e+00        0.999          29.2
  46      3.3858e+00       1.2939e+01       -1.2429e+00        0.999          31.9
  47      2.2374e+00       1.3366e+01       -9.7964e-01        0.999          35.2
  48      1.4343e+00       1.3565e+01       -6.9010e-01        0.999          40.7
  49      8.9031e-01       1.3738e+01       -4.6116e-01        1.000          47.5
  50      5.3506e-01       1.3614e+01       -2.7534e-01        0.999          57.4
  51      3.1211e-01       1.3559e+01       -1.6545e-01        0.999          72.4
  52      1.7783e-01       1.3612e+01       -1.0155e-01        1.000          96.8
  53      1.0000e-01       1.3800e+01       -3.9387e-02        1.000         132.7

