File.......:  600eis 90h - DEC,28.2014

System.....:  
Potential..:  -0.001V
Current....:  -39.989uA
Temperature:  -0.8+-0.1C
Time.......:  13:41:20 - 13:43:44
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.4804e+00        3.1126e-01        1.000           0.0
   2      1.5917e+05       4.5046e+00        1.8086e-01        1.000           1.0
   3      1.2668e+05       4.5286e+00        7.8075e-02        1.000           1.5
   4      1.0082e+05       4.5533e+00       -1.6250e-02        1.000           1.9
   5      8.0237e+04       4.5903e+00       -9.4703e-02        1.000           2.3
   6      6.3857e+04       4.6270e+00       -1.7098e-01        1.000           2.8
   7      5.0821e+04       4.6729e+00       -2.3526e-01        1.000           3.2
   8      4.0447e+04       4.7256e+00       -2.9462e-01        1.000           3.6
   9      3.2190e+04       4.7871e+00       -3.4753e-01        1.000           4.1
  10      2.5619e+04       4.8526e+00       -4.0351e-01        1.000           4.5
  11      2.0389e+04       4.9250e+00       -4.5061e-01        1.000           4.9
  12      1.6227e+04       5.0062e+00       -4.9185e-01        1.000           5.4
  13      1.2914e+04       5.0872e+00       -5.2984e-01        1.000           5.8
  14      1.0278e+04       5.1712e+00       -5.6463e-01        1.000           6.2
  15      8.1797e+03       5.2604e+00       -5.9820e-01        1.000           6.7
  16      6.5099e+03       5.3561e+00       -6.2678e-01        1.000           7.1
  17      5.1809e+03       5.4541e+00       -6.5498e-01        1.000           7.5
  18      4.1233e+03       5.5572e+00       -6.8105e-01        1.000           8.0
  19      3.2816e+03       5.6642e+00       -7.0589e-01        1.000           8.4
  20      2.6117e+03       5.7708e+00       -7.2947e-01        1.000           8.8
  21      2.0785e+03       5.8802e+00       -7.5442e-01        1.000           9.3
  22      1.6542e+03       5.9945e+00       -7.7985e-01        1.000           9.7
  23      1.3165e+03       6.1096e+00       -8.0574e-01        1.000          10.1
  24      1.0478e+03       6.2239e+00       -8.3155e-01        1.000          10.6
  25      8.3387e+02       6.3460e+00       -8.5542e-01        1.000          11.0
  26      6.6364e+02       6.4728e+00       -8.8196e-01        1.000          11.4
  27      5.2816e+02       6.5996e+00       -9.0842e-01        1.000          11.9
  28      4.2034e+02       6.7417e+00       -9.3704e-01        1.000          12.5
  29      3.3453e+02       6.8840e+00       -9.6179e-01        1.000          13.2
  30      2.6624e+02       7.0305e+00       -9.8573e-01        0.999          13.6
  31      2.1189e+02       7.1814e+00       -1.0068e+00        0.999          14.1
  32      1.6864e+02       7.3378e+00       -1.0256e+00        0.999          14.5
  33      1.3421e+02       7.4994e+00       -1.0385e+00        0.999          14.9
  34      1.0681e+02       7.6707e+00       -1.0454e+00        0.999          15.4
  35      8.5008e+01       7.8482e+00       -1.0434e+00        0.999          15.8
  36      6.7654e+01       8.0251e+00       -1.0332e+00        0.999          16.3
  37      5.3524e+01       8.2184e+00       -1.0067e+00        0.999          17.6
  38      4.1896e+01       8.4106e+00       -9.6162e-01        0.999          19.1
  39      3.2409e+01       8.6112e+00       -9.1215e-01        0.999          20.3
  40      2.4746e+01       8.7899e+00       -8.2013e-01        0.999          21.5
  41      1.8624e+01       8.9747e+00       -7.2363e-01        0.999          22.8
  42      1.3792e+01       9.1229e+00       -6.1494e-01        0.999          24.2
  43      1.0031e+01       9.2517e+00       -5.0250e-01        0.999          25.8
  44      7.1499e+00       9.3224e+00       -3.8892e-01        0.999          27.6
  45      4.9825e+00       9.3902e+00       -2.8864e-01        0.999          29.8
  46      3.3858e+00       9.4607e+00       -2.0950e-01        0.999          32.5
  47      2.2374e+00       9.4669e+00       -1.4327e-01        0.999          35.9
  48      1.4343e+00       9.4720e+00       -9.2504e-02        0.999          41.3
  49      8.9031e-01       9.4995e+00       -5.8896e-02        0.999          48.2
  50      5.3506e-01       9.3891e+00       -3.4022e-02        0.999          58.1
  51      3.1211e-01       9.2197e+00       -2.0880e-02        0.999          73.1
  52      1.7783e-01       9.4137e+00       -1.8209e-02        1.000          97.5
  53      1.0000e-01       9.4747e+00       -1.7463e-03        0.999         133.4

