File.......:  600eis 115h - JUN,26.2014

System.....:  
Potential..:  -0.001V
Current....:  -76.748uA
Temperature:  -1.1+-0.1C
Time.......:  16:55:03 - 16:57:27
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.3608e+00        3.0453e-01        1.000           0.0
   2      7.9606e+04       3.3669e+00        2.2191e-01        1.000           1.1
   3      6.3371e+04       3.3728e+00        1.5569e-01        1.000           1.5
   4      5.0448e+04       3.3819e+00        1.0049e-01        1.000           1.9
   5      4.0159e+04       3.3910e+00        5.3145e-02        1.000           2.4
   6      3.1969e+04       3.4017e+00        1.5595e-02        1.000           2.8
   7      2.5450e+04       3.4130e+00       -2.4156e-02        1.000           3.3
   8      2.0259e+04       3.4281e+00       -5.3533e-02        1.000           3.7
   9      1.6128e+04       3.4451e+00       -8.0094e-02        1.000           4.2
  10      1.2839e+04       3.4630e+00       -1.0501e-01        1.000           4.6
  11      1.0220e+04       3.4840e+00       -1.2895e-01        1.000           5.0
  12      8.1360e+03       3.5066e+00       -1.5083e-01        1.000           5.5
  13      6.4768e+03       3.5323e+00       -1.7103e-01        1.000           5.9
  14      5.1559e+03       3.5618e+00       -1.9086e-01        1.000           6.4
  15      4.1044e+03       3.5934e+00       -2.0932e-01        1.000           6.8
  16      3.2674e+03       3.6271e+00       -2.2836e-01        1.000           7.3
  17      2.6010e+03       3.6648e+00       -2.4415e-01        1.000           7.7
  18      2.0706e+03       3.7053e+00       -2.5802e-01        1.000           8.2
  19      1.6483e+03       3.7480e+00       -2.7007e-01        1.000           8.6
  20      1.3122e+03       3.7930e+00       -2.7881e-01        1.000           9.0
  21      1.0446e+03       3.8399e+00       -2.8558e-01        1.000           9.5
  22      8.3153e+02       3.8871e+00       -2.9047e-01        1.000           9.9
  23      6.6195e+02       3.9366e+00       -2.8905e-01        1.000          10.4
  24      5.2695e+02       3.9847e+00       -2.8440e-01        1.000          10.8
  25      4.1949e+02       4.0319e+00       -2.7579e-01        1.000          11.3
  26      3.3394e+02       4.0771e+00       -2.6524e-01        1.000          11.7
  27      2.6584e+02       4.1185e+00       -2.5103e-01        1.000          12.1
  28      2.1162e+02       4.1575e+00       -2.3493e-01        1.000          12.6
  29      1.6846e+02       4.1917e+00       -2.1758e-01        1.000          13.0
  30      1.3411e+02       4.2230e+00       -1.9867e-01        1.000          13.5
  31      1.0676e+02       4.2507e+00       -1.8170e-01        1.000          13.9
  32      8.4986e+01       4.2743e+00       -1.6344e-01        1.000          14.4
  33      6.7654e+01       4.2941e+00       -1.4765e-01        0.999          14.9
  34      5.3524e+01       4.3076e+00       -1.3312e-01        1.000          16.2
  35      4.1896e+01       4.3248e+00       -1.1529e-01        1.000          17.8
  36      3.2409e+01       4.3392e+00       -1.0046e-01        1.000          18.9
  37      2.4746e+01       4.3525e+00       -8.7514e-02        1.000          20.1
  38      1.8624e+01       4.3650e+00       -7.2775e-02        1.000          21.4
  39      1.3792e+01       4.3762e+00       -6.4064e-02        1.000          23.5
  40      1.0031e+01       4.3868e+00       -5.2024e-02        1.000          25.1
  41      7.1499e+00       4.3991e+00       -4.0093e-02        1.000          27.5
  42      4.9825e+00       4.4087e+00       -3.1443e-02        1.000          29.8
  43      3.3858e+00       4.4207e+00       -2.3915e-02        1.000          32.5
  44      2.2374e+00       4.4359e+00       -1.8931e-02        1.000          35.9
  45      1.4343e+00       4.4546e+00       -1.3758e-02        1.000          41.3
  46      8.9031e-01       4.4826e+00       -1.0587e-02        1.000          48.1
  47      5.3506e-01       4.5095e+00       -8.2250e-03        1.000          58.1
  48      3.1211e-01       4.4669e+00       -5.3653e-03        1.000          73.1
  49      1.7783e-01       4.4050e+00       -2.3293e-03        1.000          97.5
  50      1.0000e-01       4.4895e+00        7.0115e-04        0.999         133.5

