File.......:  600eis 137h - JUN,27.2014

System.....:  
Potential..:  -0.001V
Current....:  -74.638uA
Temperature:  -1.1+-0.0C
Time.......:  16:59:01 - 17:01:32
Comment....:  
              
              
              
              
              
Impedance samples

Lines:   42
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+05       3.3970e+00        2.4873e-01        1.000           0.0
   2      7.5437e+04       3.4067e+00        1.6055e-01        1.000           1.3
   3      5.6908e+04       3.4194e+00        9.0444e-02        1.000           1.8
   4      4.2930e+04       3.4322e+00        3.6108e-02        1.000           2.2
   5      3.2385e+04       3.4479e+00       -8.7501e-03        1.000           2.6
   6      2.4431e+04       3.4637e+00       -5.2123e-02        1.000           3.1
   7      1.8430e+04       3.4843e+00       -8.4469e-02        1.000           3.5
   8      1.3903e+04       3.5072e+00       -1.1373e-01        1.000           4.0
   9      1.0488e+04       3.5339e+00       -1.4064e-01        1.000           4.4
  10      7.9119e+03       3.5627e+00       -1.6893e-01        1.000           4.8
  11      5.9686e+03       3.5970e+00       -1.9266e-01        1.000           5.3
  12      4.5025e+03       3.6352e+00       -2.1788e-01        1.000           5.7
  13      3.3966e+03       3.6779e+00       -2.4347e-01        1.000           6.2
  14      2.5623e+03       3.7261e+00       -2.6459e-01        1.000           6.6
  15      1.9329e+03       3.7795e+00       -2.8383e-01        1.000           7.1
  16      1.4582e+03       3.8374e+00       -2.9927e-01        1.000           7.5
  17      1.1000e+03       3.8990e+00       -3.1062e-01        1.000           7.9
  18      8.2981e+02       3.9625e+00       -3.1818e-01        1.000           8.4
  19      6.2599e+02       4.0282e+00       -3.1807e-01        1.000           8.8
  20      4.7223e+02       4.0933e+00       -3.1151e-01        1.000           9.3
  21      3.5624e+02       4.1543e+00       -3.0049e-01        1.000           9.7
  22      2.6874e+02       4.2139e+00       -2.8360e-01        1.000          10.2
  23      2.0273e+02       4.2667e+00       -2.6344e-01        1.000          10.6
  24      1.5293e+02       4.3143e+00       -2.4280e-01        1.000          11.0
  25      1.1537e+02       4.3553e+00       -2.1794e-01        1.000          11.5
  26      8.7031e+01       4.3902e+00       -1.9435e-01        1.000          11.9
  27      6.5649e+01       4.4196e+00       -1.7473e-01        1.000          12.4
  28      4.8890e+01       4.4371e+00       -1.5296e-01        1.000          13.7
  29      3.5902e+01       4.4583e+00       -1.2890e-01        1.000          15.3
  30      2.5963e+01       4.4772e+00       -1.0997e-01        0.999          16.5
  31      1.8462e+01       4.4905e+00       -9.0572e-02        1.000          17.8
  32      1.2888e+01       4.4997e+00       -7.6284e-02        0.999          19.2
  33      8.8167e+00       4.5116e+00       -5.6720e-02        1.000          20.9
  34      5.9005e+00       4.5190e+00       -4.3425e-02        1.000          22.9
  35      3.8562e+00       4.5291e+00       -3.3801e-02        0.999          25.3
  36      2.4573e+00       4.5355e+00       -2.4444e-02        1.000          28.4
  37      1.5252e+00       4.5485e+00       -1.8458e-02        1.000          33.9
  38      9.2196e-01       4.5697e+00       -1.3277e-02        1.000          40.9
  39      5.4349e-01       4.6130e+00       -1.0257e-02        1.000          50.7
  40      3.1344e-01       4.6411e+00       -3.5629e-03        1.000          79.4
  41      1.7783e-01       4.5706e+00       -2.1316e-03        1.000         103.8
  42      1.0000e-01       4.6462e+00        2.3945e-03        1.000         139.8

