File.......:  600eis 190h - JUN,29.2014

System.....:  
Potential..:  0.000V
Current....:  -36uA
Temperature:  -1.2+-0.1C
Time.......:  22:11:27 - 22:13:53
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       3.4969e+00        3.0888e-01        1.000           0.0
  2       7.9606e+04       3.5048e+00        2.2254e-01        1.000           1.4
  3       6.3371e+04       3.5135e+00        1.5171e-01        1.000           1.9
  4       5.0448e+04       3.5232e+00        9.1125e-02        1.000           2.3
  5       4.0159e+04       3.5375e+00        4.1712e-02        1.000           2.8
  6       3.1969e+04       3.5514e+00        1.9138e-03        1.000           3.2
  7       2.5450e+04       3.5633e+00       -3.7917e-02        1.000           4.2
  8       2.0259e+04       3.5802e+00       -6.8918e-02        1.000           4.7
  9       1.6128e+04       3.5979e+00       -9.6645e-02        1.000           5.1
 10       1.2839e+04       3.6195e+00       -1.2222e-01        1.000           5.6
 11       1.0220e+04       3.6396e+00       -1.4676e-01        1.000           6.6
 12       8.1360e+03       3.6646e+00       -1.7074e-01        1.000           7.1
 13       6.4768e+03       3.6918e+00       -1.9243e-01        1.000           7.5
 14       5.1559e+03       3.7224e+00       -2.1432e-01        1.000           8.0
 15       4.1044e+03       3.7562e+00       -2.3554e-01        1.000           8.4
 16       3.2674e+03       3.7942e+00       -2.5620e-01        1.000           8.8
 17       2.6010e+03       3.8346e+00       -2.7489e-01        1.000           9.3
 18       2.0706e+03       3.8790e+00       -2.9245e-01        1.000           9.7
 19       1.6483e+03       3.9263e+00       -3.0721e-01        1.000          10.2
 20       1.3122e+03       3.9773e+00       -3.1887e-01        1.000          10.6
 21       1.0446e+03       4.0301e+00       -3.2759e-01        1.000          11.0
 22       8.3153e+02       4.0843e+00       -3.3398e-01        1.000          11.5
 23       6.6195e+02       4.1395e+00       -3.3483e-01        1.000          11.9
 24       5.2695e+02       4.1952e+00       -3.3098e-01        1.000          12.4
 25       4.1949e+02       4.2500e+00       -3.2419e-01        1.000          12.8
 26       3.3394e+02       4.3007e+00       -3.1225e-01        1.000          13.2
 27       2.6584e+02       4.3501e+00       -2.9877e-01        1.000          13.7
 28       2.1162e+02       4.3943e+00       -2.8363e-01        1.000          14.1
 29       1.6846e+02       4.4375e+00       -2.6543e-01        1.000          14.5
 30       1.3411e+02       4.4740e+00       -2.4504e-01        1.000          15.0
 31       1.0676e+02       4.5100e+00       -2.2715e-01        1.000          15.5
 32       8.4986e+01       4.5376e+00       -2.0850e-01        1.000          16.0
 33       6.7654e+01       4.5643e+00       -1.8977e-01        1.000          16.5
 34       5.3524e+01       4.5802e+00       -1.7265e-01        1.000          17.7
 35       4.1896e+01       4.6022e+00       -1.5370e-01        1.000          19.3
 36       3.2409e+01       4.6208e+00       -1.3485e-01        1.000          20.5
 37       2.4746e+01       4.6369e+00       -1.1816e-01        1.000          21.7
 38       1.8624e+01       4.6520e+00       -1.0172e-01        1.000          23.0
 39       1.3792e+01       4.6648e+00       -8.7803e-02        1.000          24.4
 40       1.0031e+01       4.6756e+00       -7.1550e-02        1.000          26.1
 41       7.1499e+00       4.6876e+00       -5.5437e-02        1.000          27.9
 42       4.9825e+00       4.6960e+00       -4.4749e-02        1.000          30.1
 43       3.3858e+00       4.7045e+00       -3.4666e-02        1.000          32.8
 44       2.2374e+00       4.7159e+00       -2.6931e-02        1.000          36.2
 45       1.4343e+00       4.7297e+00       -2.0463e-02        1.000          41.7
 46       8.9031e-01       4.7585e+00       -1.3830e-02        1.000          48.5
 47       5.3506e-01       4.8087e+00       -1.0348e-02        1.000          58.4
 48       3.1211e-01       4.8204e+00       -3.4607e-03        1.000          73.4
 49       1.7783e-01       4.7382e+00       -2.7599e-03        1.000          97.9
 50       1.0000e-01       4.7947e+00       -1.8844e-03        1.000         133.8

