File.......:  600eis 225h - JUL,01.2014

System.....:  
Potential..:  0.000V
Current....:  -17.65uA
Temperature:  -1.2+-0.1C
Time.......:  09:06:47 - 09:09:11
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+05       3.5252e+00        3.1993e-01        1.000           0.0
  2       7.9606e+04       3.5331e+00        2.3176e-01        1.000           1.4
  3       6.3371e+04       3.5454e+00        1.5668e-01        1.000           1.9
  4       5.0448e+04       3.5579e+00        9.6142e-02        1.000           2.3
  5       4.0159e+04       3.5730e+00        4.5303e-02        1.000           2.8
  6       3.1969e+04       3.5888e+00        1.4769e-03        1.000           3.2
  7       2.5450e+04       3.6048e+00       -4.1746e-02        1.000           3.7
  8       2.0259e+04       3.6244e+00       -7.4283e-02        1.000           4.1
  9       1.6128e+04       3.6466e+00       -1.0339e-01        1.000           4.5
 10       1.2839e+04       3.6712e+00       -1.3080e-01        1.000           5.0
 11       1.0220e+04       3.6970e+00       -1.5532e-01        1.000           5.4
 12       8.1360e+03       3.7255e+00       -1.8087e-01        1.000           5.9
 13       6.4768e+03       3.7579e+00       -2.0311e-01        1.000           6.4
 14       5.1559e+03       3.7926e+00       -2.2453e-01        1.000           6.8
 15       4.1044e+03       3.8310e+00       -2.4603e-01        1.000           7.3
 16       3.2674e+03       3.8713e+00       -2.6849e-01        1.000           7.7
 17       2.6010e+03       3.9167e+00       -2.8715e-01        1.000           8.1
 18       2.0706e+03       3.9646e+00       -3.0320e-01        1.000           8.6
 19       1.6483e+03       4.0160e+00       -3.1874e-01        1.000           9.0
 20       1.3122e+03       4.0700e+00       -3.3119e-01        1.000           9.5
 21       1.0446e+03       4.1271e+00       -3.3953e-01        1.000          10.0
 22       8.3153e+02       4.1842e+00       -3.4761e-01        1.000          10.4
 23       6.6195e+02       4.2447e+00       -3.4943e-01        1.000          10.9
 24       5.2695e+02       4.3044e+00       -3.4680e-01        1.000          11.3
 25       4.1949e+02       4.3641e+00       -3.4042e-01        1.000          11.7
 26       3.3394e+02       4.4203e+00       -3.2988e-01        1.000          12.2
 27       2.6584e+02       4.4753e+00       -3.1627e-01        1.000          12.6
 28       2.1162e+02       4.5264e+00       -3.0064e-01        1.000          13.1
 29       1.6846e+02       4.5738e+00       -2.8031e-01        1.000          13.5
 30       1.3411e+02       4.6167e+00       -2.6230e-01        1.000          13.9
 31       1.0676e+02       4.6548e+00       -2.4045e-01        1.000          14.4
 32       8.4986e+01       4.6895e+00       -2.2013e-01        1.000          14.9
 33       6.7654e+01       4.7214e+00       -2.0113e-01        1.000          15.4
 34       5.3524e+01       4.7513e+00       -1.8417e-01        1.000          16.7
 35       4.1896e+01       4.7781e+00       -1.6169e-01        1.000          18.3
 36       3.2409e+01       4.8040e+00       -1.4327e-01        1.000          19.4
 37       2.4746e+01       4.8270e+00       -1.2536e-01        1.000          20.6
 38       1.8624e+01       4.8484e+00       -1.0586e-01        1.000          21.9
 39       1.3792e+01       4.8674e+00       -9.2943e-02        1.000          23.3
 40       1.0031e+01       4.8856e+00       -7.4203e-02        1.000          25.0
 41       7.1499e+00       4.9033e+00       -5.8576e-02        1.000          26.8
 42       4.9825e+00       4.9164e+00       -4.6318e-02        1.000          29.0
 43       3.3858e+00       4.9313e+00       -3.6510e-02        1.000          31.7
 44       2.2374e+00       4.9433e+00       -2.7470e-02        1.000          35.1
 45       1.4343e+00       4.9466e+00       -1.8418e-02        1.000          40.5
 46       8.9031e-01       4.9367e+00       -1.4619e-02        1.000          47.4
 47       5.3506e-01       4.9051e+00       -7.6675e-03        1.000          57.3
 48       3.1211e-01       4.8570e+00       -4.0848e-03        1.000          72.3
 49       1.7783e-01       4.8940e+00       -3.7954e-03        1.000          96.7
 50       1.0000e-01       4.8997e+00        2.8444e-04        0.999         132.7

